dwell_case,weather,strategy,occupied_steps,electricity_kwh,natural_gas_kwh,mean_top_c,mean_pmv,pmv_abs_gt_0_5_pct,mean_p_tail,p95_p_tail,p_tail_ge_0_20_pct,mean_warm_tail,mean_cold_tail,cooling_sp_mean_c,cooling_sp_max_c,heating_sp_mean_c,heating_sp_min_c,warm_requests_pct,cold_requests_pct,no_risk_requests_pct,warm_protection_actions,cold_protection_actions,energy_relax_actions,idle_actions,dominant_request_source,max_zone_p_tail_ge_0_20_pct,max_zone_mean_p_tail,electricity_change_vs_reference_pct
dwell_tighten_120_relax_15,guangzhou_ssp585_mid_2050s_heatwave_extreme_2059,diagnostic_reference,640,24711.329024909137,877.1392428317896,26.10592862662113,0.52609375,49.53125,0.1129367387697061,0.2720258383000776,11.09375,0.0879869170212093,0.0249498217484968,24.0,24.0,22.0,22.0,0.0,0.0,100.0,0,0,0,640,,43.75,0.1764605460919242,0.0
dwell_tighten_120_relax_15,guangzhou_ssp585_mid_2050s_heatwave_extreme_2059,paperb_gate_tail_asym_relax,640,24199.08367141735,877.1231708433571,26.330125609716468,0.5835302083333334,54.6875,0.1209657200687884,0.2784401451664391,12.1875,0.0975733125976034,0.023392407471185,24.40859375,24.5,21.502099609375,21.5,12.1875,0.0,87.8125,12,0,20,608,none,44.0625,0.1849829811700112,-2.07291705345124
dwell_tighten_120_relax_15,guangzhou_ssp585_mid_2050s_heatwave_extreme_2059,paperb_mu_relax,640,24205.04668054463,877.1230459914722,26.328893073340183,0.5832093749999999,54.53125,0.1209049195979364,0.2784401451664391,12.1875,0.097487024019497,0.0234178955784393,24.358203125,24.5,21.5236328125,21.5,18.90625,0.0,81.09375,56,0,20,564,none,43.90625,0.1849207169825645,-2.048786383986756
dwell_tighten_120_relax_15,guangzhou_ssp585_mid_2050s_heatwave_extreme_2059,paperb_pmv_relax,640,24357.53514318451,877.125799640465,26.3148255202114,0.5816427083333332,54.37499999999999,0.1220357946753435,0.2865464374985612,12.1875,0.098235472509282,0.0238003221660614,24.095703125,24.5,21.553125,21.5,54.37499999999999,0.0,45.625,130,0,45,465,pmv_warm,46.875,0.1874726661502271,-1.4317072196643243
dwell_tighten_120_relax_15,guangzhou_ssp585_mid_2050s_heatwave_extreme_2059,reference,640,24711.329024909137,877.1392428317896,26.10592862662113,0.52609375,49.53125,,,0.0,,,24.0,24.0,22.0,22.0,0.0,0.0,100.0,0,0,0,640,,0.0,,0.0
dwell_tighten_30_relax_15,guangzhou_ssp585_mid_2050s_heatwave_extreme_2059,diagnostic_reference,640,24711.329024909137,877.1392428317896,26.10592862662113,0.52609375,49.53125,0.1129367387697061,0.2720258383000776,11.09375,0.0879869170212093,0.0249498217484968,24.0,24.0,22.0,22.0,0.0,0.0,100.0,0,0,0,640,,43.75,0.1764605460919242,0.0
dwell_tighten_30_relax_15,guangzhou_ssp585_mid_2050s_heatwave_extreme_2059,paperb_gate_tail_asym_relax,640,24199.08367141735,877.1231708433571,26.330125609716468,0.5835302083333334,54.6875,0.1209657200687884,0.2784401451664391,12.1875,0.0975733125976034,0.023392407471185,24.40859375,24.5,21.502099609375,21.5,12.1875,0.0,87.8125,12,0,20,608,none,44.0625,0.1849829811700112,-2.07291705345124
dwell_tighten_30_relax_15,guangzhou_ssp585_mid_2050s_heatwave_extreme_2059,paperb_mu_relax,640,24205.04668054463,877.1230459914722,26.328893073340183,0.5832093749999999,54.53125,0.1209049195979364,0.2784401451664391,12.1875,0.097487024019497,0.0234178955784393,24.358203125,24.5,21.5236328125,21.5,18.90625,0.0,81.09375,56,0,20,564,none,43.90625,0.1849207169825645,-2.048786383986756
dwell_tighten_30_relax_15,guangzhou_ssp585_mid_2050s_heatwave_extreme_2059,paperb_pmv_relax,640,24357.53514318451,877.125799640465,26.3148255202114,0.5816427083333332,54.37499999999999,0.1220357946753435,0.2865464374985612,12.1875,0.098235472509282,0.0238003221660614,24.095703125,24.5,21.553125,21.5,54.37499999999999,0.0,45.625,130,0,45,465,pmv_warm,46.875,0.1874726661502271,-1.4317072196643243
dwell_tighten_30_relax_15,guangzhou_ssp585_mid_2050s_heatwave_extreme_2059,reference,640,24711.329024909137,877.1392428317896,26.10592862662113,0.52609375,49.53125,,,0.0,,,24.0,24.0,22.0,22.0,0.0,0.0,100.0,0,0,0,640,,0.0,,0.0
