dwell_case,weather,strategy,occupied_steps,electricity_kwh,natural_gas_kwh,mean_top_c,mean_pmv,pmv_abs_gt_0_5_pct,mean_p_tail,p95_p_tail,p_tail_ge_0_20_pct,mean_warm_tail,mean_cold_tail,cooling_sp_mean_c,cooling_sp_max_c,heating_sp_mean_c,heating_sp_min_c,warm_requests_pct,cold_requests_pct,no_risk_requests_pct,warm_protection_actions,cold_protection_actions,energy_relax_actions,idle_actions,dominant_request_source,max_zone_p_tail_ge_0_20_pct,max_zone_mean_p_tail,electricity_change_vs_reference_pct
dwell_tighten_120_relax_15,guangzhou_ssp585_mid_2050s_heatwave_extreme_2059,diagnostic_reference,640,24711.329024909137,877.1392428317896,26.10592862662113,0.52609375,49.53125,0.1129367387697061,0.2720258383000776,11.09375,0.0879869170212093,0.0249498217484968,24.0,24.0,22.0,22.0,0.0,0.0,100.0,0,0,0,640,,43.75,0.1764605460919242,0.0
dwell_tighten_120_relax_15,guangzhou_ssp585_mid_2050s_heatwave_extreme_2059,paperb_gate_tail_asym_relax,640,24199.044263206055,877.123183293888,26.33013189616606,0.583540625,54.6875,0.1209537723752746,0.2784401451664391,12.03125,0.0975612698679815,0.023392502507293,24.429296875,24.5,21.50234375,21.5,12.03125,0.0,87.96875,8,0,18,614,none,44.0625,0.184961292608225,-2.07307652772013
dwell_tighten_120_relax_15,guangzhou_ssp585_mid_2050s_heatwave_extreme_2059,paperb_mu_relax,640,24205.022523918225,877.1230457248954,26.328889138379537,0.5832104166666665,54.53125,0.1209103537636884,0.2784401451664391,12.1875,0.0974924970257647,0.0234178567379236,24.3691162109375,24.5,21.526339721679687,21.5,18.90625,0.0,81.09375,16,0,20,604,none,43.90625,0.1849207169825645,-2.048884139256746
dwell_tighten_120_relax_15,guangzhou_ssp585_mid_2050s_heatwave_extreme_2059,paperb_pmv_relax,640,24341.87432713029,877.1239192143584,26.321269175946465,0.583575,55.15624999999999,0.1222826448717511,0.2858615038225384,12.65625,0.0985694401948983,0.0237132046768527,24.12848358154297,24.5,21.558753967285156,21.5,55.15624999999999,0.0,44.84375,41,0,36,563,pmv_warm,46.25,0.1881375570018336,-1.4950822653303495
dwell_tighten_120_relax_15,guangzhou_ssp585_mid_2050s_heatwave_extreme_2059,reference,640,24711.329024909137,877.1392428317896,26.10592862662113,0.52609375,49.53125,,,0.0,,,24.0,24.0,22.0,22.0,0.0,0.0,100.0,0,0,0,640,,0.0,,0.0
dwell_tighten_30_relax_15,guangzhou_ssp585_mid_2050s_heatwave_extreme_2059,diagnostic_reference,640,24711.329024909137,877.1392428317896,26.10592862662113,0.52609375,49.53125,0.1129367387697061,0.2720258383000776,11.09375,0.0879869170212093,0.0249498217484968,24.0,24.0,22.0,22.0,0.0,0.0,100.0,0,0,0,640,,43.75,0.1764605460919242,0.0
dwell_tighten_30_relax_15,guangzhou_ssp585_mid_2050s_heatwave_extreme_2059,paperb_gate_tail_asym_relax,640,24199.05548516716,877.1231734711585,26.3301280715242,0.5835343749999999,54.6875,0.1209514391650062,0.2784401451664391,12.03125,0.0975592534912867,0.0233921856737194,24.4123046875,24.5,21.50224609375,21.5,12.03125,0.0,87.96875,11,0,20,609,none,44.0625,0.1849829811700112,-2.073031115508206
dwell_tighten_30_relax_15,guangzhou_ssp585_mid_2050s_heatwave_extreme_2059,paperb_mu_relax,640,24205.02621088418,877.1230458841753,26.328891996281993,0.5832124999999999,54.53125,0.1209073453736998,0.2784401451664391,12.1875,0.0974894886357761,0.0234178567379236,24.359765624997088,24.5,21.524023437495636,21.5,18.90625,0.0,81.09375,37,0,20,583,none,43.90625,0.1849207169825645,-2.0488692191124147
dwell_tighten_30_relax_15,guangzhou_ssp585_mid_2050s_heatwave_extreme_2059,paperb_pmv_relax,640,24353.077166214134,877.1254004284516,26.31618702105181,0.5820395833333334,54.53125,0.1220827987942634,0.2865464374985612,12.1875,0.0983017446777377,0.0237810541165256,24.101953124999092,24.5,21.55410156249827,21.5,54.53125,0.0,45.46875,93,0,43,504,pmv_warm,46.71875,0.1876027755385085,-1.449747435007975
dwell_tighten_30_relax_15,guangzhou_ssp585_mid_2050s_heatwave_extreme_2059,reference,640,24711.329024909137,877.1392428317896,26.10592862662113,0.52609375,49.53125,,,0.0,,,24.0,24.0,22.0,22.0,0.0,0.0,100.0,0,0,0,640,,0.0,,0.0
