country,city,scenario,scenario_label,time_slice,year_window,severity,weather_year,weather_stem,epw_path,mean_T_out,CDD18_hourly,max_T_out,hours_temp_ge_35,humidity_metric,selector,stage_smoke,stage_typical,stage_full
United States,Houston,ssp245,SSP2-4.5,baseline_2020s,2025-2029,typical,2027,houston_ssp245_baseline_2020s_typical_2027,/Users/guo/Library/CloudStorage/OneDrive-TheUniversityOfHongKong/Drafts/HPH_Carbon_Entitlement/weather/cmip_selected_years/ssp245/Houston/houston_ssp245_baseline_2020s_typical_2027.epw,21.975982,47710.30446,35.741696,14,74.039855,nearest_median_CDD18_within_time_slice,False,True,True
United States,Houston,ssp245,SSP2-4.5,baseline_2020s,2025-2029,hot,2026,houston_ssp245_baseline_2020s_hot_2026,/Users/guo/Library/CloudStorage/OneDrive-TheUniversityOfHongKong/Drafts/HPH_Carbon_Entitlement/weather/cmip_selected_years/ssp245/Houston/houston_ssp245_baseline_2020s_hot_2026.epw,22.016051,52506.86743,36.077124,34,74.051801,maximum_CDD18_within_time_slice,False,False,True
United States,Houston,ssp245,SSP2-4.5,baseline_2020s,2025-2029,heatwave_extreme,2026,houston_ssp245_baseline_2020s_heatwave_extreme_2026,/Users/guo/Library/CloudStorage/OneDrive-TheUniversityOfHongKong/Drafts/HPH_Carbon_Entitlement/weather/cmip_selected_years/ssp245/Houston/houston_ssp245_baseline_2020s_heatwave_extreme_2026.epw,22.016051,52506.86743,36.077124,34,74.051801,maximum_hours_temp_ge_35_then_max_temp,False,False,True
United States,Houston,ssp245,SSP2-4.5,near_2030s,2030-2039,typical,2033,houston_ssp245_near_2030s_typical_2033,/Users/guo/Library/CloudStorage/OneDrive-TheUniversityOfHongKong/Drafts/HPH_Carbon_Entitlement/weather/cmip_selected_years/ssp245/Houston/houston_ssp245_near_2030s_typical_2033.epw,21.467283,48579.932455,36.213632,75,74.045544,nearest_median_CDD18_within_time_slice,False,True,True
United States,Houston,ssp245,SSP2-4.5,near_2030s,2030-2039,hot,2038,houston_ssp245_near_2030s_hot_2038,/Users/guo/Library/CloudStorage/OneDrive-TheUniversityOfHongKong/Drafts/HPH_Carbon_Entitlement/weather/cmip_selected_years/ssp245/Houston/houston_ssp245_near_2030s_hot_2038.epw,23.716286,56529.489626,36.120463,76,74.033975,maximum_CDD18_within_time_slice,False,False,True
United States,Houston,ssp245,SSP2-4.5,near_2030s,2030-2039,heatwave_extreme,2039,houston_ssp245_near_2030s_heatwave_extreme_2039,/Users/guo/Library/CloudStorage/OneDrive-TheUniversityOfHongKong/Drafts/HPH_Carbon_Entitlement/weather/cmip_selected_years/ssp245/Houston/houston_ssp245_near_2030s_heatwave_extreme_2039.epw,21.794397,49450.231615,36.988107,93,74.028067,maximum_hours_temp_ge_35_then_max_temp,False,False,True
United States,Houston,ssp245,SSP2-4.5,mid_2050s,2050-2059,typical,2052,houston_ssp245_mid_2050s_typical_2052,/Users/guo/Library/CloudStorage/OneDrive-TheUniversityOfHongKong/Drafts/HPH_Carbon_Entitlement/weather/cmip_selected_years/ssp245/Houston/houston_ssp245_mid_2050s_typical_2052.epw,22.776828,53420.549269,37.890924,160,74.022174,nearest_median_CDD18_within_time_slice,False,True,True
United States,Houston,ssp245,SSP2-4.5,mid_2050s,2050-2059,hot,2056,houston_ssp245_mid_2050s_hot_2056,/Users/guo/Library/CloudStorage/OneDrive-TheUniversityOfHongKong/Drafts/HPH_Carbon_Entitlement/weather/cmip_selected_years/ssp245/Houston/houston_ssp245_mid_2050s_hot_2056.epw,23.846014,57130.049119,36.080721,60,74.033774,maximum_CDD18_within_time_slice,False,False,True
United States,Houston,ssp245,SSP2-4.5,mid_2050s,2050-2059,heatwave_extreme,2058,houston_ssp245_mid_2050s_heatwave_extreme_2058,/Users/guo/Library/CloudStorage/OneDrive-TheUniversityOfHongKong/Drafts/HPH_Carbon_Entitlement/weather/cmip_selected_years/ssp245/Houston/houston_ssp245_mid_2050s_heatwave_extreme_2058.epw,21.644799,49711.621038,36.670214,218,74.029557,maximum_hours_temp_ge_35_then_max_temp,False,False,True
United States,Houston,ssp245,SSP2-4.5,late_2080s,2080-2089,typical,2086,houston_ssp245_late_2080s_typical_2086,/Users/guo/Library/CloudStorage/OneDrive-TheUniversityOfHongKong/Drafts/HPH_Carbon_Entitlement/weather/cmip_selected_years/ssp245/Houston/houston_ssp245_late_2080s_typical_2086.epw,22.645292,52968.132561,36.163264,104,74.031674,nearest_median_CDD18_within_time_slice,False,True,True
United States,Houston,ssp245,SSP2-4.5,late_2080s,2080-2089,hot,2085,houston_ssp245_late_2080s_hot_2085,/Users/guo/Library/CloudStorage/OneDrive-TheUniversityOfHongKong/Drafts/HPH_Carbon_Entitlement/weather/cmip_selected_years/ssp245/Houston/houston_ssp245_late_2080s_hot_2085.epw,23.50112,59495.179019,37.505636,276,74.032064,maximum_CDD18_within_time_slice,False,False,True
United States,Houston,ssp245,SSP2-4.5,late_2080s,2080-2089,heatwave_extreme,2081,houston_ssp245_late_2080s_heatwave_extreme_2081,/Users/guo/Library/CloudStorage/OneDrive-TheUniversityOfHongKong/Drafts/HPH_Carbon_Entitlement/weather/cmip_selected_years/ssp245/Houston/houston_ssp245_late_2080s_heatwave_extreme_2081.epw,22.265508,54808.557669,38.59699,363,74.039843,maximum_hours_temp_ge_35_then_max_temp,False,False,True
