country,city,scenario,scenario_label,time_slice,year_window,severity,weather_year,weather_stem,epw_path,mean_T_out,CDD18_hourly,max_T_out,hours_temp_ge_35,humidity_metric,selector,stage_smoke,stage_typical,stage_full
China,Beijing,ssp585,SSP5-8.5,baseline_2020s,2025-2029,typical,2026,beijing_ssp585_baseline_2020s_typical_2026,/Users/guo/Library/CloudStorage/OneDrive-TheUniversityOfHongKong/Drafts/HPH_Carbon_Entitlement/weather/cmip_selected_years/ssp585/Beijing/beijing_ssp585_baseline_2020s_typical_2026.epw,12.622652,22828.275548,34.634711,0,56.243318,nearest_median_CDD18_within_time_slice,False,True,True
China,Beijing,ssp585,SSP5-8.5,baseline_2020s,2025-2029,hot,2029,beijing_ssp585_baseline_2020s_hot_2029,/Users/guo/Library/CloudStorage/OneDrive-TheUniversityOfHongKong/Drafts/HPH_Carbon_Entitlement/weather/cmip_selected_years/ssp585/Beijing/beijing_ssp585_baseline_2020s_hot_2029.epw,13.001206,25597.389777,35.826267,14,56.273923,maximum_CDD18_within_time_slice,False,False,True
China,Beijing,ssp585,SSP5-8.5,baseline_2020s,2025-2029,heatwave_extreme,2029,beijing_ssp585_baseline_2020s_heatwave_extreme_2029,/Users/guo/Library/CloudStorage/OneDrive-TheUniversityOfHongKong/Drafts/HPH_Carbon_Entitlement/weather/cmip_selected_years/ssp585/Beijing/beijing_ssp585_baseline_2020s_heatwave_extreme_2029.epw,13.001206,25597.389777,35.826267,14,56.273923,maximum_hours_temp_ge_35_then_max_temp,False,False,True
China,Beijing,ssp585,SSP5-8.5,near_2030s,2030-2039,typical,2032,beijing_ssp585_near_2030s_typical_2032,/Users/guo/Library/CloudStorage/OneDrive-TheUniversityOfHongKong/Drafts/HPH_Carbon_Entitlement/weather/cmip_selected_years/ssp585/Beijing/beijing_ssp585_near_2030s_typical_2032.epw,14.343585,26596.030161,34.894855,0,56.208055,nearest_median_CDD18_within_time_slice,False,True,True
China,Beijing,ssp585,SSP5-8.5,near_2030s,2030-2039,hot,2037,beijing_ssp585_near_2030s_hot_2037,/Users/guo/Library/CloudStorage/OneDrive-TheUniversityOfHongKong/Drafts/HPH_Carbon_Entitlement/weather/cmip_selected_years/ssp585/Beijing/beijing_ssp585_near_2030s_hot_2037.epw,13.573192,29936.257513,35.413196,10,56.223518,maximum_CDD18_within_time_slice,False,False,True
China,Beijing,ssp585,SSP5-8.5,near_2030s,2030-2039,heatwave_extreme,2030,beijing_ssp585_near_2030s_heatwave_extreme_2030,/Users/guo/Library/CloudStorage/OneDrive-TheUniversityOfHongKong/Drafts/HPH_Carbon_Entitlement/weather/cmip_selected_years/ssp585/Beijing/beijing_ssp585_near_2030s_heatwave_extreme_2030.epw,12.897317,28829.887595,37.244627,59,56.241516,maximum_hours_temp_ge_35_then_max_temp,False,False,True
China,Beijing,ssp585,SSP5-8.5,mid_2050s,2050-2059,typical,2053,beijing_ssp585_mid_2050s_typical_2053,/Users/guo/Library/CloudStorage/OneDrive-TheUniversityOfHongKong/Drafts/HPH_Carbon_Entitlement/weather/cmip_selected_years/ssp585/Beijing/beijing_ssp585_mid_2050s_typical_2053.epw,15.043602,31059.089651,36.965182,41,56.219349,nearest_median_CDD18_within_time_slice,False,True,True
China,Beijing,ssp585,SSP5-8.5,mid_2050s,2050-2059,hot,2052,beijing_ssp585_mid_2050s_hot_2052,/Users/guo/Library/CloudStorage/OneDrive-TheUniversityOfHongKong/Drafts/HPH_Carbon_Entitlement/weather/cmip_selected_years/ssp585/Beijing/beijing_ssp585_mid_2050s_hot_2052.epw,15.566675,38823.246898,44.690405,375,56.212196,maximum_CDD18_within_time_slice,False,False,True
China,Beijing,ssp585,SSP5-8.5,mid_2050s,2050-2059,heatwave_extreme,2052,beijing_ssp585_mid_2050s_heatwave_extreme_2052,/Users/guo/Library/CloudStorage/OneDrive-TheUniversityOfHongKong/Drafts/HPH_Carbon_Entitlement/weather/cmip_selected_years/ssp585/Beijing/beijing_ssp585_mid_2050s_heatwave_extreme_2052.epw,15.566675,38823.246898,44.690405,375,56.212196,maximum_hours_temp_ge_35_then_max_temp,False,False,True
China,Beijing,ssp585,SSP5-8.5,late_2080s,2080-2089,typical,2084,beijing_ssp585_late_2080s_typical_2084,/Users/guo/Library/CloudStorage/OneDrive-TheUniversityOfHongKong/Drafts/HPH_Carbon_Entitlement/weather/cmip_selected_years/ssp585/Beijing/beijing_ssp585_late_2080s_typical_2084.epw,16.689317,37071.552971,42.710354,315,56.198282,nearest_median_CDD18_within_time_slice,False,True,True
China,Beijing,ssp585,SSP5-8.5,late_2080s,2080-2089,hot,2089,beijing_ssp585_late_2080s_hot_2089,/Users/guo/Library/CloudStorage/OneDrive-TheUniversityOfHongKong/Drafts/HPH_Carbon_Entitlement/weather/cmip_selected_years/ssp585/Beijing/beijing_ssp585_late_2080s_hot_2089.epw,17.771001,44549.847652,41.499104,420,56.247569,maximum_CDD18_within_time_slice,False,False,True
China,Beijing,ssp585,SSP5-8.5,late_2080s,2080-2089,heatwave_extreme,2089,beijing_ssp585_late_2080s_heatwave_extreme_2089,/Users/guo/Library/CloudStorage/OneDrive-TheUniversityOfHongKong/Drafts/HPH_Carbon_Entitlement/weather/cmip_selected_years/ssp585/Beijing/beijing_ssp585_late_2080s_heatwave_extreme_2089.epw,17.771001,44549.847652,41.499104,420,56.247569,maximum_hours_temp_ge_35_then_max_temp,False,False,True
