country,city,scenario,scenario_label,time_slice,year_window,severity,weather_year,weather_stem,epw_path,mean_T_out,CDD18_hourly,max_T_out,hours_temp_ge_35,humidity_metric,selector,stage_smoke,stage_typical,stage_full
United States,Phoenix,ssp585,SSP5-8.5,baseline_2020s,2025-2029,typical,2029,phoenix_ssp585_baseline_2020s_typical_2029,/Users/guo/Library/CloudStorage/OneDrive-TheUniversityOfHongKong/Drafts/HPH_Carbon_Entitlement/weather/cmip_selected_years/ssp585/Phoenix/phoenix_ssp585_baseline_2020s_typical_2029.epw,25.016553,74420.787043,44.905296,1628,33.556126,nearest_median_CDD18_within_time_slice,False,True,True
United States,Phoenix,ssp585,SSP5-8.5,baseline_2020s,2025-2029,hot,2025,phoenix_ssp585_baseline_2020s_hot_2025,/Users/guo/Library/CloudStorage/OneDrive-TheUniversityOfHongKong/Drafts/HPH_Carbon_Entitlement/weather/cmip_selected_years/ssp585/Phoenix/phoenix_ssp585_baseline_2020s_hot_2025.epw,25.640416,78622.580501,48.569826,1894,33.49459,maximum_CDD18_within_time_slice,False,False,True
United States,Phoenix,ssp585,SSP5-8.5,baseline_2020s,2025-2029,heatwave_extreme,2025,phoenix_ssp585_baseline_2020s_heatwave_extreme_2025,/Users/guo/Library/CloudStorage/OneDrive-TheUniversityOfHongKong/Drafts/HPH_Carbon_Entitlement/weather/cmip_selected_years/ssp585/Phoenix/phoenix_ssp585_baseline_2020s_heatwave_extreme_2025.epw,25.640416,78622.580501,48.569826,1894,33.49459,maximum_hours_temp_ge_35_then_max_temp,False,False,True
United States,Phoenix,ssp585,SSP5-8.5,near_2030s,2030-2039,typical,2034,phoenix_ssp585_near_2030s_typical_2034,/Users/guo/Library/CloudStorage/OneDrive-TheUniversityOfHongKong/Drafts/HPH_Carbon_Entitlement/weather/cmip_selected_years/ssp585/Phoenix/phoenix_ssp585_near_2030s_typical_2034.epw,25.208201,74176.572764,49.303614,1591,33.648513,nearest_median_CDD18_within_time_slice,False,True,True
United States,Phoenix,ssp585,SSP5-8.5,near_2030s,2030-2039,hot,2033,phoenix_ssp585_near_2030s_hot_2033,/Users/guo/Library/CloudStorage/OneDrive-TheUniversityOfHongKong/Drafts/HPH_Carbon_Entitlement/weather/cmip_selected_years/ssp585/Phoenix/phoenix_ssp585_near_2030s_hot_2033.epw,26.034553,80932.709053,46.648872,1953,33.602182,maximum_CDD18_within_time_slice,False,False,True
United States,Phoenix,ssp585,SSP5-8.5,near_2030s,2030-2039,heatwave_extreme,2033,phoenix_ssp585_near_2030s_heatwave_extreme_2033,/Users/guo/Library/CloudStorage/OneDrive-TheUniversityOfHongKong/Drafts/HPH_Carbon_Entitlement/weather/cmip_selected_years/ssp585/Phoenix/phoenix_ssp585_near_2030s_heatwave_extreme_2033.epw,26.034553,80932.709053,46.648872,1953,33.602182,maximum_hours_temp_ge_35_then_max_temp,False,False,True
United States,Phoenix,ssp585,SSP5-8.5,mid_2050s,2050-2059,typical,2050,phoenix_ssp585_mid_2050s_typical_2050,/Users/guo/Library/CloudStorage/OneDrive-TheUniversityOfHongKong/Drafts/HPH_Carbon_Entitlement/weather/cmip_selected_years/ssp585/Phoenix/phoenix_ssp585_mid_2050s_typical_2050.epw,25.588838,76954.190981,46.5043,1889,33.594741,nearest_median_CDD18_within_time_slice,False,True,True
United States,Phoenix,ssp585,SSP5-8.5,mid_2050s,2050-2059,hot,2057,phoenix_ssp585_mid_2050s_hot_2057,/Users/guo/Library/CloudStorage/OneDrive-TheUniversityOfHongKong/Drafts/HPH_Carbon_Entitlement/weather/cmip_selected_years/ssp585/Phoenix/phoenix_ssp585_mid_2050s_hot_2057.epw,27.039852,87912.98681,48.190054,2145,33.606312,maximum_CDD18_within_time_slice,False,False,True
United States,Phoenix,ssp585,SSP5-8.5,mid_2050s,2050-2059,heatwave_extreme,2057,phoenix_ssp585_mid_2050s_heatwave_extreme_2057,/Users/guo/Library/CloudStorage/OneDrive-TheUniversityOfHongKong/Drafts/HPH_Carbon_Entitlement/weather/cmip_selected_years/ssp585/Phoenix/phoenix_ssp585_mid_2050s_heatwave_extreme_2057.epw,27.039852,87912.98681,48.190054,2145,33.606312,maximum_hours_temp_ge_35_then_max_temp,False,False,True
United States,Phoenix,ssp585,SSP5-8.5,late_2080s,2080-2089,typical,2081,phoenix_ssp585_late_2080s_typical_2081,/Users/guo/Library/CloudStorage/OneDrive-TheUniversityOfHongKong/Drafts/HPH_Carbon_Entitlement/weather/cmip_selected_years/ssp585/Phoenix/phoenix_ssp585_late_2080s_typical_2081.epw,28.69478,98388.791575,51.126026,2713,33.604888,nearest_median_CDD18_within_time_slice,False,True,True
United States,Phoenix,ssp585,SSP5-8.5,late_2080s,2080-2089,hot,2089,phoenix_ssp585_late_2080s_hot_2089,/Users/guo/Library/CloudStorage/OneDrive-TheUniversityOfHongKong/Drafts/HPH_Carbon_Entitlement/weather/cmip_selected_years/ssp585/Phoenix/phoenix_ssp585_late_2080s_hot_2089.epw,28.691407,100416.173126,49.815548,2950,33.58935,maximum_CDD18_within_time_slice,False,False,True
United States,Phoenix,ssp585,SSP5-8.5,late_2080s,2080-2089,heatwave_extreme,2085,phoenix_ssp585_late_2080s_heatwave_extreme_2085,/Users/guo/Library/CloudStorage/OneDrive-TheUniversityOfHongKong/Drafts/HPH_Carbon_Entitlement/weather/cmip_selected_years/ssp585/Phoenix/phoenix_ssp585_late_2080s_heatwave_extreme_2085.epw,28.533525,98583.505737,50.015845,2961,33.582353,maximum_hours_temp_ge_35_then_max_temp,False,False,True
