country,city,scenario,scenario_label,time_slice,year_window,severity,weather_year,weather_stem,epw_path,mean_T_out,CDD18_hourly,max_T_out,hours_temp_ge_35,humidity_metric,selector,stage_smoke,stage_typical,stage_full
China,Guangzhou,ssp585,SSP5-8.5,baseline_2020s,2025-2029,typical,2025,guangzhou_ssp585_baseline_2020s_typical_2025,/Users/guo/Library/CloudStorage/OneDrive-TheUniversityOfHongKong/Drafts/HPH_Carbon_Entitlement/weather/cmip_selected_years/ssp585/Guangzhou/guangzhou_ssp585_baseline_2020s_typical_2025.epw,22.902355,54708.335841,35.866288,7,71.982966,nearest_median_CDD18_within_time_slice,False,True,True
China,Guangzhou,ssp585,SSP5-8.5,baseline_2020s,2025-2029,hot,2028,guangzhou_ssp585_baseline_2020s_hot_2028,/Users/guo/Library/CloudStorage/OneDrive-TheUniversityOfHongKong/Drafts/HPH_Carbon_Entitlement/weather/cmip_selected_years/ssp585/Guangzhou/guangzhou_ssp585_baseline_2020s_hot_2028.epw,23.386911,57045.294766,34.757575,0,72.031759,maximum_CDD18_within_time_slice,False,False,True
China,Guangzhou,ssp585,SSP5-8.5,baseline_2020s,2025-2029,heatwave_extreme,2026,guangzhou_ssp585_baseline_2020s_heatwave_extreme_2026,/Users/guo/Library/CloudStorage/OneDrive-TheUniversityOfHongKong/Drafts/HPH_Carbon_Entitlement/weather/cmip_selected_years/ssp585/Guangzhou/guangzhou_ssp585_baseline_2020s_heatwave_extreme_2026.epw,23.213375,54084.447179,35.800724,18,72.044246,maximum_hours_temp_ge_35_then_max_temp,False,False,True
China,Guangzhou,ssp585,SSP5-8.5,near_2030s,2030-2039,typical,2039,guangzhou_ssp585_near_2030s_typical_2039,/Users/guo/Library/CloudStorage/OneDrive-TheUniversityOfHongKong/Drafts/HPH_Carbon_Entitlement/weather/cmip_selected_years/ssp585/Guangzhou/guangzhou_ssp585_near_2030s_typical_2039.epw,23.586146,57982.795143,34.811663,0,72.050004,nearest_median_CDD18_within_time_slice,False,True,True
China,Guangzhou,ssp585,SSP5-8.5,near_2030s,2030-2039,hot,2033,guangzhou_ssp585_near_2030s_hot_2033,/Users/guo/Library/CloudStorage/OneDrive-TheUniversityOfHongKong/Drafts/HPH_Carbon_Entitlement/weather/cmip_selected_years/ssp585/Guangzhou/guangzhou_ssp585_near_2030s_hot_2033.epw,23.934567,60325.235809,35.4307,9,72.050393,maximum_CDD18_within_time_slice,False,False,True
China,Guangzhou,ssp585,SSP5-8.5,near_2030s,2030-2039,heatwave_extreme,2033,guangzhou_ssp585_near_2030s_heatwave_extreme_2033,/Users/guo/Library/CloudStorage/OneDrive-TheUniversityOfHongKong/Drafts/HPH_Carbon_Entitlement/weather/cmip_selected_years/ssp585/Guangzhou/guangzhou_ssp585_near_2030s_heatwave_extreme_2033.epw,23.934567,60325.235809,35.4307,9,72.050393,maximum_hours_temp_ge_35_then_max_temp,False,False,True
China,Guangzhou,ssp585,SSP5-8.5,mid_2050s,2050-2059,typical,2050,guangzhou_ssp585_mid_2050s_typical_2050,/Users/guo/Library/CloudStorage/OneDrive-TheUniversityOfHongKong/Drafts/HPH_Carbon_Entitlement/weather/cmip_selected_years/ssp585/Guangzhou/guangzhou_ssp585_mid_2050s_typical_2050.epw,24.027006,62479.564271,36.017723,41,72.04314,nearest_median_CDD18_within_time_slice,False,True,True
China,Guangzhou,ssp585,SSP5-8.5,mid_2050s,2050-2059,hot,2057,guangzhou_ssp585_mid_2050s_hot_2057,/Users/guo/Library/CloudStorage/OneDrive-TheUniversityOfHongKong/Drafts/HPH_Carbon_Entitlement/weather/cmip_selected_years/ssp585/Guangzhou/guangzhou_ssp585_mid_2050s_hot_2057.epw,25.297334,70027.558385,35.762095,17,72.038973,maximum_CDD18_within_time_slice,False,False,True
China,Guangzhou,ssp585,SSP5-8.5,mid_2050s,2050-2059,heatwave_extreme,2059,guangzhou_ssp585_mid_2050s_heatwave_extreme_2059,/Users/guo/Library/CloudStorage/OneDrive-TheUniversityOfHongKong/Drafts/HPH_Carbon_Entitlement/weather/cmip_selected_years/ssp585/Guangzhou/guangzhou_ssp585_mid_2050s_heatwave_extreme_2059.epw,24.858082,66711.613399,36.188511,72,72.031042,maximum_hours_temp_ge_35_then_max_temp,False,False,True
China,Guangzhou,ssp585,SSP5-8.5,late_2080s,2080-2089,typical,2087,guangzhou_ssp585_late_2080s_typical_2087,/Users/guo/Library/CloudStorage/OneDrive-TheUniversityOfHongKong/Drafts/HPH_Carbon_Entitlement/weather/cmip_selected_years/ssp585/Guangzhou/guangzhou_ssp585_late_2080s_typical_2087.epw,26.621425,79110.158598,37.143297,239,72.029404,nearest_median_CDD18_within_time_slice,False,True,True
