country,city,scenario,scenario_label,time_slice,year_window,severity,weather_year,weather_stem,epw_path,mean_T_out,CDD18_hourly,max_T_out,hours_temp_ge_35,humidity_metric,selector,stage_smoke,stage_typical,stage_full
United States,Houston,ssp585,SSP5-8.5,baseline_2020s,2025-2029,typical,2025,houston_ssp585_baseline_2020s_typical_2025,/Users/guo/Library/CloudStorage/OneDrive-TheUniversityOfHongKong/Drafts/HPH_Carbon_Entitlement/weather/cmip_selected_years/ssp585/Houston/houston_ssp585_baseline_2020s_typical_2025.epw,21.306139,48976.900791,36.651984,97,73.934033,nearest_median_CDD18_within_time_slice,False,True,True
United States,Houston,ssp585,SSP5-8.5,baseline_2020s,2025-2029,hot,2026,houston_ssp585_baseline_2020s_hot_2026,/Users/guo/Library/CloudStorage/OneDrive-TheUniversityOfHongKong/Drafts/HPH_Carbon_Entitlement/weather/cmip_selected_years/ssp585/Houston/houston_ssp585_baseline_2020s_hot_2026.epw,21.498924,51515.730925,37.109821,50,74.051801,maximum_CDD18_within_time_slice,False,False,True
United States,Houston,ssp585,SSP5-8.5,baseline_2020s,2025-2029,heatwave_extreme,2025,houston_ssp585_baseline_2020s_heatwave_extreme_2025,/Users/guo/Library/CloudStorage/OneDrive-TheUniversityOfHongKong/Drafts/HPH_Carbon_Entitlement/weather/cmip_selected_years/ssp585/Houston/houston_ssp585_baseline_2020s_heatwave_extreme_2025.epw,21.306139,48976.900791,36.651984,97,73.934033,maximum_hours_temp_ge_35_then_max_temp,False,False,True
United States,Houston,ssp585,SSP5-8.5,near_2030s,2030-2039,typical,2038,houston_ssp585_near_2030s_typical_2038,/Users/guo/Library/CloudStorage/OneDrive-TheUniversityOfHongKong/Drafts/HPH_Carbon_Entitlement/weather/cmip_selected_years/ssp585/Houston/houston_ssp585_near_2030s_typical_2038.epw,21.397709,50529.802341,36.461778,61,74.033975,nearest_median_CDD18_within_time_slice,False,True,True
United States,Houston,ssp585,SSP5-8.5,near_2030s,2030-2039,hot,2035,houston_ssp585_near_2030s_hot_2035,/Users/guo/Library/CloudStorage/OneDrive-TheUniversityOfHongKong/Drafts/HPH_Carbon_Entitlement/weather/cmip_selected_years/ssp585/Houston/houston_ssp585_near_2030s_hot_2035.epw,23.35509,55712.890218,36.268063,73,74.038756,maximum_CDD18_within_time_slice,False,False,True
United States,Houston,ssp585,SSP5-8.5,near_2030s,2030-2039,heatwave_extreme,2037,houston_ssp585_near_2030s_heatwave_extreme_2037,/Users/guo/Library/CloudStorage/OneDrive-TheUniversityOfHongKong/Drafts/HPH_Carbon_Entitlement/weather/cmip_selected_years/ssp585/Houston/houston_ssp585_near_2030s_heatwave_extreme_2037.epw,23.133251,54920.728954,37.216136,158,74.046504,maximum_hours_temp_ge_35_then_max_temp,False,False,True
United States,Houston,ssp585,SSP5-8.5,mid_2050s,2050-2059,typical,2055,houston_ssp585_mid_2050s_typical_2055,/Users/guo/Library/CloudStorage/OneDrive-TheUniversityOfHongKong/Drafts/HPH_Carbon_Entitlement/weather/cmip_selected_years/ssp585/Houston/houston_ssp585_mid_2050s_typical_2055.epw,22.476906,53399.664922,36.309401,108,74.017853,nearest_median_CDD18_within_time_slice,False,True,True
United States,Houston,ssp585,SSP5-8.5,mid_2050s,2050-2059,hot,2058,houston_ssp585_mid_2050s_hot_2058,/Users/guo/Library/CloudStorage/OneDrive-TheUniversityOfHongKong/Drafts/HPH_Carbon_Entitlement/weather/cmip_selected_years/ssp585/Houston/houston_ssp585_mid_2050s_hot_2058.epw,22.997088,58012.747999,37.367442,229,74.029557,maximum_CDD18_within_time_slice,False,False,True
United States,Houston,ssp585,SSP5-8.5,mid_2050s,2050-2059,heatwave_extreme,2059,houston_ssp585_mid_2050s_heatwave_extreme_2059,/Users/guo/Library/CloudStorage/OneDrive-TheUniversityOfHongKong/Drafts/HPH_Carbon_Entitlement/weather/cmip_selected_years/ssp585/Houston/houston_ssp585_mid_2050s_heatwave_extreme_2059.epw,22.709335,55983.736241,37.350455,263,74.041194,maximum_hours_temp_ge_35_then_max_temp,False,False,True
United States,Houston,ssp585,SSP5-8.5,late_2080s,2080-2089,typical,2088,houston_ssp585_late_2080s_typical_2088,/Users/guo/Library/CloudStorage/OneDrive-TheUniversityOfHongKong/Drafts/HPH_Carbon_Entitlement/weather/cmip_selected_years/ssp585/Houston/houston_ssp585_late_2080s_typical_2088.epw,24.197236,64961.207128,39.935992,709,74.031558,nearest_median_CDD18_within_time_slice,False,True,True
United States,Houston,ssp585,SSP5-8.5,late_2080s,2080-2089,hot,2080,houston_ssp585_late_2080s_hot_2080,/Users/guo/Library/CloudStorage/OneDrive-TheUniversityOfHongKong/Drafts/HPH_Carbon_Entitlement/weather/cmip_selected_years/ssp585/Houston/houston_ssp585_late_2080s_hot_2080.epw,24.850574,68048.905924,38.571642,656,74.039013,maximum_CDD18_within_time_slice,False,False,True
United States,Houston,ssp585,SSP5-8.5,late_2080s,2080-2089,heatwave_extreme,2086,houston_ssp585_late_2080s_heatwave_extreme_2086,/Users/guo/Library/CloudStorage/OneDrive-TheUniversityOfHongKong/Drafts/HPH_Carbon_Entitlement/weather/cmip_selected_years/ssp585/Houston/houston_ssp585_late_2080s_heatwave_extreme_2086.epw,23.906846,63687.861784,38.656594,725,74.031674,maximum_hours_temp_ge_35_then_max_temp,False,False,True
