country,city,scenario,scenario_label,time_slice,year_window,severity,weather_year,weather_stem,epw_path,mean_T_out,CDD18_hourly,max_T_out,hours_temp_ge_35,humidity_metric,selector,stage_smoke,stage_typical,stage_full
India,Kolkata,ssp585,SSP5-8.5,baseline_2020s,2025-2029,typical,2029,kolkata_ssp585_baseline_2020s_typical_2029,/Users/guo/Library/CloudStorage/OneDrive-TheUniversityOfHongKong/Drafts/HPH_Carbon_Entitlement/weather/cmip_selected_years/ssp585/Kolkata/kolkata_ssp585_baseline_2020s_typical_2029.epw,25.246182,67733.113473,38.356587,104,75.415999,nearest_median_CDD18_within_time_slice,False,True,True
India,Kolkata,ssp585,SSP5-8.5,baseline_2020s,2025-2029,hot,2026,kolkata_ssp585_baseline_2020s_hot_2026,/Users/guo/Library/CloudStorage/OneDrive-TheUniversityOfHongKong/Drafts/HPH_Carbon_Entitlement/weather/cmip_selected_years/ssp585/Kolkata/kolkata_ssp585_baseline_2020s_hot_2026.epw,26.046112,73213.520978,38.998067,235,75.436668,maximum_CDD18_within_time_slice,False,False,True
India,Kolkata,ssp585,SSP5-8.5,baseline_2020s,2025-2029,heatwave_extreme,2027,kolkata_ssp585_baseline_2020s_heatwave_extreme_2027,/Users/guo/Library/CloudStorage/OneDrive-TheUniversityOfHongKong/Drafts/HPH_Carbon_Entitlement/weather/cmip_selected_years/ssp585/Kolkata/kolkata_ssp585_baseline_2020s_heatwave_extreme_2027.epw,25.48185,68898.125349,39.650146,280,75.425648,maximum_hours_temp_ge_35_then_max_temp,False,False,True
India,Kolkata,ssp585,SSP5-8.5,near_2030s,2030-2039,typical,2038,kolkata_ssp585_near_2030s_typical_2038,/Users/guo/Library/CloudStorage/OneDrive-TheUniversityOfHongKong/Drafts/HPH_Carbon_Entitlement/weather/cmip_selected_years/ssp585/Kolkata/kolkata_ssp585_near_2030s_typical_2038.epw,24.86027,64616.926824,39.969712,233,75.429458,nearest_median_CDD18_within_time_slice,False,True,True
India,Kolkata,ssp585,SSP5-8.5,near_2030s,2030-2039,hot,2030,kolkata_ssp585_near_2030s_hot_2030,/Users/guo/Library/CloudStorage/OneDrive-TheUniversityOfHongKong/Drafts/HPH_Carbon_Entitlement/weather/cmip_selected_years/ssp585/Kolkata/kolkata_ssp585_near_2030s_hot_2030.epw,25.765888,72092.918343,39.523241,265,75.438233,maximum_CDD18_within_time_slice,False,False,True
India,Kolkata,ssp585,SSP5-8.5,near_2030s,2030-2039,heatwave_extreme,2032,kolkata_ssp585_near_2030s_heatwave_extreme_2032,/Users/guo/Library/CloudStorage/OneDrive-TheUniversityOfHongKong/Drafts/HPH_Carbon_Entitlement/weather/cmip_selected_years/ssp585/Kolkata/kolkata_ssp585_near_2030s_heatwave_extreme_2032.epw,25.031005,65640.381845,38.346068,313,75.413962,maximum_hours_temp_ge_35_then_max_temp,False,False,True
India,Kolkata,ssp585,SSP5-8.5,mid_2050s,2050-2059,typical,2057,kolkata_ssp585_mid_2050s_typical_2057,/Users/guo/Library/CloudStorage/OneDrive-TheUniversityOfHongKong/Drafts/HPH_Carbon_Entitlement/weather/cmip_selected_years/ssp585/Kolkata/kolkata_ssp585_mid_2050s_typical_2057.epw,26.459367,76080.320371,40.913649,473,75.435626,nearest_median_CDD18_within_time_slice,False,True,True
India,Kolkata,ssp585,SSP5-8.5,mid_2050s,2050-2059,hot,2059,kolkata_ssp585_mid_2050s_hot_2059,/Users/guo/Library/CloudStorage/OneDrive-TheUniversityOfHongKong/Drafts/HPH_Carbon_Entitlement/weather/cmip_selected_years/ssp585/Kolkata/kolkata_ssp585_mid_2050s_hot_2059.epw,29.378027,100314.774345,40.690338,961,75.443652,maximum_CDD18_within_time_slice,False,False,True
India,Kolkata,ssp585,SSP5-8.5,mid_2050s,2050-2059,heatwave_extreme,2059,kolkata_ssp585_mid_2050s_heatwave_extreme_2059,/Users/guo/Library/CloudStorage/OneDrive-TheUniversityOfHongKong/Drafts/HPH_Carbon_Entitlement/weather/cmip_selected_years/ssp585/Kolkata/kolkata_ssp585_mid_2050s_heatwave_extreme_2059.epw,29.378027,100314.774345,40.690338,961,75.443652,maximum_hours_temp_ge_35_then_max_temp,False,False,True
India,Kolkata,ssp585,SSP5-8.5,late_2080s,2080-2089,typical,2088,kolkata_ssp585_late_2080s_typical_2088,/Users/guo/Library/CloudStorage/OneDrive-TheUniversityOfHongKong/Drafts/HPH_Carbon_Entitlement/weather/cmip_selected_years/ssp585/Kolkata/kolkata_ssp585_late_2080s_typical_2088.epw,28.570697,93279.44852,42.952133,691,75.414756,nearest_median_CDD18_within_time_slice,False,True,True
India,Kolkata,ssp585,SSP5-8.5,late_2080s,2080-2089,hot,2080,kolkata_ssp585_late_2080s_hot_2080,/Users/guo/Library/CloudStorage/OneDrive-TheUniversityOfHongKong/Drafts/HPH_Carbon_Entitlement/weather/cmip_selected_years/ssp585/Kolkata/kolkata_ssp585_late_2080s_hot_2080.epw,29.845818,104410.475404,42.83983,1106,75.428341,maximum_CDD18_within_time_slice,False,False,True
India,Kolkata,ssp585,SSP5-8.5,late_2080s,2080-2089,heatwave_extreme,2080,kolkata_ssp585_late_2080s_heatwave_extreme_2080,/Users/guo/Library/CloudStorage/OneDrive-TheUniversityOfHongKong/Drafts/HPH_Carbon_Entitlement/weather/cmip_selected_years/ssp585/Kolkata/kolkata_ssp585_late_2080s_heatwave_extreme_2080.epw,29.845818,104410.475404,42.83983,1106,75.428341,maximum_hours_temp_ge_35_then_max_temp,False,False,True
