country,city,scenario,scenario_label,time_slice,year_window,severity,weather_year,weather_stem,epw_path,mean_T_out,CDD18_hourly,max_T_out,hours_temp_ge_35,humidity_metric,selector,stage_smoke,stage_typical,stage_full
United States,Phoenix,ssp245,SSP2-4.5,baseline_2020s,2025-2029,typical,2026,phoenix_ssp245_baseline_2020s_typical_2026,/Users/guo/Library/CloudStorage/OneDrive-TheUniversityOfHongKong/Drafts/HPH_Carbon_Entitlement/weather/cmip_selected_years/ssp245/Phoenix/phoenix_ssp245_baseline_2020s_typical_2026.epw,24.539072,71184.114389,44.22628,1335,33.624821,nearest_median_CDD18_within_time_slice,False,True,True
United States,Phoenix,ssp245,SSP2-4.5,baseline_2020s,2025-2029,hot,2028,phoenix_ssp245_baseline_2020s_hot_2028,/Users/guo/Library/CloudStorage/OneDrive-TheUniversityOfHongKong/Drafts/HPH_Carbon_Entitlement/weather/cmip_selected_years/ssp245/Phoenix/phoenix_ssp245_baseline_2020s_hot_2028.epw,25.185899,74823.600944,45.26742,1518,33.696174,maximum_CDD18_within_time_slice,False,False,True
United States,Phoenix,ssp245,SSP2-4.5,baseline_2020s,2025-2029,heatwave_extreme,2025,phoenix_ssp245_baseline_2020s_heatwave_extreme_2025,/Users/guo/Library/CloudStorage/OneDrive-TheUniversityOfHongKong/Drafts/HPH_Carbon_Entitlement/weather/cmip_selected_years/ssp245/Phoenix/phoenix_ssp245_baseline_2020s_heatwave_extreme_2025.epw,24.411948,71605.855553,44.727355,1535,33.49459,maximum_hours_temp_ge_35_then_max_temp,False,False,True
United States,Phoenix,ssp245,SSP2-4.5,near_2030s,2030-2039,typical,2034,phoenix_ssp245_near_2030s_typical_2034,/Users/guo/Library/CloudStorage/OneDrive-TheUniversityOfHongKong/Drafts/HPH_Carbon_Entitlement/weather/cmip_selected_years/ssp245/Phoenix/phoenix_ssp245_near_2030s_typical_2034.epw,25.014287,73921.16468,44.107186,1617,33.648513,nearest_median_CDD18_within_time_slice,False,True,True
United States,Phoenix,ssp245,SSP2-4.5,near_2030s,2030-2039,hot,2039,phoenix_ssp245_near_2030s_hot_2039,/Users/guo/Library/CloudStorage/OneDrive-TheUniversityOfHongKong/Drafts/HPH_Carbon_Entitlement/weather/cmip_selected_years/ssp245/Phoenix/phoenix_ssp245_near_2030s_hot_2039.epw,25.913598,78473.175476,45.838799,1872,33.574899,maximum_CDD18_within_time_slice,False,False,True
United States,Phoenix,ssp245,SSP2-4.5,near_2030s,2030-2039,heatwave_extreme,2039,phoenix_ssp245_near_2030s_heatwave_extreme_2039,/Users/guo/Library/CloudStorage/OneDrive-TheUniversityOfHongKong/Drafts/HPH_Carbon_Entitlement/weather/cmip_selected_years/ssp245/Phoenix/phoenix_ssp245_near_2030s_heatwave_extreme_2039.epw,25.913598,78473.175476,45.838799,1872,33.574899,maximum_hours_temp_ge_35_then_max_temp,False,False,True
United States,Phoenix,ssp245,SSP2-4.5,mid_2050s,2050-2059,typical,2054,phoenix_ssp245_mid_2050s_typical_2054,/Users/guo/Library/CloudStorage/OneDrive-TheUniversityOfHongKong/Drafts/HPH_Carbon_Entitlement/weather/cmip_selected_years/ssp245/Phoenix/phoenix_ssp245_mid_2050s_typical_2054.epw,25.475446,76295.930138,49.096773,1771,33.566478,nearest_median_CDD18_within_time_slice,False,True,True
United States,Phoenix,ssp245,SSP2-4.5,mid_2050s,2050-2059,hot,2058,phoenix_ssp245_mid_2050s_hot_2058,/Users/guo/Library/CloudStorage/OneDrive-TheUniversityOfHongKong/Drafts/HPH_Carbon_Entitlement/weather/cmip_selected_years/ssp245/Phoenix/phoenix_ssp245_mid_2050s_hot_2058.epw,26.193468,79853.399059,45.418481,1921,33.577987,maximum_CDD18_within_time_slice,False,False,True
United States,Phoenix,ssp245,SSP2-4.5,mid_2050s,2050-2059,heatwave_extreme,2051,phoenix_ssp245_mid_2050s_heatwave_extreme_2051,/Users/guo/Library/CloudStorage/OneDrive-TheUniversityOfHongKong/Drafts/HPH_Carbon_Entitlement/weather/cmip_selected_years/ssp245/Phoenix/phoenix_ssp245_mid_2050s_heatwave_extreme_2051.epw,25.948845,79759.73184,48.40026,1945,33.608246,maximum_hours_temp_ge_35_then_max_temp,False,False,True
United States,Phoenix,ssp245,SSP2-4.5,late_2080s,2080-2089,typical,2081,phoenix_ssp245_late_2080s_typical_2081,/Users/guo/Library/CloudStorage/OneDrive-TheUniversityOfHongKong/Drafts/HPH_Carbon_Entitlement/weather/cmip_selected_years/ssp245/Phoenix/phoenix_ssp245_late_2080s_typical_2081.epw,25.969207,79219.739395,46.901102,1870,33.604888,nearest_median_CDD18_within_time_slice,False,True,True
United States,Phoenix,ssp245,SSP2-4.5,late_2080s,2080-2089,hot,2086,phoenix_ssp245_late_2080s_hot_2086,/Users/guo/Library/CloudStorage/OneDrive-TheUniversityOfHongKong/Drafts/HPH_Carbon_Entitlement/weather/cmip_selected_years/ssp245/Phoenix/phoenix_ssp245_late_2080s_hot_2086.epw,27.016198,88651.441811,47.308803,2253,33.601588,maximum_CDD18_within_time_slice,False,False,True
United States,Phoenix,ssp245,SSP2-4.5,late_2080s,2080-2089,heatwave_extreme,2086,phoenix_ssp245_late_2080s_heatwave_extreme_2086,/Users/guo/Library/CloudStorage/OneDrive-TheUniversityOfHongKong/Drafts/HPH_Carbon_Entitlement/weather/cmip_selected_years/ssp245/Phoenix/phoenix_ssp245_late_2080s_heatwave_extreme_2086.epw,27.016198,88651.441811,47.308803,2253,33.601588,maximum_hours_temp_ge_35_then_max_temp,False,False,True
