weather,time_slice,severity,strategy,occupied_steps,electricity_kwh,natural_gas_kwh,mean_top_c,mean_pmv,mean_ppd_pct,ppd_gt_10_pct,ppd_gt_25_pct,ppd_gt_50_pct,pmv_abs_gt_0_5_pct,pmv_abs_gt_1_0_pct,adaptive_violation_pct,adaptive_80_violation_pct,adaptive_90_violation_pct,mean_adaptive_warm_slack_80_c,mean_adaptive_warm_slack_90_c,mean_p_tail,p95_p_tail,p_tail_ge_0_20_pct,mean_warm_tail,mean_cold_tail,cooling_sp_mean_c,cooling_sp_max_c,heating_sp_mean_c,heating_sp_min_c,warm_requests_pct,cold_requests_pct,no_risk_requests_pct,warm_protection_actions,cold_protection_actions,energy_relax_actions,guard_hold_records,idle_actions,dominant_request_source,max_zone_p_tail_ge_0_20_pct,max_zone_mean_p_tail,electricity_change_vs_reference_pct
guangzhou_ssp585_baseline_2020s_heatwave_extreme_2026,baseline_2020s,heatwave_extreme,diagnostic_reference,640,25059.439621252317,877.1497382728243,26.333390076504873,0.59526875,14.278297279135064,58.12500000000001,12.968750000000002,0.0,58.28124999999999,12.03125,0.0,0.0,0.0,4.518260413519954,3.518260413519954,0.1272696089608037,0.2956555720374423,15.312500000000002,0.1038589201577851,0.0234106888030185,24.0,24.0,22.0,22.0,0.0,0.0,100.0,0,0,0,0,640,,51.40625,0.1960457883476347,0.0
guangzhou_ssp585_baseline_2020s_heatwave_extreme_2026,baseline_2020s,heatwave_extreme,paperb_adaptive_band_relax,640,24584.745553019467,877.1290059967695,26.524348953088996,0.6437489583333333,15.434163415082551,64.375,14.0625,0.0,62.96874999999999,12.812499999999998,0.0,0.0,0.0,4.327301536935829,3.327301536935829,0.1347937196065092,0.3010517114860808,17.03125,0.1127158693511267,0.0220778502553824,24.5,24.5,21.5,21.5,0.0,0.0,100.0,0,0,10,0,630,none,50.46874999999999,0.2035895996961704,-1.894272479382475
guangzhou_ssp585_baseline_2020s_heatwave_extreme_2026,baseline_2020s,heatwave_extreme,paperb_gate_tail_asym_relax,640,24588.734790545954,877.1290508486147,26.524996345136067,0.6440187500000001,15.26209787253086,63.4375,13.90625,0.0,62.96874999999999,12.812499999999998,0.0,0.0,0.0,4.326654144888766,3.3266541448887663,0.1347618656252129,0.3010517114860808,16.71875,0.1126844079006663,0.0220774577245465,24.3837890625,24.5,21.503515625,21.5,16.71875,0.0,83.28125,10,0,20,0,610,none,50.625,0.2038452123831602,-1.8783533782901096
guangzhou_ssp585_baseline_2020s_heatwave_extreme_2026,baseline_2020s,heatwave_extreme,paperb_pmv_exceedance_guard_relax,640,24638.5130307769,877.1315202656623,26.521172711794986,0.6436041666666666,15.43911331113964,64.375,14.0625,0.0,62.81250000000001,12.812499999999998,0.0,0.0,0.0,4.330477778229847,3.3304777782298465,0.1352207979904293,0.2999189802381938,17.03125,0.1130095450021653,0.022211252988264,24.327747058868407,24.5,21.56524543762207,21.5,12.812499999999998,0.0,87.1875,22,0,13,320,605,pmv_mild_hold,50.625,0.2047034056993117,-1.6797127024278713
guangzhou_ssp585_baseline_2020s_heatwave_extreme_2026,baseline_2020s,heatwave_extreme,paperb_pmv_relax,640,24737.8887304995,877.1451519703846,26.505087978818732,0.64035,15.353570451600888,63.90625,14.0625,0.0,62.81250000000001,12.812499999999998,0.0,0.0,0.0,4.34656251120609,3.3465625112060904,0.1350823420720074,0.2981202585824588,16.5625,0.1126616765386734,0.0224206655333339,24.059277284145356,24.5,21.558691328763963,21.5,62.81250000000001,0.0,37.1875,60,0,38,0,542,pmv_warm,52.03124999999999,0.2064534378937099,-1.2831527584524105
guangzhou_ssp585_baseline_2020s_heatwave_extreme_2026,baseline_2020s,heatwave_extreme,paperb_ppd_guard_relax,640,24645.21612783337,877.1316367412916,26.520548772570628,0.643484375,15.438803027933744,64.375,14.0625,0.0,62.81250000000001,12.968750000000002,0.0,0.0,0.0,4.331101717454199,3.3311017174541986,0.1353215876943383,0.2999189802381938,17.03125,0.1130673564706638,0.0222542312236745,24.30269145965576,24.5,21.597588062286377,21.5,14.0625,0.0,85.9375,25,0,12,322,603,ppd_hold,50.625,0.2047890242042123,-1.6529639117215278
guangzhou_ssp585_baseline_2020s_heatwave_extreme_2026,baseline_2020s,heatwave_extreme,reference,640,25059.439621252317,877.1497382728243,26.333390076504873,0.59526875,14.278297279135064,58.12500000000001,12.968750000000002,0.0,58.28124999999999,12.03125,0.0,0.0,0.0,4.518260413519954,3.518260413519954,,,0.0,,,24.0,24.0,22.0,22.0,0.0,0.0,100.0,0,0,0,0,640,,0.0,,0.0
guangzhou_ssp585_baseline_2020s_hot_2028,baseline_2020s,hot,diagnostic_reference,640,22939.464707896837,877.2023473629305,25.63611579944966,0.3678249999999999,9.095521555774178,25.46875,3.5937499999999996,0.0,25.46875,2.8125,0.0,0.0,0.0,4.6409575245018475,3.640957524501847,0.0857847224292312,0.2027139171235255,5.46875,0.0570783193922897,0.0287064030369414,24.0,24.0,22.0,22.0,0.0,0.0,100.0,0,0,0,0,640,,17.96875,0.1252127501675878,0.0
guangzhou_ssp585_baseline_2020s_hot_2028,baseline_2020s,hot,paperb_adaptive_band_relax,640,22444.39498463733,877.1549819174293,25.97778917571103,0.4612479166666666,10.636311883054024,32.34375,7.187499999999999,0.0,30.9375,7.03125,0.0,0.0,0.0,4.299284148240473,3.2992841482404733,0.0990264237482015,0.23743869313191,7.34375,0.0724717498933913,0.0265546738548102,24.5,24.5,21.5,21.5,0.0,0.0,100.0,0,0,10,0,630,none,20.625,0.1401087511837769,-2.1581572611373168
guangzhou_ssp585_baseline_2020s_hot_2028,baseline_2020s,hot,paperb_gate_tail_asym_relax,640,22444.589412056976,877.155036707456,25.97773599874362,0.4612354166666667,10.514829887585568,31.5625,7.03125,0.0,30.9375,7.03125,0.0,0.0,0.0,4.299337325207888,3.2993373252078877,0.0990331471294652,0.23743869313191,7.34375,0.0724763325260852,0.02655681460338,24.44609327316284,24.5,21.52011661529541,21.5,7.34375,0.0,92.65625,13,0,12,0,615,none,20.625,0.1401087511837769,-2.157309693758902
