controller,aggregation,tail_threshold,asym_threshold,dwell_minutes,occupied_records,request_records,request_share_pct,warm_request_share_pct,applied_actions,actions_per_occupied_day,blocked_by_dwell,blocked_by_bounds,reversals_within_2h,min_offset_c,max_offset_c,mean_signal_p_tail,p95_signal_p_tail,high_tail_share_pct
reference,mean,0.2,0.1,0,16704,0,0.0,0,0,0.0,0,0,0,0.0,0.0,0.11411674882310988,0.2878825633744299,13.709291187739463
reference,mean,0.2,0.1,60,16704,0,0.0,0,0,0.0,0,0,0,0.0,0.0,0.11411674882310988,0.2878825633744299,13.709291187739463
reference,mean,0.2,0.1,120,16704,0,0.0,0,0,0.0,0,0,0,0.0,0.0,0.11411674882310988,0.2878825633744299,13.709291187739463
pmv_rule,mean,0.2,0.1,0,16704,5802,34.73419540229885,97.24233023095485,12,0.06896551724137931,0,5790,0,-2.0,2.0,0.11411674882310988,0.2878825633744299,13.709291187739463
pmv_rule,mean,0.2,0.1,60,16704,5802,34.73419540229885,97.24233023095485,12,0.06896551724137931,35,5755,0,-2.0,2.0,0.11411674882310988,0.2878825633744299,13.709291187739463
pmv_rule,mean,0.2,0.1,120,16704,5802,34.73419540229885,97.24233023095485,12,0.06896551724137931,56,5734,0,-2.0,2.0,0.11411674882310988,0.2878825633744299,13.709291187739463
expected_tsv_rule,mean,0.2,0.1,0,16704,3179,19.031369731800766,100.0,4,0.022988505747126436,0,3175,0,-2.0,0.0,0.11411674882310988,0.2878825633744299,13.709291187739463
expected_tsv_rule,mean,0.2,0.1,60,16704,3179,19.031369731800766,100.0,4,0.022988505747126436,5,3170,0,-2.0,0.0,0.11411674882310988,0.2878825633744299,13.709291187739463
expected_tsv_rule,mean,0.2,0.1,120,16704,3179,19.031369731800766,100.0,4,0.022988505747126436,6,3169,0,-2.0,0.0,0.11411674882310988,0.2878825633744299,13.709291187739463
total_tail_mu,mean,0.1,0.1,0,16704,6145,36.787595785440615,100.0,4,0.022988505747126436,0,6141,0,-2.0,0.0,0.11411674882310988,0.2878825633744299,36.787595785440615
total_tail_mu,mean,0.1,0.1,60,16704,6145,36.787595785440615,100.0,4,0.022988505747126436,8,6133,0,-2.0,0.0,0.11411674882310988,0.2878825633744299,36.787595785440615
total_tail_mu,mean,0.1,0.1,120,16704,6145,36.787595785440615,100.0,4,0.022988505747126436,9,6132,0,-2.0,0.0,0.11411674882310988,0.2878825633744299,36.787595785440615
total_tail_mu,mean,0.2,0.1,0,16704,2290,13.709291187739463,100.0,4,0.022988505747126436,0,2286,0,-2.0,0.0,0.11411674882310988,0.2878825633744299,13.709291187739463
total_tail_mu,mean,0.2,0.1,60,16704,2290,13.709291187739463,100.0,4,0.022988505747126436,5,2281,0,-2.0,0.0,0.11411674882310988,0.2878825633744299,13.709291187739463
total_tail_mu,mean,0.2,0.1,120,16704,2290,13.709291187739463,100.0,4,0.022988505747126436,5,2281,0,-2.0,0.0,0.11411674882310988,0.2878825633744299,13.709291187739463
total_tail_mu,mean,0.3,0.1,0,16704,641,3.837404214559387,100.0,4,0.022988505747126436,0,637,0,-2.0,0.0,0.11411674882310988,0.2878825633744299,3.837404214559387
total_tail_mu,mean,0.3,0.1,60,16704,641,3.837404214559387,100.0,4,0.022988505747126436,6,631,0,-2.0,0.0,0.11411674882310988,0.2878825633744299,3.837404214559387
total_tail_mu,mean,0.3,0.1,120,16704,641,3.837404214559387,100.0,4,0.022988505747126436,14,623,0,-2.0,0.0,0.11411674882310988,0.2878825633744299,3.837404214559387
tail_asym,mean,0.1,0.05,0,16704,6100,36.51819923371647,100.0,4,0.022988505747126436,0,6096,0,-2.0,0.0,0.11411674882310988,0.2878825633744299,36.787595785440615
tail_asym,mean,0.1,0.05,60,16704,6100,36.51819923371647,100.0,4,0.022988505747126436,1,6095,0,-2.0,0.0,0.11411674882310988,0.2878825633744299,36.787595785440615
tail_asym,mean,0.1,0.05,120,16704,6100,36.51819923371647,100.0,4,0.022988505747126436,3,6093,0,-2.0,0.0,0.11411674882310988,0.2878825633744299,36.787595785440615
tail_asym,mean,0.1,0.1,0,16704,3920,23.467432950191572,100.0,4,0.022988505747126436,0,3916,0,-2.0,0.0,0.11411674882310988,0.2878825633744299,36.787595785440615
tail_asym,mean,0.1,0.1,60,16704,3920,23.467432950191572,100.0,4,0.022988505747126436,10,3906,0,-2.0,0.0,0.11411674882310988,0.2878825633744299,36.787595785440615
tail_asym,mean,0.1,0.1,120,16704,3920,23.467432950191572,100.0,4,0.022988505747126436,20,3896,0,-2.0,0.0,0.11411674882310988,0.2878825633744299,36.787595785440615
tail_asym,mean,0.2,0.05,0,16704,6100,36.51819923371647,100.0,4,0.022988505747126436,0,6096,0,-2.0,0.0,0.11411674882310988,0.2878825633744299,13.709291187739463
tail_asym,mean,0.2,0.05,60,16704,6100,36.51819923371647,100.0,4,0.022988505747126436,1,6095,0,-2.0,0.0,0.11411674882310988,0.2878825633744299,13.709291187739463
tail_asym,mean,0.2,0.05,120,16704,6100,36.51819923371647,100.0,4,0.022988505747126436,3,6093,0,-2.0,0.0,0.11411674882310988,0.2878825633744299,13.709291187739463
tail_asym,mean,0.2,0.1,0,16704,3920,23.467432950191572,100.0,4,0.022988505747126436,0,3916,0,-2.0,0.0,0.11411674882310988,0.2878825633744299,13.709291187739463
tail_asym,mean,0.2,0.1,60,16704,3920,23.467432950191572,100.0,4,0.022988505747126436,10,3906,0,-2.0,0.0,0.11411674882310988,0.2878825633744299,13.709291187739463
tail_asym,mean,0.2,0.1,120,16704,3920,23.467432950191572,100.0,4,0.022988505747126436,20,3896,0,-2.0,0.0,0.11411674882310988,0.2878825633744299,13.709291187739463
tail_asym,mean,0.3,0.05,0,16704,6100,36.51819923371647,100.0,4,0.022988505747126436,0,6096,0,-2.0,0.0,0.11411674882310988,0.2878825633744299,3.837404214559387
tail_asym,mean,0.3,0.05,60,16704,6100,36.51819923371647,100.0,4,0.022988505747126436,1,6095,0,-2.0,0.0,0.11411674882310988,0.2878825633744299,3.837404214559387
tail_asym,mean,0.3,0.05,120,16704,6100,36.51819923371647,100.0,4,0.022988505747126436,3,6093,0,-2.0,0.0,0.11411674882310988,0.2878825633744299,3.837404214559387
tail_asym,mean,0.3,0.1,0,16704,3920,23.467432950191572,100.0,4,0.022988505747126436,0,3916,0,-2.0,0.0,0.11411674882310988,0.2878825633744299,3.837404214559387
tail_asym,mean,0.3,0.1,60,16704,3920,23.467432950191572,100.0,4,0.022988505747126436,10,3906,0,-2.0,0.0,0.11411674882310988,0.2878825633744299,3.837404214559387
tail_asym,mean,0.3,0.1,120,16704,3920,23.467432950191572,100.0,4,0.022988505747126436,20,3896,0,-2.0,0.0,0.11411674882310988,0.2878825633744299,3.837404214559387
gate_tail_asym,mean,0.1,0.05,0,16704,5947,35.60225095785441,100.0,4,0.022988505747126436,0,5943,0,-2.0,0.0,0.11411674882310988,0.2878825633744299,36.787595785440615
gate_tail_asym,mean,0.1,0.05,60,16704,5947,35.60225095785441,100.0,4,0.022988505747126436,2,5941,0,-2.0,0.0,0.11411674882310988,0.2878825633744299,36.787595785440615
gate_tail_asym,mean,0.1,0.05,120,16704,5947,35.60225095785441,100.0,4,0.022988505747126436,3,5940,0,-2.0,0.0,0.11411674882310988,0.2878825633744299,36.787595785440615
gate_tail_asym,mean,0.1,0.1,0,16704,3920,23.467432950191572,100.0,4,0.022988505747126436,0,3916,0,-2.0,0.0,0.11411674882310988,0.2878825633744299,36.787595785440615
gate_tail_asym,mean,0.1,0.1,60,16704,3920,23.467432950191572,100.0,4,0.022988505747126436,10,3906,0,-2.0,0.0,0.11411674882310988,0.2878825633744299,36.787595785440615
gate_tail_asym,mean,0.1,0.1,120,16704,3920,23.467432950191572,100.0,4,0.022988505747126436,20,3896,0,-2.0,0.0,0.11411674882310988,0.2878825633744299,36.787595785440615
gate_tail_asym,mean,0.2,0.05,0,16704,2290,13.709291187739463,100.0,4,0.022988505747126436,0,2286,0,-2.0,0.0,0.11411674882310988,0.2878825633744299,13.709291187739463
gate_tail_asym,mean,0.2,0.05,60,16704,2290,13.709291187739463,100.0,4,0.022988505747126436,5,2281,0,-2.0,0.0,0.11411674882310988,0.2878825633744299,13.709291187739463
gate_tail_asym,mean,0.2,0.05,120,16704,2290,13.709291187739463,100.0,4,0.022988505747126436,5,2281,0,-2.0,0.0,0.11411674882310988,0.2878825633744299,13.709291187739463
