period,severity,weather_year,weather,strategy,electricity_change_vs_reference_pct,mean_p_tail,p_tail_ge_0_20_pct,max_zone_p_tail_ge_0_20_pct,mean_top_c,mean_pmv,mean_ppd_pct,pmv_abs_gt_1_0_pct,ppd_gt_25_pct,adaptive_80_violation_pct,adaptive_90_violation_pct,energy_relax_actions,guard_hold_records,warm_protection_actions
2020s,heatwave,2026,guangzhou_ssp585_baseline_2020s_heatwave_extreme_2026,diagnostic_reference,0.0,0.1272696089608037,15.312500000000002,51.40625,26.333390076504873,0.59526875,14.278297279135064,12.03125,12.968750000000002,0.0,0.0,0,0,0
2020s,heatwave,2026,guangzhou_ssp585_baseline_2020s_heatwave_extreme_2026,paperb_adaptive_band_relax,-1.894272479382475,0.1347937196065092,17.03125,50.46874999999999,26.524348953088996,0.6437489583333333,15.434163415082551,12.812499999999998,14.0625,0.0,0.0,10,0,0
2020s,heatwave,2026,guangzhou_ssp585_baseline_2020s_heatwave_extreme_2026,paperb_gate_tail_asym_relax,-1.8783533782901096,0.1347618656252129,16.71875,50.625,26.524996345136067,0.6440187500000001,15.26209787253086,12.812499999999998,13.90625,0.0,0.0,20,0,10
2020s,heatwave,2026,guangzhou_ssp585_baseline_2020s_heatwave_extreme_2026,paperb_pmv_exceedance_guard_relax,-1.6797127024278713,0.1352207979904293,17.03125,50.625,26.521172711794986,0.6436041666666666,15.43911331113964,12.812499999999998,14.0625,0.0,0.0,13,320,22
2020s,heatwave,2026,guangzhou_ssp585_baseline_2020s_heatwave_extreme_2026,paperb_pmv_relax,-1.2831527584524105,0.1350823420720074,16.5625,52.03124999999999,26.505087978818732,0.64035,15.353570451600888,12.812499999999998,14.0625,0.0,0.0,38,0,60
2020s,heatwave,2026,guangzhou_ssp585_baseline_2020s_heatwave_extreme_2026,paperb_ppd_guard_relax,-1.6529639117215278,0.1353215876943383,17.03125,50.625,26.520548772570628,0.643484375,15.438803027933744,12.968750000000002,14.0625,0.0,0.0,12,322,25
2020s,hot,2028,guangzhou_ssp585_baseline_2020s_hot_2028,diagnostic_reference,0.0,0.0857847224292312,5.46875,17.96875,25.63611579944966,0.3678249999999999,9.095521555774178,2.8125,3.5937499999999996,0.0,0.0,0,0,0
2020s,hot,2028,guangzhou_ssp585_baseline_2020s_hot_2028,paperb_adaptive_band_relax,-2.1581572611373168,0.0990264237482015,7.34375,20.625,25.97778917571103,0.4612479166666666,10.636311883054024,7.03125,7.187499999999999,0.0,0.0,10,0,0
2020s,hot,2028,guangzhou_ssp585_baseline_2020s_hot_2028,paperb_gate_tail_asym_relax,-2.157309693758902,0.0990331471294652,7.34375,20.625,25.97773599874362,0.4612354166666667,10.514829887585568,7.03125,7.03125,0.0,0.0,12,0,13
2020s,hot,2028,guangzhou_ssp585_baseline_2020s_hot_2028,paperb_pmv_exceedance_guard_relax,-1.9997806295751983,0.0992677621734466,7.187499999999999,21.09375,25.97473984814241,0.4608958333333334,10.62695738704841,7.03125,7.187499999999999,0.0,0.0,11,154,12
2020s,hot,2028,guangzhou_ssp585_baseline_2020s_hot_2028,paperb_pmv_relax,-1.7823132106253523,0.1000247901660762,7.187499999999999,22.03125,25.973642851625875,0.46164375,10.685622714957546,7.187499999999999,7.187499999999999,0.0,0.0,27,0,43
2020s,hot,2028,guangzhou_ssp585_baseline_2020s_hot_2028,paperb_ppd_guard_relax,-1.9892182337801767,0.0993354417494655,7.187499999999999,21.09375,25.975253247328208,0.4609729166666666,10.625564721579382,7.187499999999999,7.187499999999999,0.0,0.0,11,161,12
2020s,typical,2025,guangzhou_ssp585_baseline_2020s_typical_2025,diagnostic_reference,0.0,0.1029878646276039,8.90625,31.093749999999996,25.96258180139324,0.4760270833333333,11.353954331687609,7.34375,7.8125,0.0,0.0,0,0,0
