weather,strategy,occupied_steps,electricity_kwh,natural_gas_kwh,mean_top_c,mean_pmv,mean_ppd_pct,ppd_gt_10_pct,ppd_gt_25_pct,ppd_gt_50_pct,pmv_abs_gt_0_5_pct,pmv_abs_gt_1_0_pct,adaptive_violation_pct,adaptive_80_violation_pct,adaptive_90_violation_pct,mean_adaptive_warm_slack_80_c,mean_adaptive_warm_slack_90_c,mean_p_tail,p95_p_tail,p_tail_ge_0_20_pct,mean_warm_tail,mean_cold_tail,cooling_sp_mean_c,cooling_sp_max_c,heating_sp_mean_c,heating_sp_min_c,warm_requests_pct,cold_requests_pct,no_risk_requests_pct,warm_protection_actions,cold_protection_actions,energy_relax_actions,guard_hold_records,idle_actions,dominant_request_source,max_zone_p_tail_ge_0_20_pct,max_zone_mean_p_tail,electricity_change_vs_reference_pct
guangzhou_ssp585_baseline_2020s_heatwave_extreme_2026,diagnostic_reference,640,25059.439621252317,877.1497382728243,26.333390076504873,0.59526875,14.278297279135064,58.12500000000001,12.968750000000002,0.0,58.28124999999999,12.03125,0.0,0.0,0.0,4.518260413519954,3.518260413519954,0.12726960896080372,0.2956555720374423,15.312500000000002,0.10385892015778515,0.02341068880301852,24.0,24.0,22.0,22.0,0.0,0.0,100.0,0,0,0,0,640,,51.40625,0.1960457883476347,0.0
guangzhou_ssp585_baseline_2020s_heatwave_extreme_2026,paperb_adaptive_band_relax,640,24584.745553019467,877.1290059967695,26.524348953088996,0.6437489583333333,15.434163415082551,64.375,14.0625,0.0,62.96874999999999,12.812499999999998,0.0,0.0,0.0,4.327301536935829,3.327301536935829,0.13479371960650924,0.30105171148608084,17.03125,0.11271586935112676,0.022077850255382423,24.5,24.5,21.5,21.5,0.0,0.0,100.0,0,0,10,0,630,none,50.46874999999999,0.20358959969617044,-1.894272479382475
guangzhou_ssp585_baseline_2020s_heatwave_extreme_2026,paperb_gate_tail_asym_relax,640,24588.734790545954,877.1290508486147,26.524996345136067,0.6440187500000001,15.262097872530859,63.4375,13.90625,0.0,62.96874999999999,12.812499999999998,0.0,0.0,0.0,4.326654144888766,3.3266541448887663,0.13476186562521295,0.30105171148608084,16.71875,0.11268440790066633,0.022077457724546556,24.3837890625,24.5,21.503515625,21.5,16.71875,0.0,83.28125,10,0,20,0,610,none,50.625,0.20384521238316028,-1.8783533782901096
guangzhou_ssp585_baseline_2020s_heatwave_extreme_2026,paperb_pmv_exceedance_guard_relax,640,24638.5130307769,877.1315202656623,26.521172711794986,0.6436041666666666,15.439113311139641,64.375,14.0625,0.0,62.81250000000001,12.812499999999998,0.0,0.0,0.0,4.330477778229847,3.3304777782298465,0.13522079799042935,0.29991898023819386,17.03125,0.11300954500216534,0.022211252988264,24.327747058868407,24.5,21.56524543762207,21.5,12.812499999999998,0.0,87.1875,22,0,13,320,605,pmv_mild_hold,50.625,0.20470340569931172,-1.6797127024278713
guangzhou_ssp585_baseline_2020s_heatwave_extreme_2026,paperb_pmv_relax,640,24737.8887304995,877.1451519703846,26.505087978818732,0.64035,15.353570451600888,63.90625,14.0625,0.0,62.81250000000001,12.812499999999998,0.0,0.0,0.0,4.34656251120609,3.3465625112060904,0.13508234207200745,0.29812025858245883,16.5625,0.11266167653867346,0.022420665533333946,24.059277284145356,24.5,21.558691328763963,21.5,62.81250000000001,0.0,37.1875,60,0,38,0,542,pmv_warm,52.03124999999999,0.2064534378937099,-1.2831527584524105
guangzhou_ssp585_baseline_2020s_heatwave_extreme_2026,paperb_ppd_guard_relax,640,24645.21612783337,877.1316367412916,26.520548772570628,0.643484375,15.438803027933744,64.375,14.0625,0.0,62.81250000000001,12.968750000000002,0.0,0.0,0.0,4.331101717454199,3.3311017174541986,0.13532158769433839,0.29991898023819386,17.03125,0.11306735647066382,0.02225423122367452,24.30269145965576,24.5,21.597588062286377,21.5,14.0625,0.0,85.9375,25,0,12,322,603,ppd_hold,50.625,0.2047890242042123,-1.6529639117215278
guangzhou_ssp585_baseline_2020s_heatwave_extreme_2026,reference,640,25059.439621252317,877.1497382728243,26.333390076504873,0.59526875,14.278297279135064,58.12500000000001,12.968750000000002,0.0,58.28124999999999,12.03125,0.0,0.0,0.0,4.518260413519954,3.518260413519954,,,0.0,,,24.0,24.0,22.0,22.0,0.0,0.0,100.0,0,0,0,0,640,,0.0,,0.0
guangzhou_ssp585_baseline_2020s_hot_2028,diagnostic_reference,640,22939.464707896837,877.2023473629305,25.63611579944966,0.36782499999999996,9.095521555774178,25.46875,3.5937499999999996,0.0,25.46875,2.8125,0.0,0.0,0.0,4.6409575245018475,3.6409575245018475,0.08578472242923126,0.20271391712352552,5.46875,0.05707831939228978,0.02870640303694142,24.0,24.0,22.0,22.0,0.0,0.0,100.0,0,0,0,0,640,,17.96875,0.12521275016758782,0.0
guangzhou_ssp585_baseline_2020s_hot_2028,paperb_adaptive_band_relax,640,22444.39498463733,877.1549819174293,25.97778917571103,0.46124791666666665,10.636311883054024,32.34375,7.187499999999999,0.0,30.9375,7.03125,0.0,0.0,0.0,4.299284148240473,3.2992841482404733,0.09902642374820159,0.23743869313191,7.34375,0.0724717498933913,0.02655467385481025,24.5,24.5,21.5,21.5,0.0,0.0,100.0,0,0,10,0,630,none,20.625,0.14010875118377694,-2.1581572611373168
guangzhou_ssp585_baseline_2020s_hot_2028,paperb_gate_tail_asym_relax,640,22444.589412056976,877.155036707456,25.97773599874362,0.4612354166666667,10.514829887585567,31.5625,7.03125,0.0,30.9375,7.03125,0.0,0.0,0.0,4.299337325207888,3.2993373252078877,0.09903314712946529,0.23743869313191,7.34375,0.07247633252608521,0.026556814603380035,24.44609327316284,24.5,21.52011661529541,21.5,7.34375,0.0,92.65625,13,0,12,0,615,none,20.625,0.14010875118377694,-2.157309693758902
