country,city,scenario,scenario_label,time_slice,year_window,severity,weather_year,weather_stem,epw_path,mean_T_out,CDD18_hourly,max_T_out,hours_temp_ge_35,humidity_metric,selector,stage_smoke,stage_typical,stage_full
China,Beijing,ssp245,SSP2-4.5,baseline_2020s,2025-2029,typical,2026,beijing_ssp245_baseline_2020s_typical_2026,/Users/guo/Library/CloudStorage/OneDrive-TheUniversityOfHongKong/Drafts/HPH_Carbon_Entitlement/weather/cmip_selected_years/ssp245/Beijing/beijing_ssp245_baseline_2020s_typical_2026.epw,12.926611,22252.923701,34.029787,0,56.243318,nearest_median_CDD18_within_time_slice,False,True,True
China,Beijing,ssp245,SSP2-4.5,baseline_2020s,2025-2029,hot,2025,beijing_ssp245_baseline_2020s_hot_2025,/Users/guo/Library/CloudStorage/OneDrive-TheUniversityOfHongKong/Drafts/HPH_Carbon_Entitlement/weather/cmip_selected_years/ssp245/Beijing/beijing_ssp245_baseline_2020s_hot_2025.epw,13.942054,25156.848381,36.927585,43,56.184776,maximum_CDD18_within_time_slice,False,False,True
China,Beijing,ssp245,SSP2-4.5,baseline_2020s,2025-2029,heatwave_extreme,2025,beijing_ssp245_baseline_2020s_heatwave_extreme_2025,/Users/guo/Library/CloudStorage/OneDrive-TheUniversityOfHongKong/Drafts/HPH_Carbon_Entitlement/weather/cmip_selected_years/ssp245/Beijing/beijing_ssp245_baseline_2020s_heatwave_extreme_2025.epw,13.942054,25156.848381,36.927585,43,56.184776,maximum_hours_temp_ge_35_then_max_temp,False,False,True
China,Beijing,ssp245,SSP2-4.5,near_2030s,2030-2039,typical,2035,beijing_ssp245_near_2030s_typical_2035,/Users/guo/Library/CloudStorage/OneDrive-TheUniversityOfHongKong/Drafts/HPH_Carbon_Entitlement/weather/cmip_selected_years/ssp245/Beijing/beijing_ssp245_near_2030s_typical_2035.epw,12.562019,24892.614296,34.861485,0,56.236791,nearest_median_CDD18_within_time_slice,False,True,True
China,Beijing,ssp245,SSP2-4.5,near_2030s,2030-2039,hot,2034,beijing_ssp245_near_2030s_hot_2034,/Users/guo/Library/CloudStorage/OneDrive-TheUniversityOfHongKong/Drafts/HPH_Carbon_Entitlement/weather/cmip_selected_years/ssp245/Beijing/beijing_ssp245_near_2030s_hot_2034.epw,13.676108,25930.034675,35.467135,7,56.234342,maximum_CDD18_within_time_slice,False,False,True
China,Beijing,ssp245,SSP2-4.5,near_2030s,2030-2039,heatwave_extreme,2039,beijing_ssp245_near_2030s_heatwave_extreme_2039,/Users/guo/Library/CloudStorage/OneDrive-TheUniversityOfHongKong/Drafts/HPH_Carbon_Entitlement/weather/cmip_selected_years/ssp245/Beijing/beijing_ssp245_near_2030s_heatwave_extreme_2039.epw,12.716815,23705.363877,36.561024,8,56.254054,maximum_hours_temp_ge_35_then_max_temp,False,False,True
China,Beijing,ssp245,SSP2-4.5,mid_2050s,2050-2059,typical,2056,beijing_ssp245_mid_2050s_typical_2056,/Users/guo/Library/CloudStorage/OneDrive-TheUniversityOfHongKong/Drafts/HPH_Carbon_Entitlement/weather/cmip_selected_years/ssp245/Beijing/beijing_ssp245_mid_2050s_typical_2056.epw,13.836386,28629.57452,35.821441,16,56.203445,nearest_median_CDD18_within_time_slice,False,True,True
China,Beijing,ssp245,SSP2-4.5,mid_2050s,2050-2059,hot,2050,beijing_ssp245_mid_2050s_hot_2050,/Users/guo/Library/CloudStorage/OneDrive-TheUniversityOfHongKong/Drafts/HPH_Carbon_Entitlement/weather/cmip_selected_years/ssp245/Beijing/beijing_ssp245_mid_2050s_hot_2050.epw,15.911342,33146.445686,41.480051,161,56.245852,maximum_CDD18_within_time_slice,False,False,True
China,Beijing,ssp245,SSP2-4.5,mid_2050s,2050-2059,heatwave_extreme,2050,beijing_ssp245_mid_2050s_heatwave_extreme_2050,/Users/guo/Library/CloudStorage/OneDrive-TheUniversityOfHongKong/Drafts/HPH_Carbon_Entitlement/weather/cmip_selected_years/ssp245/Beijing/beijing_ssp245_mid_2050s_heatwave_extreme_2050.epw,15.911342,33146.445686,41.480051,161,56.245852,maximum_hours_temp_ge_35_then_max_temp,False,False,True
China,Beijing,ssp245,SSP2-4.5,late_2080s,2080-2089,typical,2083,beijing_ssp245_late_2080s_typical_2083,/Users/guo/Library/CloudStorage/OneDrive-TheUniversityOfHongKong/Drafts/HPH_Carbon_Entitlement/weather/cmip_selected_years/ssp245/Beijing/beijing_ssp245_late_2080s_typical_2083.epw,14.95623,32002.105599,38.462551,152,56.213789,nearest_median_CDD18_within_time_slice,False,True,True
