weather,strategy,n_steps,occupied_steps,paperb_met,paperb_people_activity_w_per_person,mean_operative_temp_c_occ,mean_pmv_occ,pmv_violation_pct_occ,pmv_abs_gt_1_0_pct_occ,mean_ppd_pct_occ,ppd_gt_25_pct_occ,adaptive_violation_pct_occ,mean_p_tail_occ,mean_warm_tail_occ,mean_cold_tail_occ,p95_p_tail_occ,mean_zone_p_tail_ge_0p20_pct_occ,max_zone_p_tail_mean_occ,max_zone_p_tail_ge_0p20_pct_occ,p90_zone_p_tail_mean_occ,p90_zone_p_tail_ge_0p20_pct_occ,relax_action_count,guard_hold_count,warm_protection_count,cold_protection_count,hvac_on_pct_all,mean_heating_setpoint_c,mean_cooling_setpoint_c,electricity_kwh,hvac_electricity_kwh,cooling_electricity_kwh,heating_electricity_kwh,fan_electricity_kwh,pump_electricity_kwh,natural_gas_kwh,zone_heating_kwh_thermal,zone_cooling_kwh_thermal,zone_hvac_kwh_thermal,peak_facility_electric_kw_15min,peak_hvac_electric_kw_15min,peak_cooling_electric_kw_15min,peak_fan_electric_kw_15min,peak_zone_hvac_kw_15min
ahmedabad_ssp245_baseline_2020s_heatwave_extreme_2029,paperb_p90_tail_asym_relax,35040,16704,0.8543330000000003,93.20000000000003,27.33960288316071,0.08671575670498083,15.517241379310345,1.5684865900383143,7.637344833145049,1.766044061302682,12.110871647509578,0.06391480798630972,0.043379747380393206,0.020535060605916523,0.10580143359368363,0.017959770114942528,0.1131276937224843,10.841714559386974,0.09101902668321468,5.771072796934866,2356,0,1632,0,66.5439497716895,15.83607305936073,28.033939783105023,563848.6542251917,274253.7135144652,220280.71818336067,0.0,50721.71661490221,40.71777664945128,24863.22596945696,0.0,486374.75285483984,486374.75285483984,177.6660007619465,107.84403956709318,81.1644304794938,26.340725168809566,175.38491150323657
ahmedabad_ssp245_baseline_2020s_hot_2029,paperb_p90_tail_asym_relax,35040,16704,0.8543330000000003,93.20000000000003,27.33960288316071,0.08671575670498083,15.517241379310345,1.5684865900383143,7.637344833145049,1.766044061302682,12.110871647509578,0.06391480798630972,0.043379747380393206,0.020535060605916523,0.10580143359368363,0.017959770114942528,0.1131276937224843,10.841714559386974,0.09101902668321468,5.771072796934866,2356,0,1632,0,66.5439497716895,15.83607305936073,28.033939783105023,563848.6542251917,274253.7135144652,220280.71818336067,0.0,50721.71661490221,40.71777664945128,24863.22596945696,0.0,486374.75285483984,486374.75285483984,177.6660007619465,107.84403956709318,81.1644304794938,26.340725168809566,175.38491150323657
ahmedabad_ssp245_baseline_2020s_typical_2025,paperb_p90_tail_asym_relax,35040,16704,0.8543330000000003,93.20000000000003,27.232496698653804,0.03995785440613026,10.015565134099617,0.3532088122605364,6.681159449261513,0.40110153256704983,6.13625478927203,0.06057346668130635,0.039737529067901824,0.02083593761340452,0.10307115364339763,0.08979885057471264,0.1053151210032599,9.506704980842912,0.08593370328419554,6.2140804597701145,2410,0,1642,0,65.16837899543378,15.83607305936073,28.029073915525114,549245.2000786598,259640.82561577766,210323.84852237525,0.0,46065.692599877475,40.71777664945128,24800.249748057442,0.0,479829.180753889,479829.180753889,178.39167997366792,108.30107235394466,82.22818313517374,26.340725168809566,176.19016026881332
ahmedabad_ssp245_late_2080s_heatwave_extreme_2081,paperb_p90_tail_asym_relax,35040,16704,0.8543330000000003,93.20000000000003,27.360118631341077,0.10436123084291186,14.619252873563218,1.3170498084291187,7.456102994133377,1.424808429118774,6.896551724137931,0.06287859229885162,0.04182138434640805,0.02105720795244356,0.10733718942099942,0.02993295019157088,0.10992745449400612,10.506465517241379,0.09054735696704423,6.615181992337164,2535,0,1700,0,66.98344748858447,15.836044520547945,28.02425799086758,575416.8630005167,285821.87972743786,230169.47579893304,0.0,52401.123975971626,40.71777664945128,24856.481987864434,0.0,497230.76259125804,497230.76259125804,181.58492828952762,111.45176130743961,84.70790410361383,26.340725168809566,176.74934516155892
ahmedabad_ssp245_late_2080s_hot_2081,paperb_p90_tail_asym_relax,35040,16704,0.8543330000000003,93.20000000000003,27.360118631341077,0.10436123084291186,14.619252873563218,1.3170498084291187,7.456102994133377,1.424808429118774,6.896551724137931,0.06287859229885162,0.04182138434640805,0.02105720795244356,0.10733718942099942,0.02993295019157088,0.10992745449400612,10.506465517241379,0.09054735696704423,6.615181992337164,2535,0,1700,0,66.98344748858447,15.836044520547945,28.02425799086758,575416.8630005167,285821.87972743786,230169.47579893304,0.0,52401.123975971626,40.71777664945128,24856.481987864434,0.0,497230.76259125804,497230.76259125804,181.58492828952762,111.45176130743961,84.70790410361383,26.340725168809566,176.74934516155892
ahmedabad_ssp245_late_2080s_typical_2086,paperb_p90_tail_asym_relax,35040,16704,0.8543330000000003,93.20000000000003,27.251362926930035,0.04999784482758621,12.27250957854406,1.7361111111111112,7.321803508485418,1.861829501915709,8.201628352490422,0.06337154259733618,0.04247634779780309,0.020895194799533095,0.10765187442611548,0.05986590038314176,0.10833553595290622,10.24904214559387,0.08942488494427661,6.627155172413793,2514,0,1684,0,65.75627853881278,15.836123002283106,28.027746860730595,551533.919715914,261916.71246888643,212156.2329381212,0.0,46509.18171404956,40.71777664945128,24829.216621485986,0.0,480109.6041714117,480109.6041714117,186.27269036159075,115.99371097329971,88.81956937102682,26.340725168809566,174.9801643549093
ahmedabad_ssp245_mid_2050s_heatwave_extreme_2059,paperb_p90_tail_asym_relax,35040,16704,0.8543330000000003,93.20000000000003,27.370237122141926,0.10227027458492975,15.984195402298852,3.801484674329502,8.18420263931366,4.058908045977012,9.369013409961687,0.06457208226648188,0.044491958746917415,0.02008012351956447,0.11059707394798542,0.14367816091954022,0.1090174235738829,9.710249042145595,0.09040474301657184,5.9446839080459775,2376,0,1628,0,66.4783105022831,15.836044520547945,28.030500856164384,565212.844556356,275614.75466611714,222005.7956496842,0.0,50357.67590709867,40.71777664945128,25002.714491844134,0.0,487985.9199650534,487985.9199650534,185.5943581508248,115.51832341486113,88.81956937102682,26.340725168809566,175.09221709931074
ahmedabad_ssp245_mid_2050s_hot_2059,paperb_p90_tail_asym_relax,35040,16704,0.8543330000000003,93.20000000000003,27.370237122141926,0.10227027458492975,15.984195402298852,3.801484674329502,8.18420263931366,4.058908045977012,9.369013409961687,0.06457208226648188,0.044491958746917415,0.02008012351956447,0.11059707394798542,0.14367816091954022,0.1090174235738829,9.710249042145595,0.09040474301657184,5.9446839080459775,2376,0,1628,0,66.4783105022831,15.836044520547945,28.030500856164384,565212.844556356,275614.75466611714,222005.7956496842,0.0,50357.67590709867,40.71777664945128,25002.714491844134,0.0,487985.9199650534,487985.9199650534,185.5943581508248,115.51832341486113,88.81956937102682,26.340725168809566,175.09221709931074
ahmedabad_ssp245_mid_2050s_typical_2058,paperb_p90_tail_asym_relax,35040,16704,0.8543330000000003,93.20000000000003,27.181691778885224,0.009388130587484033,9.416906130268199,0.7543103448275862,6.748672045128364,0.850095785440613,14.553400383141762,0.06169178140636261,0.04054531393859167,0.021146467467770953,0.10582900219743087,0.035919540229885055,0.10232045140077958,9.033764367816092,0.08544066008059889,5.824952107279693,2333,0,1614,0,65.35958904109589,15.83607305936073,28.032783961187214,539123.1429429068,249516.8445627484,203350.4663032652,0.0,42915.092634319015,40.71777664945128,24892.173436065357,0.0,475480.7587714696,475480.7587714696,178.7368509072199,108.64915769886409,82.38676973524498,26.340725168809566,176.8523939011051
ahmedabad_ssp245_near_2030s_heatwave_extreme_2034,paperb_p90_tail_asym_relax,35040,16704,0.8543330000000003,93.20000000000003,27.253119188821085,0.05274820402298851,12.02705938697318,0.6585249042145593,6.9396403288005235,0.7662835249042145,7.95617816091954,0.05974674327281694,0.03899965862517754,0.020747084647639386,0.09804759989063967,0.05986590038314176,0.10082848240510528,7.429358237547892,0.08292584212562919,4.226532567049809,1991,0,1462,0,65.59646118721462,15.836044520547945,28.04185216894977,554158.4473608843,264544.70627929777,215012.54855243638,0.0,46280.866767863656,40.71777664945128,24843.359395877,0.0,476370.35713365435,476370.35713365435,182.7817022777984,112.90062920093715,86.45818936877255,26.340725168809566,176.07787037775168
