weather,strategy,n_steps,occupied_steps,paperb_met,paperb_people_activity_w_per_person,mean_operative_temp_c_occ,mean_pmv_occ,pmv_violation_pct_occ,pmv_abs_gt_1_0_pct_occ,mean_ppd_pct_occ,ppd_gt_25_pct_occ,adaptive_violation_pct_occ,mean_p_tail_occ,mean_warm_tail_occ,mean_cold_tail_occ,p95_p_tail_occ,mean_zone_p_tail_ge_0p20_pct_occ,max_zone_p_tail_mean_occ,max_zone_p_tail_ge_0p20_pct_occ,p90_zone_p_tail_mean_occ,p90_zone_p_tail_ge_0p20_pct_occ,relax_action_count,guard_hold_count,warm_protection_count,cold_protection_count,hvac_on_pct_all,mean_heating_setpoint_c,mean_cooling_setpoint_c,electricity_kwh,hvac_electricity_kwh,cooling_electricity_kwh,heating_electricity_kwh,fan_electricity_kwh,pump_electricity_kwh,natural_gas_kwh,zone_heating_kwh_thermal,zone_cooling_kwh_thermal,zone_hvac_kwh_thermal,peak_facility_electric_kw_15min,peak_hvac_electric_kw_15min,peak_cooling_electric_kw_15min,peak_fan_electric_kw_15min,peak_zone_hvac_kw_15min
beijing_ssp585_baseline_2020s_heatwave_extreme_2029,paperb_p90_tail_asym_relax,35040,16704,0.8543330000000003,93.20000000000003,24.89247725403612,-1.0285888809067687,56.12428160919541,45.234674329501914,37.850518124546724,45.41427203065134,63.67337164750958,0.11871211487639063,0.09450195920630483,0.024210155670085793,0.23546522286932242,11.476293103448276,0.22558915371918484,46.56968390804598,0.17424889826308798,33.36326628352491,7613,0,2665,114,59.160958904109584,15.918933645448728,27.71893725460523,406150.7173096087,116174.01337554099,77081.10043985167,9749.130520651994,26092.120859243474,40.71777664945128,92255.82461158217,6987.417661371301,301496.42604220007,308483.84370357136,172.03311045828931,101.83656717971783,73.92480998507921,27.078340761175284,166.16539461202245
beijing_ssp585_baseline_2020s_hot_2029,paperb_p90_tail_asym_relax,35040,16704,0.8543330000000003,93.20000000000003,24.89247725403612,-1.0285888809067687,56.12428160919541,45.234674329501914,37.850518124546724,45.41427203065134,63.67337164750958,0.11871211487639063,0.09450195920630483,0.024210155670085793,0.23546522286932242,11.476293103448276,0.22558915371918484,46.56968390804598,0.17424889826308798,33.36326628352491,7613,0,2665,114,59.160958904109584,15.918933645448728,27.71893725460523,406150.7173096087,116174.01337554099,77081.10043985167,9749.130520651994,26092.120859243474,40.71777664945128,92255.82461158217,6987.417661371301,301496.42604220007,308483.84370357136,172.03311045828931,101.83656717971783,73.92480998507921,27.078340761175284,166.16539461202245
beijing_ssp585_baseline_2020s_typical_2026,paperb_p90_tail_asym_relax,35040,16704,0.8543330000000003,93.20000000000003,24.781255215931033,-1.0771625558748403,52.861590038314176,45.99497126436782,37.98278291416251,46.25838122605364,63.73323754789272,0.1191106866479754,0.09403448854858057,0.025076198099394858,0.23409289236163094,12.871168582375478,0.2235205076286597,46.479885057471265,0.17375566916402965,33.74640804597701,7645,0,2636,115,58.564497716894984,15.918465571643011,27.716929788458838,390176.7245045917,100189.72020719032,66552.8083467365,9496.688646482988,20888.562490872406,40.71777664945128,93475.1881865728,6816.35126585217,288509.6138479113,295325.9651137635,163.37961564638778,92.97815424347493,67.29807014908037,27.078340761175284,162.57574776415984
beijing_ssp585_late_2080s_heatwave_extreme_2089,paperb_p90_tail_asym_relax,35040,16704,0.8543330000000003,93.20000000000003,25.653932510401823,-0.681917345146871,54.028975095785434,42.798132183908045,32.019992929688854,43.09147509578544,50.191570881226056,0.10801156705644352,0.08768044946648591,0.02033111758995761,0.22711517712784982,8.447078544061302,0.19981547538734137,41.58884099616858,0.15997127397093708,29.867097701149426,7011,0,2544,59,61.47831050228311,15.901465247864047,27.745372552741063,456271.60280702653,166292.08060768043,121049.10876473798,4404.791295911995,37586.51233810089,40.71777664945128,61277.02192969264,2981.6666383686343,359672.7180708296,362654.38470919814,180.66256926916165,110.47542008622548,82.56366289158686,27.078340761175284,177.38331442016366
beijing_ssp585_late_2080s_hot_2089,paperb_p90_tail_asym_relax,35040,16704,0.8543330000000003,93.20000000000003,25.653932510401823,-0.681917345146871,54.028975095785434,42.798132183908045,32.019992929688854,43.09147509578544,50.191570881226056,0.10801156705644352,0.08768044946648591,0.02033111758995761,0.22711517712784982,8.447078544061302,0.19981547538734137,41.58884099616858,0.15997127397093708,29.867097701149426,7011,0,2544,59,61.47831050228311,15.901465247864047,27.745372552741063,456271.60280702653,166292.08060768043,121049.10876473798,4404.791295911995,37586.51233810089,40.71777664945128,61277.02192969264,2981.6666383686343,359672.7180708296,362654.38470919814,180.66256926916165,110.47542008622548,82.56366289158686,27.078340761175284,177.38331442016366
beijing_ssp585_late_2080s_typical_2084,paperb_p90_tail_asym_relax,35040,16704,0.8543330000000003,93.20000000000003,25.62778513899528,-0.7029768119412516,56.303879310344826,39.80483716475096,31.405156726715333,40.367576628352495,56.69300766283525,0.11286950129480453,0.09243938500313753,0.02043011629166697,0.22182471418517738,8.453065134099617,0.2051607277370542,41.72054597701149,0.16561065224659272,29.184626436781606,6899,0,2595,70,60.92465753424657,15.87893299294389,27.778833107099143,436927.91258647875,146939.67767376115,104793.99049292112,4824.566531251185,34069.444691637684,40.71777664945128,62373.64314144259,3408.2320669636288,340386.2951984688,343794.52726543235,182.6580595208961,112.47274970675761,84.560992512119,27.078340761175284,177.35499253816448
beijing_ssp585_mid_2050s_heatwave_extreme_2052,paperb_p90_tail_asym_relax,35040,16704,0.8543330000000003,93.20000000000003,25.329391187086667,-0.8293759977650064,57.058189655172406,42.61853448275862,34.67514274437804,43.28903256704981,57.303639846743295,0.11413354866056827,0.0914247227855577,0.022708825875010562,0.21998050523697388,9.303160919540229,0.21095724429017462,43.09147509578544,0.16674855801308217,30.29214559386973,7135,0,2646,109,61.02739726027397,15.891633767951024,27.766129438844445,444411.5539188409,154434.00088237858,108431.45572955946,8135.946187293577,34614.93378220345,40.71777664945128,81471.565932728,5825.96286730154,336581.3666125511,342407.3294798527,185.8035216374564,115.81157973970603,87.89982254506741,27.078340761175284,170.55669084294922
beijing_ssp585_mid_2050s_hot_2052,paperb_p90_tail_asym_relax,35040,16704,0.8543330000000003,93.20000000000003,25.329391187086667,-0.8293759977650064,57.058189655172406,42.61853448275862,34.67514274437804,43.28903256704981,57.303639846743295,0.11413354866056827,0.0914247227855577,0.022708825875010562,0.21998050523697388,9.303160919540229,0.21095724429017462,43.09147509578544,0.16674855801308217,30.29214559386973,7135,0,2646,109,61.02739726027397,15.891633767951024,27.766129438844445,444411.5539188409,154434.00088237858,108431.45572955946,8135.946187293577,34614.93378220345,40.71777664945128,81471.565932728,5825.96286730154,336581.3666125511,342407.3294798527,185.8035216374564,115.81157973970603,87.89982254506741,27.078340761175284,170.55669084294922
beijing_ssp585_mid_2050s_typical_2053,paperb_p90_tail_asym_relax,35040,16704,0.8543330000000003,93.20000000000003,25.220716443320697,-0.8872730683269476,52.26293103448276,41.97198275862069,33.34252596350764,42.21743295019157,57.01628352490421,0.11482397912373028,0.09387446968000986,0.020949509443720427,0.23447924120203276,12.17073754789272,0.20517079884274622,43.372844827586206,0.16699931486731256,32.61494252873563,7435,0,2493,70,59.40068493150685,15.912294333819386,27.711162730874538,415832.2855062688,125862.36409075774,88977.45552199706,5913.899128728336,27719.35912579343,40.71777664945128,71007.8117833599,4074.499836067449,322815.7384568172,326890.23829288466,173.64561372164763,103.45355101380567,75.54179381916704,27.078340761175284,167.93532640867804
beijing_ssp585_near_2030s_heatwave_extreme_2030,paperb_p90_tail_asym_relax,35040,16704,0.8543330000000003,93.20000000000003,24.871421426074892,-1.0330341235632183,54.45402298850575,43.98946360153257,38.61516998127904,44.33069923371647,62.344348659003835,0.11839885667198284,0.0924909585779655,0.025907898094017327,0.23349430058820858,12.589798850574713,0.22038635787578043,44.707854406130274,0.16990775688273022,30.91475095785441,7188,0,2622,155,59.56335616438356,15.920666355847224,27.75851687601168,418213.05426835705,128250.40960312403,86011.42135684237,11929.737107614492,27057.601694420115,40.71777664945128,103679.51457183354,8625.459901923357,305782.77286881127,314408.2327707346,173.8251747848442,103.62802638407544,75.71626918943682,27.078340761175284,172.8558399338036
