weather,strategy,n_steps,occupied_steps,paperb_met,paperb_people_activity_w_per_person,mean_operative_temp_c_occ,mean_pmv_occ,pmv_violation_pct_occ,pmv_abs_gt_1_0_pct_occ,mean_ppd_pct_occ,ppd_gt_25_pct_occ,adaptive_violation_pct_occ,mean_p_tail_occ,mean_warm_tail_occ,mean_cold_tail_occ,p95_p_tail_occ,mean_zone_p_tail_ge_0p20_pct_occ,max_zone_p_tail_mean_occ,max_zone_p_tail_ge_0p20_pct_occ,relax_action_count,guard_hold_count,warm_protection_count,cold_protection_count,hvac_on_pct_all,mean_heating_setpoint_c,mean_cooling_setpoint_c,electricity_kwh,hvac_electricity_kwh,cooling_electricity_kwh,heating_electricity_kwh,fan_electricity_kwh,pump_electricity_kwh,natural_gas_kwh,zone_heating_kwh_thermal,zone_cooling_kwh_thermal,zone_hvac_kwh_thermal,peak_facility_electric_kw_15min,peak_hvac_electric_kw_15min,peak_cooling_electric_kw_15min,peak_fan_electric_kw_15min,peak_zone_hvac_kw_15min
beijing_ssp245_baseline_2020s_heatwave_extreme_2025,diagnostic_reference,35040,16704,0.8543330000000003,93.20000000000003,24.384560613138007,-1.205765285759898,90.05627394636015,57.153975095785434,39.8257880923152,59.50670498084292,46.8330938697318,0.1221941532539647,0.10063192137818518,0.02156223187577952,0.26574623633346334,17.091714559386972,0.20544387036102468,39.098419540229884,0,0,0,0,58.26198630136986,16.767123287671232,27.13972602739726,425106.33716480184,135136.21546927482,83843.22273471368,12031.864016224124,36009.47367099972,40.71777664945128,77016.96375822069,7149.688560064523,327128.3046440964,334277.99320416094,173.59315303278612,103.39555281287086,75.48379561823222,27.078340761175284,154.18023990564032
beijing_ssp245_baseline_2020s_heatwave_extreme_2025,paperb_adaptive_band_relax,35040,16704,0.8543330000000003,93.20000000000003,24.973363348424165,-0.9859685504469986,60.53639846743295,47.06058429118774,36.70309581647495,48.00047892720307,62.19468390804598,0.11238959958490764,0.08952861502850418,0.022860984556403487,0.22373957023170774,9.596503831417625,0.19706933675651003,39.62523946360153,5808,5515,2120,0,59.243721461187214,15.974265596746854,27.582620334189777,407218.50233960623,117248.38064407928,77455.02898918572,7723.037303427079,28818.659304129214,40.71777664945128,78110.43903844543,4969.935483869309,317126.1875842086,322096.12306807784,173.59315303278612,103.39555281287086,75.48379561823222,27.078340761175284,162.97556786204376
beijing_ssp245_baseline_2020s_heatwave_extreme_2025,paperb_gate_tail_asym_relax,35040,16704,0.8543330000000003,93.20000000000003,25.262065954004726,-0.8780812978927202,53.06513409961686,40.589080459770116,32.61940660446136,41.16977969348659,65.22988505747126,0.1248562741845505,0.10371189351889319,0.021144380665657346,0.2519527147813369,17.097701149425287,0.22137053077359592,46.18055555555556,4527,0,2304,4,59.33504566210046,15.836415525114155,27.92185359589041,399853.2659107171,109883.14421519007,76308.4693465795,3808.718498803036,26514.301322470255,40.71777664945128,82985.55644226092,2732.0790203131,309590.52446604974,312322.6034863627,173.59315303278612,103.39555281287086,75.48379561823222,27.078340761175284,156.49327833212615
beijing_ssp245_baseline_2020s_heatwave_extreme_2025,paperb_mu_relax,35040,16704,0.8543330000000003,93.20000000000003,25.35278787420298,-0.8439001436781609,53.633860153256705,39.75694444444444,31.04649495227943,40.433429118773944,66.02011494252874,0.13037669044342695,0.10997557269200553,0.020401117751421418,0.2712564342918084,20.545977011494255,0.22330123016459755,46.21048850574713,3840,0,2163,2,59.2865296803653,15.836294235159817,27.984681792237442,398913.4638940556,108943.34219852864,76361.129183589,3432.8330241143394,25897.724943488014,40.71777664945128,85383.15260227119,2475.870930628374,307555.51141521905,310031.38234584744,173.59315303278612,103.39555281287086,75.48379561823222,27.078340761175284,156.49327833209185
beijing_ssp245_baseline_2020s_heatwave_extreme_2025,paperb_pmv_exceedance_guard_relax,35040,16704,0.8543330000000003,93.20000000000003,25.14082021017248,-0.9239669141123881,82.39942528735632,40.74473180076628,30.92173541115682,42.77418582375479,52.975335249042146,0.14618059100206246,0.127873725203066,0.018306865798996468,0.2994931778490402,30.627394636015325,0.22812487589700498,45.40828544061303,7046,6958,260,1775,59.0582191780822,16.86396383694862,27.6067818663436,417662.7461823902,127692.62448686322,80248.87202745795,15724.398473786592,28467.69893828138,40.71777664945128,80972.64979011798,8408.996472293928,315688.1448335577,324097.14130585163,173.59315303278612,103.39555281287086,75.48379561823222,27.078340761175284,153.1638528797736
beijing_ssp245_baseline_2020s_heatwave_extreme_2025,paperb_ppd_guard_relax,35040,16704,0.8543330000000003,93.20000000000003,25.148354641345545,-0.9210639367816091,82.83045977011494,40.152059386973185,30.78614819840146,42.01388888888889,53.01125478927203,0.14636768797240005,0.12806545096188485,0.018302237010515223,0.29968747755563613,30.79501915708812,0.2286835837029205,45.569923371647505,7250,6858,256,1833,59.0810502283105,16.876606504884485,27.609648318704405,417349.10907816753,127378.98738264061,80114.78608167358,15722.306958954649,28290.239294675106,40.71777664945128,80953.77813929525,8408.089296745566,315555.9747482783,323964.0640450239,173.59315303278612,103.39555281287086,75.48379561823222,27.078340761175284,153.16410098633708
beijing_ssp245_baseline_2020s_heatwave_extreme_2025,reference,35040,16704,0.8543330000000003,93.20000000000003,24.384560613138007,-1.205765285759898,90.05627394636015,57.153975095785434,39.8257880923152,59.50670498084292,46.8330938697318,,,,,0.0,,0.0,0,0,0,0,58.26198630136986,16.767123287671232,27.13972602739726,425106.33716480184,135136.21546927482,83843.22273471368,12031.864016224124,36009.47367099972,40.71777664945128,77016.96375822069,7149.688560064523,327128.3046440964,334277.99320416094,173.59315303278612,103.39555281287086,75.48379561823222,27.078340761175284,154.18023990564032
beijing_ssp245_baseline_2020s_hot_2025,diagnostic_reference,35040,16704,0.8543330000000003,93.20000000000003,24.384560613138007,-1.205765285759898,90.05627394636015,57.153975095785434,39.8257880923152,59.50670498084292,46.8330938697318,0.1221941532539647,0.10063192137818518,0.02156223187577952,0.26574623633346334,17.091714559386972,0.20544387036102468,39.098419540229884,0,0,0,0,58.26198630136986,16.767123287671232,27.13972602739726,425106.33716480184,135136.21546927482,83843.22273471368,12031.864016224124,36009.47367099972,40.71777664945128,77016.96375822069,7149.688560064523,327128.3046440964,334277.99320416094,173.59315303278612,103.39555281287086,75.48379561823222,27.078340761175284,154.18023990564032
beijing_ssp245_baseline_2020s_hot_2025,paperb_adaptive_band_relax,35040,16704,0.8543330000000003,93.20000000000003,24.973363348424165,-0.9859685504469986,60.53639846743295,47.06058429118774,36.70309581647495,48.00047892720307,62.19468390804598,0.11238959958490764,0.08952861502850418,0.022860984556403487,0.22373957023170774,9.596503831417625,0.19706933675651003,39.62523946360153,5808,5515,2120,0,59.243721461187214,15.974265596746854,27.582620334189777,407218.50233960623,117248.38064407928,77455.02898918572,7723.037303427079,28818.659304129214,40.71777664945128,78110.43903844543,4969.935483869309,317126.1875842086,322096.12306807784,173.59315303278612,103.39555281287086,75.48379561823222,27.078340761175284,162.97556786204376
beijing_ssp245_baseline_2020s_hot_2025,paperb_gate_tail_asym_relax,35040,16704,0.8543330000000003,93.20000000000003,25.262065954004726,-0.8780812978927202,53.06513409961686,40.589080459770116,32.61940660446136,41.16977969348659,65.22988505747126,0.1248562741845505,0.10371189351889319,0.021144380665657346,0.2519527147813369,17.097701149425287,0.22137053077359592,46.18055555555556,4527,0,2304,4,59.33504566210046,15.836415525114155,27.92185359589041,399853.2659107171,109883.14421519007,76308.4693465795,3808.718498803036,26514.301322470255,40.71777664945128,82985.55644226092,2732.0790203131,309590.52446604974,312322.6034863627,173.59315303278612,103.39555281287086,75.48379561823222,27.078340761175284,156.49327833212615
beijing_ssp245_baseline_2020s_hot_2025,paperb_mu_relax,35040,16704,0.8543330000000003,93.20000000000003,25.35278787420298,-0.8439001436781609,53.633860153256705,39.75694444444444,31.04649495227943,40.433429118773944,66.02011494252874,0.13037669044342695,0.10997557269200553,0.020401117751421418,0.2712564342918084,20.545977011494255,0.22330123016459755,46.21048850574713,3840,0,2163,2,59.2865296803653,15.836294235159817,27.984681792237442,398913.4638940556,108943.34219852864,76361.129183589,3432.8330241143394,25897.724943488014,40.71777664945128,85383.15260227119,2475.870930628374,307555.51141521905,310031.38234584744,173.59315303278612,103.39555281287086,75.48379561823222,27.078340761175284,156.49327833209185
beijing_ssp245_baseline_2020s_hot_2025,paperb_pmv_exceedance_guard_relax,35040,16704,0.8543330000000003,93.20000000000003,25.14082021017248,-0.9239669141123881,82.39942528735632,40.74473180076628,30.92173541115682,42.77418582375479,52.975335249042146,0.14618059100206246,0.127873725203066,0.018306865798996468,0.2994931778490402,30.627394636015325,0.22812487589700498,45.40828544061303,7046,6958,260,1775,59.0582191780822,16.86396383694862,27.6067818663436,417662.7461823902,127692.62448686322,80248.87202745795,15724.398473786592,28467.69893828138,40.71777664945128,80972.64979011798,8408.996472293928,315688.1448335577,324097.14130585163,173.59315303278612,103.39555281287086,75.48379561823222,27.078340761175284,153.1638528797736
beijing_ssp245_baseline_2020s_hot_2025,paperb_ppd_guard_relax,35040,16704,0.8543330000000003,93.20000000000003,25.148354641345545,-0.9210639367816091,82.83045977011494,40.152059386973185,30.78614819840146,42.01388888888889,53.01125478927203,0.14636768797240005,0.12806545096188485,0.018302237010515223,0.29968747755563613,30.79501915708812,0.2286835837029205,45.569923371647505,7250,6858,256,1833,59.0810502283105,16.876606504884485,27.609648318704405,417349.10907816753,127378.98738264061,80114.78608167358,15722.306958954649,28290.239294675106,40.71777664945128,80953.77813929525,8408.089296745566,315555.9747482783,323964.0640450239,173.59315303278612,103.39555281287086,75.48379561823222,27.078340761175284,153.16410098633708
beijing_ssp245_baseline_2020s_hot_2025,reference,35040,16704,0.8543330000000003,93.20000000000003,24.384560613138007,-1.205765285759898,90.05627394636015,57.153975095785434,39.8257880923152,59.50670498084292,46.8330938697318,,,,,0.0,,0.0,0,0,0,0,58.26198630136986,16.767123287671232,27.13972602739726,425106.33716480184,135136.21546927482,83843.22273471368,12031.864016224124,36009.47367099972,40.71777664945128,77016.96375822069,7149.688560064523,327128.3046440964,334277.99320416094,173.59315303278612,103.39555281287086,75.48379561823222,27.078340761175284,154.18023990564032
beijing_ssp245_baseline_2020s_typical_2026,diagnostic_reference,35040,16704,0.8543330000000003,93.20000000000003,24.102397173179316,-1.3305177602171137,95.96503831417624,61.141044061302686,43.02363998081389,64.22413793103449,48.910440613026815,0.12677183427446917,0.10404875075731197,0.022723083517157197,0.263284691204574,17.9897030651341,0.21096663894476075,40.38553639846743,0,0,0,0,57.22602739726027,16.767123287671232,27.13972602739726,410201.18716519163,120196.55079112598,73503.67984395534,14757.766693705918,28683.427900307757,40.71777664945128,86657.04047316291,8997.974025496906,300586.25398320594,309584.22800870286,169.35190675406827,98.67354286620505,70.91781522315254,27.078340761175284,157.13535387021716
beijing_ssp245_baseline_2020s_typical_2026,paperb_adaptive_band_relax,35040,16704,0.8543330000000003,93.20000000000003,24.702192038870248,-1.1057939415708813,62.48802681992337,49.61087164750958,38.87684902636258,50.72437739463601,59.70426245210728,0.11351841500126297,0.08935857362246093,0.024159841378802057,0.2212598266736544,9.524664750957855,0.19364123948037362,38.04477969348659,6342,4537,2200,0,58.010844748858446,15.98037256911465,27.549621998338395,392719.120518172,102714.4841441063,66568.67145556095,10316.480802026428,22577.655533361976,40.71777664945128,87814.71277003457,6801.802263766851,290004.9671361043,296806.7693998711,169.35190675406827,98.71530995835624,70.80355276371762,27.078340761175284,170.4493757433254
beijing_ssp245_baseline_2020s_typical_2026,paperb_gate_tail_asym_relax,35040,16704,0.8543330000000003,93.20000000000003,24.987720255413134,-0.9993635855683268,53.747605363984675,42.71431992337165,34.777064762544384,42.95977011494253,63.12859195402298,0.126140130213024,0.10364496900842535,0.02249516120459866,0.2476257000798276,16.69061302681992,0.23029204689615312,46.74928160919541,4466,0,2314,1,58.15639269406393,15.836137271689498,27.92783247716895,384167.52806758776,94162.89169352209,65458.25012875641,5183.301191657324,20269.664019951397,40.71777664945128,93085.98748723585,3728.549928961429,281627.30465468596,285355.8545836475,169.35190675406827,98.71530995835624,70.80355276371762,27.078340761175284,164.00545982729506
