weather,strategy,n_steps,occupied_steps,paperb_met,paperb_people_activity_w_per_person,mean_operative_temp_c_occ,mean_pmv_occ,pmv_violation_pct_occ,pmv_abs_gt_1_0_pct_occ,mean_ppd_pct_occ,ppd_gt_25_pct_occ,adaptive_violation_pct_occ,mean_p_tail_occ,mean_warm_tail_occ,mean_cold_tail_occ,p95_p_tail_occ,mean_zone_p_tail_ge_0p20_pct_occ,max_zone_p_tail_mean_occ,max_zone_p_tail_ge_0p20_pct_occ,relax_action_count,guard_hold_count,warm_protection_count,cold_protection_count,hvac_on_pct_all,mean_heating_setpoint_c,mean_cooling_setpoint_c,electricity_kwh,hvac_electricity_kwh,cooling_electricity_kwh,heating_electricity_kwh,fan_electricity_kwh,pump_electricity_kwh,natural_gas_kwh,zone_heating_kwh_thermal,zone_cooling_kwh_thermal,zone_hvac_kwh_thermal,peak_facility_electric_kw_15min,peak_hvac_electric_kw_15min,peak_cooling_electric_kw_15min,peak_fan_electric_kw_15min,peak_zone_hvac_kw_15min
guangzhou_ssp245_baseline_2020s_heatwave_extreme_2028,diagnostic_reference,35040,16704,0.8543330000000003,93.20000000000003,25.27906115043652,-0.7071610791826309,74.34147509578544,24.604885057471265,20.21118717413142,28.089080459770116,3.747605363984674,0.07132669903073749,0.048696590418316345,0.022630108612421155,0.12411548701859906,0.0,0.10571356003758245,4.944923371647509,0,0,0,0,58.82990867579909,16.767123287671232,27.13972602739726,512207.37819543487,222475.93742456348,167955.58540145512,339.7148511545577,50929.185677175905,40.71777664945128,26785.399619796048,198.3674186077025,407654.07773147704,407852.4451500848,167.47974842049928,96.27788198394882,69.18876803243833,26.25569751804715,160.23636564536127
guangzhou_ssp245_baseline_2020s_heatwave_extreme_2028,paperb_adaptive_band_relax,35040,16704,0.8543330000000003,93.20000000000003,26.678245322702548,-0.17770110951468707,28.478208812260537,6.597222222222222,10.491937733429486,7.249760536398467,27.14918582375479,0.0694781252013877,0.049585163042773384,0.019892962158614316,0.1135854007078506,0.0,0.10380304217511313,5.046695402298851,1445,4297,1295,0,60.445205479452056,15.839012557077625,28.00796946347032,486073.4548092656,196342.0140383941,157281.11514043598,37.4787342092656,35771.96866897093,40.71777664945128,27220.714909581977,28.68110679646184,385861.2984787613,385889.9795855577,167.49762834012256,96.28290648877262,69.19379253726213,26.25569751804715,168.13193059515012
guangzhou_ssp245_baseline_2020s_heatwave_extreme_2028,paperb_gate_tail_asym_relax,35040,16704,0.8543330000000003,93.20000000000003,26.80826930492943,-0.12893342911877395,21.922892720306514,3.747605363984674,9.146168851179251,4.094827586206897,30.75311302681992,0.07052200732624786,0.05127637399277163,0.019245633333476245,0.11678886168520049,0.0,0.1043972226948575,4.920977011494252,1044,0,1044,0,60.47659817351598,15.836044520547945,28.070804794520548,484839.04415963794,195107.60338876647,156752.8345388379,29.142801776450614,35074.17455337422,40.71777664945128,27246.252839551944,22.434512326890886,383493.33511241974,383515.76962474664,167.49762834012296,96.28290648877262,69.19379253726213,26.25569751804715,164.8243666420982
guangzhou_ssp245_baseline_2020s_heatwave_extreme_2028,paperb_mu_relax,35040,16704,0.8543330000000003,93.20000000000003,26.808012486231746,-0.12902278895274585,21.92887931034483,3.747605363984674,9.146890729108128,4.094827586206897,30.75311302681992,0.07051984029819909,0.05127317189348522,0.01924666840471389,0.11678886168520049,0.0,0.10440240692396414,4.920977011494252,1122,0,1086,0,60.47659817351598,15.836130136986302,28.069912956621003,484848.6048447554,195117.16407388388,156753.62892740025,29.14280249607326,35082.94084920962,40.71777664945128,27246.260128021026,22.43451304629177,383493.71933684096,383516.1538498873,167.49762834012228,96.28290648877262,69.19379253726213,26.25569751804715,164.82436643814071
guangzhou_ssp245_baseline_2020s_heatwave_extreme_2028,paperb_pmv_exceedance_guard_relax,35040,16704,0.8543330000000003,93.20000000000003,26.282377906667087,-0.32745146871008945,52.90948275862068,9.20138888888889,13.84690379806495,11.039272030651341,13.511733716475097,0.07597143511930865,0.0556954749464296,0.020275960172879044,0.13681306783939112,0.035919540229885055,0.11645813744940083,10.219109195402298,2145,7301,629,435,60.42808219178082,16.400014694422893,27.73719697717118,492529.9076086372,202798.46683776574,161194.00644316385,549.6117897411759,37803.39711008278,40.71777664945128,27118.438461317368,261.85403017887035,392687.14552712144,392948.99955730035,167.61120784686491,96.28292907554939,69.1938151240389,26.25569751804715,163.21712439370012
guangzhou_ssp245_baseline_2020s_heatwave_extreme_2028,paperb_ppd_guard_relax,35040,16704,0.8543330000000003,93.20000000000003,26.283829304737065,-0.3269084849936143,53.52011494252874,8.776340996168583,13.740783548874832,10.231082375478927,13.691331417624522,0.07584544792245654,0.05554868855712685,0.02029675936532971,0.13569497611867426,0.035919540229885055,0.1165071680113111,9.967672413793103,2319,7313,638,475,60.30536529680365,16.417422777985873,27.733365160798375,492744.3102846689,203012.86951379754,161283.80153704924,549.0451884840801,37928.571293486355,40.71777664945128,27111.248170040097,261.91570997931666,392646.43258414004,392908.34829411935,167.61120784686491,96.28291731503235,69.19380336352185,26.25569751804715,163.05777503966792
guangzhou_ssp245_baseline_2020s_heatwave_extreme_2028,reference,35040,16704,0.8543330000000003,93.20000000000003,25.27906115043652,-0.7071610791826309,74.34147509578544,24.604885057471265,20.21118717413142,28.089080459770116,3.747605363984674,,,,,0.0,,0.0,0,0,0,0,58.82990867579909,16.767123287671232,27.13972602739726,512207.37819543487,222475.93742456348,167955.58540145512,339.7148511545577,50929.185677175905,40.71777664945128,26785.399619796048,198.3674186077025,407654.07773147704,407852.4451500848,167.47974842049928,96.27788198394882,69.18876803243833,26.25569751804715,160.23636564536127
guangzhou_ssp245_baseline_2020s_hot_2027,diagnostic_reference,35040,16704,0.8543330000000003,93.20000000000003,25.250182782813575,-0.721665788633461,77.14319923371647,17.732279693486593,19.608493613032103,20.893199233716476,7.2138409961685825,0.0695041953073994,0.046672072930923854,0.022832122376475555,0.1156368867495373,0.0,0.10165712931365453,3.358477011494253,0,0,0,0,58.82990867579909,16.767123287671232,27.13972602739726,525705.9058356681,235997.71081952864,180507.89280138112,499.7029108297759,51738.6855624607,40.71777664945128,28717.9993913673,283.0846523265736,419330.40067125205,419613.4853235786,166.96107937739453,96.17715737178861,69.08804342027811,26.25569751804715,155.94390913587378
guangzhou_ssp245_baseline_2020s_hot_2027,paperb_adaptive_band_relax,35040,16704,0.8543330000000003,93.20000000000003,26.66981112287899,-0.18312376277139206,22.796934865900383,9.07567049808429,10.687282339782112,9.692289272030653,18.03759578544061,0.06675216214579445,0.0470175922736076,0.01973456987218684,0.11697143027184019,0.0,0.09897119871838576,5.136494252873564,1655,2552,1333,0,60.38527397260274,15.841204694634703,27.99136879280822,497496.27988364984,207788.08486751036,168682.8735953021,86.96852882728841,35766.81319852391,40.71777664945128,29425.094974330455,67.32697665732518,397677.4250387408,397744.7520153981,167.09943545973664,96.1840357942656,69.09492184275511,26.25569751804715,167.1328707179164
guangzhou_ssp245_baseline_2020s_hot_2027,paperb_gate_tail_asym_relax,35040,16704,0.8543330000000003,93.20000000000003,26.829798931216054,-0.12274908205619411,17.253352490421456,4.406130268199234,8.701336700414059,4.621647509578544,21.27634099616858,0.0696786857702269,0.0508151580744448,0.018863527695782104,0.1357752110675404,0.13170498084291188,0.10174253862003944,5.962643678160919,1073,0,1058,0,60.50228310502283,15.836044520547945,28.07013413242009,495511.0143796991,205802.81936355968,168032.29038586296,62.62526451820084,34456.474168321445,40.71777664945128,29523.9358806846,48.09336440871712,394408.07693687733,394456.17030128604,167.09943545973817,96.1840357942656,69.09492184275511,26.25569751804715,167.1917025432485
