city,anchor_id,policy,strategy,weather_year,climate_role,time_slice,selector_role,accepted_comparator_cell_id,event_window_start,event_window_end_exclusive,sizing_contract,artifact_cell_id,annual_electricity_kwh_delivered,annual_natural_gas_kwh_delivered_including_service_water,extreme_336h_electricity_kwh_delivered,extreme_336h_natural_gas_kwh_delivered_including_service_water,annual_occupied_hours,extreme_336h_total_hours,extreme_336h_occupied_hours,sql_hourly_electricity_meter_rows,sql_hourly_natural_gas_meter_rows,trace_minus_sql_electricity_j,trace_minus_sql_natural_gas_j,annual_total_delivered_site_energy_kwh,extreme_336h_total_delivered_site_energy_kwh,annual_occupied_worst_zone_degree_hours_above_26c,annual_occupied_worst_zone_degree_hours_above_26c_zone,extreme_336h_occupied_worst_zone_degree_hours_above_26c,extreme_336h_occupied_worst_zone_degree_hours_above_26c_zone,annual_occupied_worst_zone_degree_hours_above_28c,annual_occupied_worst_zone_degree_hours_above_28c_zone,extreme_336h_occupied_worst_zone_degree_hours_above_28c,extreme_336h_occupied_worst_zone_degree_hours_above_28c_zone,annual_occupied_worst_zone_degree_hours_above_30c,annual_occupied_worst_zone_degree_hours_above_30c_zone,extreme_336h_occupied_worst_zone_degree_hours_above_30c,extreme_336h_occupied_worst_zone_degree_hours_above_30c_zone,dx_high_speed_cooling_capacity_w,fuel_heating_capacity_w,electric_reheat_capacity_w,dx_high_speed_rated_airflow_m3_s,facility_occupied_heating_setpoint_not_met_h,facility_occupied_cooling_setpoint_not_met_h,cooling_unmet_degree_hours_sum,heating_unmet_degree_hours_sum,cooling_occupied_unmet_degree_hours_sum,heating_occupied_unmet_degree_hours_sum,cooling_occupied_unmet_degree_hours_max_zone,heating_occupied_unmet_degree_hours_max_zone,combined_fuel_plus_reheat_capacity_w,zone_cooling_user_design_load_w_sum,zone_cooling_user_design_flow_m3_s_sum,system_cooling_user_design_capacity_w_sum,system_cooling_user_design_flow_m3_s_sum,zone_heating_user_design_load_w_sum,zone_heating_user_design_flow_m3_s_sum,system_heating_user_design_capacity_w_sum,system_heating_user_design_flow_m3_s_sum
Beijing,beijing_ssp585_present_typical,adaptive_band,paperb_adaptive_band_relax,2026,continental_hot_summer,baseline_2020s,typical,SCALED-96-027,2026-08-10 00:00:00,2026-08-24 00:00:00,accepted_denver,SCALED-96-027,394618.220017,92579.1574705,21735.1369778,884.859929372,4176,336,160,8760,8760,0.01611328125,-0.000244140625,487197.377488,22619.9969072,1837.62036907,perimeter_top_zn_4,180.797147106,perimeter_top_zn_4,5.53131327268,perimeter_top_zn_4,2.00739071224,perimeter_mid_zn_1,0,core_bottom,0,core_bottom,236931.11,96468.03,143910.2,12.43,417.5,434,1790.8,3572.05,1666.82,2997.61,320.72,1129.6,240378.23,187892.634215,13.7205749948,199994.895263,12.4322910739,85767.3580601,4.37134465435,93011.3297452,4.37122074011
Beijing,beijing_ssp585_present_typical,fixed,diagnostic_reference,2026,continental_hot_summer,baseline_2020s,typical,SCALED-96-025,2026-08-10 00:00:00,2026-08-24 00:00:00,accepted_denver,SCALED-96-025,413740.613732,91890.8339975,23452.3104246,887.167660359,4176,336,160,8760,8760,0.016357421875,0.0003662109375,505631.447729,24339.478085,84.2313666963,perimeter_mid_zn_1,33.722675851,perimeter_bot_zn_1,0,core_bottom,0,core_bottom,0,core_bottom,0,core_bottom,236931.11,96468.03,143910.2,12.43,523.25,452,2943.79,4803.73,2809.32,4189.31,335.74,1458.67,240378.23,187892.634215,13.7205749948,199994.895263,12.4322910739,85767.3580601,4.37134465435,93011.3297452,4.37122074011
Beijing,beijing_ssp585_present_typical,learned_p90,paperb_p90_tail_asym_relax,2026,continental_hot_summer,baseline_2020s,typical,SCALED-96-028,2026-08-10 00:00:00,2026-08-24 00:00:00,accepted_denver,SCALED-96-028,390381.378497,93463.5465417,21735.1369781,884.859929371,4176,336,160,8760,8760,0.01611328125,0,483844.925038,22619.9969075,2114.85508105,perimeter_mid_zn_1,180.797147106,perimeter_top_zn_4,8.06275344582,perimeter_top_zn_4,2.00739071221,perimeter_mid_zn_1,0,core_bottom,0,core_bottom,236931.11,96468.03,143910.2,12.43,360.75,437,1745.44,3983.32,1620.72,3372.02,296.67,1005.88,240378.23,187892.634215,13.7205749948,199994.895263,12.4322910739,85767.3580601,4.37134465435,93011.3297452,4.37122074011
Beijing,beijing_ssp585_present_typical,pmv,paperb_pmv_relax,2026,continental_hot_summer,baseline_2020s,typical,SCALED-96-026,2026-08-10 00:00:00,2026-08-24 00:00:00,accepted_denver,SCALED-96-026,400087.320411,95787.3241068,21735.0117997,884.859882748,4176,336,160,8760,8760,0.017578125,0.000732421875,495874.644518,22619.8716824,2060.55931896,perimeter_mid_zn_1,180.582875209,perimeter_top_zn_4,7.01249952131,perimeter_top_zn_4,2.05696206009,perimeter_mid_zn_1,0,core_bottom,0,core_bottom,236931.11,96468.03,143910.2,12.43,605,277,1376.25,5658.43,1259.42,5009.46,142.16,1656.29,240378.23,187892.634215,13.7205749948,199994.895263,12.4322910739,85767.3580601,4.37134465435,93011.3297452,4.37122074011
Beijing,beijing_ssp585_present_typical,adaptive_band,paperb_adaptive_band_relax,2026,continental_hot_summer,baseline_2020s,typical,SCALED-96-027,2026-08-10 00:00:00,2026-08-24 00:00:00,city_ddy,REV01-C2-012-003,394645.552391,94375.7681736,21416.2914591,884.843445169,4176,336,160,8760,8760,0.01220703125,-0.00067138671875,489021.320564,22301.1349043,1841.07064135,perimeter_top_zn_4,179.967572747,perimeter_top_zn_4,5.48174874791,perimeter_top_zn_4,0.159924045632,perimeter_top_zn_2,0,core_bottom,0,core_bottom,273813.96,71338.9,124766.1,12.62,427.5,377.75,1576.84,3672.61,1454.46,3087.75,285.8,1113.87,196105,184456.521112,13.4698765275,206971.486014,12.6166501636,71587.0439591,3.77970457593,73957.1233102,3.77961496608
Beijing,beijing_ssp585_present_typical,fixed,diagnostic_reference,2026,continental_hot_summer,baseline_2020s,typical,SCALED-96-025,2026-08-10 00:00:00,2026-08-24 00:00:00,city_ddy,REV01-C2-012-001,412528.205154,93797.824388,22889.299333,888.362484849,4176,336,160,8760,8760,0.019775390625,0,506326.029542,23777.6618179,45.0718988954,perimeter_mid_zn_1,10.7474587676,perimeter_bot_zn_1,0,core_bottom,0,core_bottom,0,core_bottom,0,core_bottom,273813.96,71338.9,124766.1,12.62,535.5,306.25,1810.77,4957.06,1684.66,4325.4,197.28,1438.29,196105,184456.521112,13.4698765275,206971.486014,12.6166501636,71587.0439591,3.77970457593,73957.1233102,3.77961496608
Beijing,beijing_ssp585_present_typical,learned_p90,paperb_p90_tail_asym_relax,2026,continental_hot_summer,baseline_2020s,typical,SCALED-96-028,2026-08-10 00:00:00,2026-08-24 00:00:00,city_ddy,REV01-C2-012-004,390529.013486,95207.1008472,21416.2914591,884.84344517,4176,336,160,8760,8760,0.017578125,0,485736.114333,22301.1349043,2093.94871718,perimeter_mid_zn_1,179.967572747,perimeter_top_zn_4,8.02234912997,perimeter_top_zn_4,0.159924045634,perimeter_top_zn_2,0,core_bottom,0,core_bottom,273813.96,71338.9,124766.1,12.62,369.25,374,1517,4187.96,1392.07,3567.18,258.45,1004.99,196105,184456.521112,13.4698765275,206971.486014,12.6166501636,71587.0439591,3.77970457593,73957.1233102,3.77961496608
Beijing,beijing_ssp585_present_typical,pmv,paperb_pmv_relax,2026,continental_hot_summer,baseline_2020s,typical,SCALED-96-026,2026-08-10 00:00:00,2026-08-24 00:00:00,city_ddy,REV01-C2-012-002,400317.786464,97663.5874772,21416.2913022,884.843445159,4176,336,160,8760,8760,0.01513671875,0.00018310546875,497981.373941,22301.1347474,2033.84082916,perimeter_mid_zn_1,179.967571975,perimeter_top_zn_4,6.98925047107,perimeter_top_zn_4,0.159924045337,perimeter_top_zn_2,0,core_bottom,0,core_bottom,273813.96,71338.9,124766.1,12.62,614.25,243.5,1197.68,5836.58,1080.71,5170.14,105.79,1633.4,196105,184456.521112,13.4698765275,206971.486014,12.6166501636,71587.0439591,3.77970457593,73957.1233102,3.77961496608
Guangzhou,guangzhou_ssp585_future_extreme,adaptive_band,paperb_adaptive_band_relax,2086,hot-humid/subtropical,late_2080s,heatwave_extreme,SCALED-96-047,2086-07-20 00:00:00,2086-08-03 00:00:00,accepted_denver,SCALED-96-047,585241.036071,27388.4083666,30278.9714864,884.956055872,4176,336,160,8760,8760,0.009033203125,0.00018310546875,612629.444438,31163.9275423,9560.95942101,perimeter_mid_zn_1,760.073641045,perimeter_mid_zn_1,3617.01154792,perimeter_bot_zn_1,440.073641045,perimeter_mid_zn_1,792.116089452,perimeter_bot_zn_1,150.011360105,perimeter_mid_zn_1,226867.27,97989.86,143641.66,12.06,7.25,2848,51645.62,14.35,48685.98,14.08,6341.52,14.08,241631.52,177549.814032,12.9299854551,191718.603861,12.0546357775,85804.3772357,4.36338928401,93353.850642,4.36326537041
Guangzhou,guangzhou_ssp585_future_extreme,fixed,diagnostic_reference,2086,hot-humid/subtropical,late_2080s,heatwave_extreme,SCALED-96-045,2086-07-20 00:00:00,2086-08-03 00:00:00,accepted_denver,SCALED-96-045,608391.964738,27015.9483748,30308.4004001,884.957361525,4176,336,160,8760,8760,0.00927734375,-0.000289916992188,635407.913112,31193.3577616,7950.72947714,perimeter_bot_zn_1,761.745039931,perimeter_mid_zn_1,3371.23551044,perimeter_bot_zn_1,441.745039931,perimeter_mid_zn_1,763.471901091,perimeter_bot_zn_1,150.575364927,perimeter_mid_zn_1,226867.27,97989.86,143641.66,12.06,32.25,3312.75,104275.05,77.92,100651.4,75.09,11191.87,74.76,241631.52,177549.814032,12.9299854551,191718.603861,12.0546357775,85804.3772357,4.36338928401,93353.850642,4.36326537041
