scaled_run_id,anchor_id,physical_condition_id,city,scenario,selector_role,weather_year,strategy,policy_label,trace_rows,occupied_rows,zone_count,timestep_hours,worst_zone_dh_below_18c,worst_zone_dh_below_18c_zone,worst_zone_dh_below_16c,worst_zone_dh_below_16c_zone
SCALED-96-001,ahmedabad_ssp245_present_typical,ahmedabad|ssp245|baseline_2020s|2025,Ahmedabad,ssp245,present_typical,2025,diagnostic_reference,Fixed-setpoint reference,35040,16704,15,0.25,0,core_bottom,0,core_bottom
SCALED-96-002,ahmedabad_ssp245_present_typical,ahmedabad|ssp245|baseline_2020s|2025,Ahmedabad,ssp245,present_typical,2025,paperb_pmv_relax,Building-mean PMV policy,35040,16704,15,0.25,0,core_bottom,0,core_bottom
SCALED-96-003,ahmedabad_ssp245_present_typical,ahmedabad|ssp245|baseline_2020s|2025,Ahmedabad,ssp245,present_typical,2025,paperb_adaptive_band_relax,Adaptive-band benchmark,35040,16704,15,0.25,0,core_bottom,0,core_bottom
SCALED-96-004,ahmedabad_ssp245_present_typical,ahmedabad|ssp245|baseline_2020s|2025,Ahmedabad,ssp245,present_typical,2025,paperb_p90_tail_asym_relax,Learned-p90 policy,35040,16704,15,0.25,0,core_bottom,0,core_bottom
SCALED-96-005,ahmedabad_ssp245_future_extreme,ahmedabad|ssp245|late_2080s|2081,Ahmedabad,ssp245,future_extreme,2081,diagnostic_reference,Fixed-setpoint reference,35040,16704,15,0.25,0,core_bottom,0,core_bottom
SCALED-96-006,ahmedabad_ssp245_future_extreme,ahmedabad|ssp245|late_2080s|2081,Ahmedabad,ssp245,future_extreme,2081,paperb_pmv_relax,Building-mean PMV policy,35040,16704,15,0.25,0,core_bottom,0,core_bottom
SCALED-96-007,ahmedabad_ssp245_future_extreme,ahmedabad|ssp245|late_2080s|2081,Ahmedabad,ssp245,future_extreme,2081,paperb_adaptive_band_relax,Adaptive-band benchmark,35040,16704,15,0.25,0,core_bottom,0,core_bottom
SCALED-96-008,ahmedabad_ssp245_future_extreme,ahmedabad|ssp245|late_2080s|2081,Ahmedabad,ssp245,future_extreme,2081,paperb_p90_tail_asym_relax,Learned-p90 policy,35040,16704,15,0.25,0,core_bottom,0,core_bottom
SCALED-96-009,ahmedabad_ssp585_present_typical,ahmedabad|ssp585|baseline_2020s|2025,Ahmedabad,ssp585,present_typical,2025,diagnostic_reference,Fixed-setpoint reference,35040,16704,15,0.25,0,core_bottom,0,core_bottom
SCALED-96-010,ahmedabad_ssp585_present_typical,ahmedabad|ssp585|baseline_2020s|2025,Ahmedabad,ssp585,present_typical,2025,paperb_pmv_relax,Building-mean PMV policy,35040,16704,15,0.25,0,core_bottom,0,core_bottom
SCALED-96-011,ahmedabad_ssp585_present_typical,ahmedabad|ssp585|baseline_2020s|2025,Ahmedabad,ssp585,present_typical,2025,paperb_adaptive_band_relax,Adaptive-band benchmark,35040,16704,15,0.25,0,core_bottom,0,core_bottom
SCALED-96-012,ahmedabad_ssp585_present_typical,ahmedabad|ssp585|baseline_2020s|2025,Ahmedabad,ssp585,present_typical,2025,paperb_p90_tail_asym_relax,Learned-p90 policy,35040,16704,15,0.25,0,core_bottom,0,core_bottom
SCALED-96-013,ahmedabad_ssp585_future_extreme,ahmedabad|ssp585|late_2080s|2088,Ahmedabad,ssp585,future_extreme,2088,diagnostic_reference,Fixed-setpoint reference,35040,16704,15,0.25,0,core_bottom,0,core_bottom
SCALED-96-014,ahmedabad_ssp585_future_extreme,ahmedabad|ssp585|late_2080s|2088,Ahmedabad,ssp585,future_extreme,2088,paperb_pmv_relax,Building-mean PMV policy,35040,16704,15,0.25,0,core_bottom,0,core_bottom
SCALED-96-015,ahmedabad_ssp585_future_extreme,ahmedabad|ssp585|late_2080s|2088,Ahmedabad,ssp585,future_extreme,2088,paperb_adaptive_band_relax,Adaptive-band benchmark,35040,16704,15,0.25,0,core_bottom,0,core_bottom
SCALED-96-016,ahmedabad_ssp585_future_extreme,ahmedabad|ssp585|late_2080s|2088,Ahmedabad,ssp585,future_extreme,2088,paperb_p90_tail_asym_relax,Learned-p90 policy,35040,16704,15,0.25,0,core_bottom,0,core_bottom
SCALED-96-017,beijing_ssp245_present_typical,beijing|ssp245|baseline_2020s|2026,Beijing,ssp245,present_typical,2026,diagnostic_reference,Fixed-setpoint reference,35040,16704,15,0.25,63.8974196692,perimeter_bot_zn_1,9.04094031003,perimeter_bot_zn_1
SCALED-96-018,beijing_ssp245_present_typical,beijing|ssp245|baseline_2020s|2026,Beijing,ssp245,present_typical,2026,paperb_pmv_relax,Building-mean PMV policy,35040,16704,15,0.25,41.7015435585,perimeter_bot_zn_1,3.36223067461,perimeter_bot_zn_1
SCALED-96-019,beijing_ssp245_present_typical,beijing|ssp245|baseline_2020s|2026,Beijing,ssp245,present_typical,2026,paperb_adaptive_band_relax,Adaptive-band benchmark,35040,16704,15,0.25,82.3167865509,perimeter_bot_zn_1,14.5172775649,perimeter_bot_zn_1
SCALED-96-020,beijing_ssp245_present_typical,beijing|ssp245|baseline_2020s|2026,Beijing,ssp245,present_typical,2026,paperb_p90_tail_asym_relax,Learned-p90 policy,35040,16704,15,0.25,77.5736045587,perimeter_bot_zn_1,13.0815331352,perimeter_bot_zn_1
SCALED-96-021,beijing_ssp245_future_extreme,beijing|ssp245|late_2080s|2084,Beijing,ssp245,future_extreme,2084,diagnostic_reference,Fixed-setpoint reference,35040,16704,15,0.25,6.0972251177,perimeter_bot_zn_1,0.0999833920303,perimeter_top_zn_2
SCALED-96-022,beijing_ssp245_future_extreme,beijing|ssp245|late_2080s|2084,Beijing,ssp245,future_extreme,2084,paperb_pmv_relax,Building-mean PMV policy,35040,16704,15,0.25,2.12223383201,perimeter_bot_zn_1,0,core_bottom
