anchor_id,candidate_strategy,candidate_label,comparator_strategy,comparator_label,delta_dh_below_18c,delta_dh_below_16c
ahmedabad_ssp245_future_extreme,paperb_p90_tail_asym_relax,Learned-p90 policy,diagnostic_reference,Fixed-setpoint reference,0,0
ahmedabad_ssp245_present_typical,paperb_p90_tail_asym_relax,Learned-p90 policy,diagnostic_reference,Fixed-setpoint reference,0,0
ahmedabad_ssp585_future_extreme,paperb_p90_tail_asym_relax,Learned-p90 policy,diagnostic_reference,Fixed-setpoint reference,0,0
ahmedabad_ssp585_present_typical,paperb_p90_tail_asym_relax,Learned-p90 policy,diagnostic_reference,Fixed-setpoint reference,0,0
beijing_ssp245_future_extreme,paperb_p90_tail_asym_relax,Learned-p90 policy,diagnostic_reference,Fixed-setpoint reference,2.68735178686,0.0970629513111
beijing_ssp245_present_typical,paperb_p90_tail_asym_relax,Learned-p90 policy,diagnostic_reference,Fixed-setpoint reference,13.6761848895,4.04059282512
beijing_ssp585_future_extreme,paperb_p90_tail_asym_relax,Learned-p90 policy,diagnostic_reference,Fixed-setpoint reference,3.70946304082,0
beijing_ssp585_present_typical,paperb_p90_tail_asym_relax,Learned-p90 policy,diagnostic_reference,Fixed-setpoint reference,19.5388416157,5.9036969492
guangzhou_ssp245_future_extreme,paperb_p90_tail_asym_relax,Learned-p90 policy,diagnostic_reference,Fixed-setpoint reference,0,0
guangzhou_ssp245_present_typical,paperb_p90_tail_asym_relax,Learned-p90 policy,diagnostic_reference,Fixed-setpoint reference,0,0
guangzhou_ssp585_future_extreme,paperb_p90_tail_asym_relax,Learned-p90 policy,diagnostic_reference,Fixed-setpoint reference,0,0
guangzhou_ssp585_present_typical,paperb_p90_tail_asym_relax,Learned-p90 policy,diagnostic_reference,Fixed-setpoint reference,0,0
houston_ssp245_future_extreme,paperb_p90_tail_asym_relax,Learned-p90 policy,diagnostic_reference,Fixed-setpoint reference,0,0
houston_ssp245_present_typical,paperb_p90_tail_asym_relax,Learned-p90 policy,diagnostic_reference,Fixed-setpoint reference,0,0
houston_ssp585_future_extreme,paperb_p90_tail_asym_relax,Learned-p90 policy,diagnostic_reference,Fixed-setpoint reference,0,0
houston_ssp585_present_typical,paperb_p90_tail_asym_relax,Learned-p90 policy,diagnostic_reference,Fixed-setpoint reference,-0.153930594283,0
kolkata_ssp245_future_extreme,paperb_p90_tail_asym_relax,Learned-p90 policy,diagnostic_reference,Fixed-setpoint reference,0,0
kolkata_ssp245_present_typical,paperb_p90_tail_asym_relax,Learned-p90 policy,diagnostic_reference,Fixed-setpoint reference,0,0
kolkata_ssp585_future_extreme,paperb_p90_tail_asym_relax,Learned-p90 policy,diagnostic_reference,Fixed-setpoint reference,0,0
kolkata_ssp585_present_typical,paperb_p90_tail_asym_relax,Learned-p90 policy,diagnostic_reference,Fixed-setpoint reference,0,0
phoenix_ssp245_future_extreme,paperb_p90_tail_asym_relax,Learned-p90 policy,diagnostic_reference,Fixed-setpoint reference,0,0
phoenix_ssp245_present_typical,paperb_p90_tail_asym_relax,Learned-p90 policy,diagnostic_reference,Fixed-setpoint reference,0,0
phoenix_ssp585_future_extreme,paperb_p90_tail_asym_relax,Learned-p90 policy,diagnostic_reference,Fixed-setpoint reference,0,0
phoenix_ssp585_present_typical,paperb_p90_tail_asym_relax,Learned-p90 policy,diagnostic_reference,Fixed-setpoint reference,0,0
ahmedabad_ssp245_future_extreme,paperb_p90_tail_asym_relax,Learned-p90 policy,paperb_pmv_relax,Building-mean PMV policy,0,0
ahmedabad_ssp245_present_typical,paperb_p90_tail_asym_relax,Learned-p90 policy,paperb_pmv_relax,Building-mean PMV policy,0,0
ahmedabad_ssp585_future_extreme,paperb_p90_tail_asym_relax,Learned-p90 policy,paperb_pmv_relax,Building-mean PMV policy,0,0
ahmedabad_ssp585_present_typical,paperb_p90_tail_asym_relax,Learned-p90 policy,paperb_pmv_relax,Building-mean PMV policy,0,0
beijing_ssp245_future_extreme,paperb_p90_tail_asym_relax,Learned-p90 policy,paperb_pmv_relax,Building-mean PMV policy,6.66234307255,0.197046343341
beijing_ssp245_present_typical,paperb_p90_tail_asym_relax,Learned-p90 policy,paperb_pmv_relax,Building-mean PMV policy,35.8720610002,9.71930246054
beijing_ssp585_future_extreme,paperb_p90_tail_asym_relax,Learned-p90 policy,paperb_pmv_relax,Building-mean PMV policy,8.88644608471,0
beijing_ssp585_present_typical,paperb_p90_tail_asym_relax,Learned-p90 policy,paperb_pmv_relax,Building-mean PMV policy,43.1893849422,11.3389777713
guangzhou_ssp245_future_extreme,paperb_p90_tail_asym_relax,Learned-p90 policy,paperb_pmv_relax,Building-mean PMV policy,0,0
guangzhou_ssp245_present_typical,paperb_p90_tail_asym_relax,Learned-p90 policy,paperb_pmv_relax,Building-mean PMV policy,0,0
guangzhou_ssp585_future_extreme,paperb_p90_tail_asym_relax,Learned-p90 policy,paperb_pmv_relax,Building-mean PMV policy,0,0
guangzhou_ssp585_present_typical,paperb_p90_tail_asym_relax,Learned-p90 policy,paperb_pmv_relax,Building-mean PMV policy,0,0
houston_ssp245_future_extreme,paperb_p90_tail_asym_relax,Learned-p90 policy,paperb_pmv_relax,Building-mean PMV policy,0,0
houston_ssp245_present_typical,paperb_p90_tail_asym_relax,Learned-p90 policy,paperb_pmv_relax,Building-mean PMV policy,0,0
houston_ssp585_future_extreme,paperb_p90_tail_asym_relax,Learned-p90 policy,paperb_pmv_relax,Building-mean PMV policy,0,0
