scaled_run_id,anchor_id,city,scenario,selector_role,weather_year,trace_path,trace_sha256_recorded,trace_sha256_computed,cell_result_path,cell_result_sha256,trace_rows,occupied_rows,zone_count,max_component_tail_identity_error,warm_branch_reconstruction_exact
SCALED-96-004,ahmedabad_ssp245_present_typical,Ahmedabad,ssp245,present_typical,2025,06_runs/scaled/20260803_routeS96_v2_envscoped/cells/SCALED-96-004/traces/ahmedabad_ssp245_baseline_2020s_typical_2025_met0p854_act93p2W_paperb_p90_tail_asym_relax.parquet,2eab44d0f3d5f3b2ae06d5014723c84940bbb80f8939eea75c76ba8f9f673d4f,2eab44d0f3d5f3b2ae06d5014723c84940bbb80f8939eea75c76ba8f9f673d4f,06_runs/scaled/20260803_routeS96_v2_envscoped/cells/SCALED-96-004/CELL_RESULT.20260803T090815Z_d578fbfc.json,ab38919bc3b9af663de2f53ccbec7ea836d7aa2b93209cace99a3c25e996b32f,35040,16704,15,2.77555756156289e-17,True
SCALED-96-008,ahmedabad_ssp245_future_extreme,Ahmedabad,ssp245,future_extreme,2081,06_runs/scaled/20260803_routeS96_v2_envscoped/cells/SCALED-96-008/traces/ahmedabad_ssp245_late_2080s_heatwave_extreme_2081_met0p854_act93p2W_paperb_p90_tail_asym_relax.parquet,c93a9611980f473a378eab1369a4254b638388f027e7b25d53f3b48318ab8766,c93a9611980f473a378eab1369a4254b638388f027e7b25d53f3b48318ab8766,06_runs/scaled/20260803_routeS96_v2_envscoped/cells/SCALED-96-008/CELL_RESULT.20260803T090815Z_d578fbfc.json,7cd3dfb8e63119e99191ba40264f885e6ddf0b788f7254678844c6932e3df233,35040,16704,15,2.77555756156289e-17,True
SCALED-96-012,ahmedabad_ssp585_present_typical,Ahmedabad,ssp585,present_typical,2025,06_runs/scaled/20260803_routeS96_v2_envscoped/cells/SCALED-96-012/traces/ahmedabad_ssp585_baseline_2020s_typical_2025_met0p854_act93p2W_paperb_p90_tail_asym_relax.parquet,16e221cbfda6f1e698307b81ad744c6e1818bd46ad15ed0dce666a19bf68e469,16e221cbfda6f1e698307b81ad744c6e1818bd46ad15ed0dce666a19bf68e469,06_runs/scaled/20260803_routeS96_v2_envscoped/cells/SCALED-96-012/CELL_RESULT.20260803T090815Z_d578fbfc.json,bd52664ebcec98137d0fb0a0e0e7c757edb338ebf0c7ef1642fb02e84bc66876,35040,16704,15,2.77555756156289e-17,True
SCALED-96-016,ahmedabad_ssp585_future_extreme,Ahmedabad,ssp585,future_extreme,2088,06_runs/scaled/20260803_routeS96_v2_envscoped/cells/SCALED-96-016/traces/ahmedabad_ssp585_late_2080s_heatwave_extreme_2088_met0p854_act93p2W_paperb_p90_tail_asym_relax.parquet,05dbba8a4a0bb80ceecfc237b9ce68a4091f20617b50b8bc78f8e615d44b7ab0,05dbba8a4a0bb80ceecfc237b9ce68a4091f20617b50b8bc78f8e615d44b7ab0,06_runs/scaled/20260803_routeS96_v2_envscoped/cells/SCALED-96-016/CELL_RESULT.20260803T090815Z_d578fbfc.json,2be8fa5527d1d128a6d82af6c0065fb264ca329f47bf085b34e8d95f70c24652,35040,16704,15,2.77555756156289e-17,True
SCALED-96-020,beijing_ssp245_present_typical,Beijing,ssp245,present_typical,2026,06_runs/scaled/20260803_routeS96_v2_envscoped/cells/SCALED-96-020/traces/beijing_ssp245_baseline_2020s_typical_2026_met0p854_act93p2W_paperb_p90_tail_asym_relax.parquet,0a449a436e2591c2084715c379175842af83c48cff3ab3bbe1dd7c9a11e341d0,0a449a436e2591c2084715c379175842af83c48cff3ab3bbe1dd7c9a11e341d0,06_runs/scaled/20260803_routeS96_v2_envscoped/cells/SCALED-96-020/CELL_RESULT.20260803T090815Z_d578fbfc.json,a813b0e0d1114074991a105f4a1fa638d81652b93c7e480a07a3c5a29948d434,35040,16704,15,2.77555756156289e-17,True
SCALED-96-024,beijing_ssp245_future_extreme,Beijing,ssp245,future_extreme,2084,06_runs/scaled/20260803_routeS96_v2_envscoped/cells/SCALED-96-024/traces/beijing_ssp245_late_2080s_heatwave_extreme_2084_met0p854_act93p2W_paperb_p90_tail_asym_relax.parquet,416a6c061c8f822d2dcb339d3ec6febdba48f98186e70d630ce74af8eb9904c1,416a6c061c8f822d2dcb339d3ec6febdba48f98186e70d630ce74af8eb9904c1,06_runs/scaled/20260803_routeS96_v2_envscoped/cells/SCALED-96-024/CELL_RESULT.20260803T090815Z_d578fbfc.json,8a376ab144d7a651d63caf3c4e7d0b674c59dff32e007d8a9dd7cfae6885a2e5,35040,16704,15,2.77555756156289e-17,True
SCALED-96-028,beijing_ssp585_present_typical,Beijing,ssp585,present_typical,2026,06_runs/scaled/20260803_routeS96_v2_envscoped/cells/SCALED-96-028/traces/beijing_ssp585_baseline_2020s_typical_2026_met0p854_act93p2W_paperb_p90_tail_asym_relax.parquet,ef07957cff2a205f2a1d12f10d7c9c4f7b3f2a4ee22658e6ac06a4321012c795,ef07957cff2a205f2a1d12f10d7c9c4f7b3f2a4ee22658e6ac06a4321012c795,06_runs/scaled/20260803_routeS96_v2_envscoped/cells/SCALED-96-028/CELL_RESULT.20260803T090815Z_d578fbfc.json,65a797660ed7811a9edd0fbefd6521c2d2b850522a2b44029d213101862ba545,35040,16704,15,2.77555756156289e-17,True
SCALED-96-032,beijing_ssp585_future_extreme,Beijing,ssp585,future_extreme,2089,06_runs/scaled/20260803_routeS96_v2_envscoped/cells/SCALED-96-032/traces/beijing_ssp585_late_2080s_heatwave_extreme_2089_met0p854_act93p2W_paperb_p90_tail_asym_relax.parquet,919c982e95d7dd5ee220df6b6f24ac4663a94a3f1fcb56c197115b787becdede,919c982e95d7dd5ee220df6b6f24ac4663a94a3f1fcb56c197115b787becdede,06_runs/scaled/20260803_routeS96_v2_envscoped/cells/SCALED-96-032/CELL_RESULT.20260803T090815Z_d578fbfc.json,56c413161eff13e3358cbe621835ba3416061cb8d83f787949c67433639ba52f,35040,16704,15,2.77555756156289e-17,True
SCALED-96-036,guangzhou_ssp245_present_typical,Guangzhou,ssp245,present_typical,2025,06_runs/scaled/20260803_routeS96_v2_envscoped/cells/SCALED-96-036/traces/guangzhou_ssp245_baseline_2020s_typical_2025_met0p854_act93p2W_paperb_p90_tail_asym_relax.parquet,0a5ca040dd70ef0a62d3114a3d7e695b2fa0968455f3f175d414100c46d9efd1,0a5ca040dd70ef0a62d3114a3d7e695b2fa0968455f3f175d414100c46d9efd1,06_runs/scaled/20260803_routeS96_v2_envscoped/cells/SCALED-96-036/CELL_RESULT.20260803T090815Z_d578fbfc.json,0c9efde5c9bb0dc3b31520d9522b4725e92c9d6cdd12c4d31efbc4c22513de24,35040,16704,15,2.77555756156289e-17,True
SCALED-96-040,guangzhou_ssp245_future_extreme,Guangzhou,ssp245,future_extreme,2088,06_runs/scaled/20260803_routeS96_v2_envscoped/cells/SCALED-96-040/traces/guangzhou_ssp245_late_2080s_heatwave_extreme_2088_met0p854_act93p2W_paperb_p90_tail_asym_relax.parquet,ad2600b44e92b19180cf5b07b84019fc9d810fd4d75d19bc07d375a73e958f6d,ad2600b44e92b19180cf5b07b84019fc9d810fd4d75d19bc07d375a73e958f6d,06_runs/scaled/20260803_routeS96_v2_envscoped/cells/SCALED-96-040/CELL_RESULT.20260803T090815Z_d578fbfc.json,39b8be134a89740ddcddc4fa097ed70e0c29166828b50b0edc15cae386692db4,35040,16704,15,2.77555756156289e-17,True
SCALED-96-044,guangzhou_ssp585_present_typical,Guangzhou,ssp585,present_typical,2025,06_runs/scaled/20260803_routeS96_v2_envscoped/cells/SCALED-96-044/traces/guangzhou_ssp585_baseline_2020s_typical_2025_met0p854_act93p2W_paperb_p90_tail_asym_relax.parquet,c85c14b647772709f987f8daa9aa759ef0e751998f9345083f618c380cb7ce76,c85c14b647772709f987f8daa9aa759ef0e751998f9345083f618c380cb7ce76,06_runs/scaled/20260803_routeS96_v2_envscoped/cells/SCALED-96-044/CELL_RESULT.20260803T090815Z_d578fbfc.json,cb2e3013c96583694521f65f3284445f1bc68e60fec18a3bf3037313d1c53ed7,35040,16704,15,2.77555756156289e-17,True
SCALED-96-048,guangzhou_ssp585_future_extreme,Guangzhou,ssp585,future_extreme,2086,06_runs/scaled/20260803_routeS96_v2_envscoped/cells/SCALED-96-048/traces/guangzhou_ssp585_late_2080s_heatwave_extreme_2086_met0p854_act93p2W_paperb_p90_tail_asym_relax.parquet,5c2cf63cc11f43ce8912a3e43730b060c4f481269b4f984fa1cf790485c08f34,5c2cf63cc11f43ce8912a3e43730b060c4f481269b4f984fa1cf790485c08f34,06_runs/scaled/20260803_routeS96_v2_envscoped/cells/SCALED-96-048/CELL_RESULT.20260803T090815Z_d578fbfc.json,e76bcc133502f2c4340100f5d39d50fb1a29baa9884d6cbaf21334f52293ae10,35040,16704,15,2.77555756156289e-17,True
SCALED-96-052,houston_ssp245_present_typical,Houston,ssp245,present_typical,2027,06_runs/scaled/20260803_routeS96_v2_envscoped/cells/SCALED-96-052/traces/houston_ssp245_baseline_2020s_typical_2027_met0p854_act93p2W_paperb_p90_tail_asym_relax.parquet,908a9db336b756441d7e584dbb803ff32c9d0de0e6d7a5a36c2d0780deb1379d,908a9db336b756441d7e584dbb803ff32c9d0de0e6d7a5a36c2d0780deb1379d,06_runs/scaled/20260803_routeS96_v2_envscoped/cells/SCALED-96-052/CELL_RESULT.20260803T090815Z_d578fbfc.json,67ff22818869f11dc347baea73165df3416b31a907c8ea0e78827b84b2ae7c1e,35040,16704,15,2.77555756156289e-17,True
SCALED-96-056,houston_ssp245_future_extreme,Houston,ssp245,future_extreme,2081,06_runs/scaled/20260803_routeS96_v2_envscoped/cells/SCALED-96-056/traces/houston_ssp245_late_2080s_heatwave_extreme_2081_met0p854_act93p2W_paperb_p90_tail_asym_relax.parquet,1c26ac9814f9bace5c97920ddbdcb5de6f5be35b91fef91e8a6473d9ad1c80d4,1c26ac9814f9bace5c97920ddbdcb5de6f5be35b91fef91e8a6473d9ad1c80d4,06_runs/scaled/20260803_routeS96_v2_envscoped/cells/SCALED-96-056/CELL_RESULT.20260803T090815Z_d578fbfc.json,f4e1f4487e4f9d02f24db333db2230926abd250627d3709bc17111267066e493,35040,16704,15,2.77555756156289e-17,True
SCALED-96-060,houston_ssp585_present_typical,Houston,ssp585,present_typical,2025,06_runs/scaled/20260803_routeS96_v2_envscoped/cells/SCALED-96-060/traces/houston_ssp585_baseline_2020s_typical_2025_met0p854_act93p2W_paperb_p90_tail_asym_relax.parquet,ccfb54acc333223b5bd3525412d3c25fb4a1b0c6348ba6b539fc8fa3746ad0be,ccfb54acc333223b5bd3525412d3c25fb4a1b0c6348ba6b539fc8fa3746ad0be,06_runs/scaled/20260803_routeS96_v2_envscoped/cells/SCALED-96-060/CELL_RESULT.20260803T090815Z_d578fbfc.json,68524e6d149ec05d3c74b5779581ab85f2b166a13d010b93e80e11e467d365ea,35040,16704,15,2.77555756156289e-17,True
SCALED-96-064,houston_ssp585_future_extreme,Houston,ssp585,future_extreme,2086,06_runs/scaled/20260803_routeS96_v2_envscoped/cells/SCALED-96-064/traces/houston_ssp585_late_2080s_heatwave_extreme_2086_met0p854_act93p2W_paperb_p90_tail_asym_relax.parquet,bb2c9d84541f13ecfb5d6249b94172799288a6178f741fb2c3c6118c9bb97427,bb2c9d84541f13ecfb5d6249b94172799288a6178f741fb2c3c6118c9bb97427,06_runs/scaled/20260803_routeS96_v2_envscoped/cells/SCALED-96-064/CELL_RESULT.20260803T090815Z_d578fbfc.json,4bf8ef7ef75d22b9f6979f05ab938964a952a3fbaa09b83f9786f74ef87826ab,35040,16704,15,2.77555756156289e-17,True
SCALED-96-068,kolkata_ssp245_present_typical,Kolkata,ssp245,present_typical,2026,06_runs/scaled/20260803_routeS96_v2_envscoped/cells/SCALED-96-068/traces/kolkata_ssp245_baseline_2020s_typical_2026_met0p854_act93p2W_paperb_p90_tail_asym_relax.parquet,2d6ec91ed68908617673f45d63294e38929fa107b87f8a70abbc42747f0f3d5d,2d6ec91ed68908617673f45d63294e38929fa107b87f8a70abbc42747f0f3d5d,06_runs/scaled/20260803_routeS96_v2_envscoped/cells/SCALED-96-068/CELL_RESULT.20260803T090815Z_d578fbfc.json,9aedb228ebd4f31a384fc39e188cd1a01219fcb32ff2350c660a5b8586918cf5,35040,16704,15,2.77555756156289e-17,True
