scaled_run_id,anchor_id,city,scenario,selector_role,weather_year,occupied_rows,zone_count,unique_selected_zones,modal_selected_zone,modal_selected_count,modal_selected_share,switch_opportunities,selected_zone_switches,selected_zone_switch_rate,persistence_episode_count,persistence_mean_hours,persistence_median_hours,persistence_p90_hours,persistence_max_hours,warmest_concordant_count,warmest_concordant_share,top3_warmest_count,top3_warmest_share,selected_temperature_rank_mean,selected_temperature_rank_median,selected_to_warmest_temperature_gap_mean_c,selected_to_warmest_temperature_gap_p90_c,worst_cumulative_dh28_zone,worst_cumulative_dh28_c_h,worst_cumulative_dh28_margin_c_h,worst_cumulative_zone_concordant_count,worst_cumulative_zone_concordant_share,warm_protection_rows,warm_protection_share,warm_protection_warmest_concordant_count,warm_protection_warmest_concordant_share,warm_protection_top3_warmest_count,warm_protection_top3_warmest_share,warm_protection_worst_cumulative_zone_concordant_count,warm_protection_worst_cumulative_zone_concordant_share,selected_p_tail_rank1_count,selected_p_tail_rank2_count,selected_p_tail_rank3_count,selector_target_max_abs_error
SCALED-96-004,ahmedabad_ssp245_present_typical,Ahmedabad,ssp245,present_typical,2025,16704,15,15,Perimeter_top_ZN_1,2320,0.138888888888889,16443,10212,0.621054552089035,10473,0.398739616155829,0.25,0.75,6.25,2219,0.132842432950192,7227,0.432650862068966,6.14391762452107,5,0.543504295544608,1.27068230163777,Perimeter_bot_ZN_1,1859.16515105936,63.2757141226548,1798,0.107638888888889,1071,0.0641163793103448,351,0.327731092436975,1059,0.988795518207283,344,0.321195144724557,3791,12656,257,0.173220740800524
SCALED-96-008,ahmedabad_ssp245_future_extreme,Ahmedabad,ssp245,future_extreme,2081,16704,15,15,Perimeter_top_ZN_1,2167,0.129729406130268,16443,10223,0.621723529769507,10484,0.398321251430752,0.25,0.75,5.25,2115,0.126616379310345,7330,0.438817049808429,6.26257183908046,4,0.566784247349817,1.30172175770012,Perimeter_bot_ZN_1,2349.3441184715,41.6919641783766,1922,0.115062260536398,1183,0.0708213601532567,348,0.294167371090448,1162,0.982248520710059,392,0.331360946745562,3554,12833,317,0.153914753983506
SCALED-96-012,ahmedabad_ssp585_present_typical,Ahmedabad,ssp585,present_typical,2025,16704,15,15,Perimeter_top_ZN_1,2176,0.130268199233716,16443,9904,0.602323177035821,10165,0.410821446138711,0.25,0.75,5.25,1888,0.113026819923372,6876,0.411637931034483,6.38655411877395,5,0.567124288912729,1.30192942966177,Perimeter_mid_ZN_1,2023.47411269025,32.3249570763685,1675,0.100275383141762,953,0.0570522030651341,290,0.304302203567681,868,0.910807974816369,256,0.268625393494229,3866,12537,301,0.148875739342245
SCALED-96-016,ahmedabad_ssp585_future_extreme,Ahmedabad,ssp585,future_extreme,2088,16704,15,15,Perimeter_top_ZN_1,2307,0.138110632183908,16443,10428,0.634190841087393,10689,0.39068200954252,0.25,0.75,4.5,2452,0.146791187739464,8090,0.484315134099617,5.5429837164751,4,0.54774631098737,1.33497396468523,Perimeter_bot_ZN_1,3392.25304301309,204.126881159621,1949,0.116678639846743,1691,0.101233237547893,418,0.247191011235955,1460,0.863394441159077,344,0.203429923122413,3401,13065,238,0.179876671877714
SCALED-96-020,beijing_ssp245_present_typical,Beijing,ssp245,present_typical,2026,16704,15,15,Core_mid,3126,0.187140804597701,16443,8868,0.539317642765919,9129,0.457443312520539,0.25,0.75,5,2498,0.149545019157088,8998,0.53867337164751,4.8451867816092,3,0.734354287959512,1.58702209729196,Perimeter_mid_ZN_3,28.935104659879,5.7623188842473,269,0.0161039272030651,5306,0.31764846743295,1089,0.205239351677346,4064,0.765925367508481,13,0.0024500565397663,3309,13309,86,0.155250116778851
SCALED-96-024,beijing_ssp245_future_extreme,Beijing,ssp245,future_extreme,2084,16704,15,15,Core_mid,3146,0.188338122605364,16443,9292,0.565103691540473,9553,0.43714016539307,0.25,0.75,5,2265,0.135596264367816,8880,0.531609195402299,4.88008860153257,3,0.636911918326362,1.35359704872204,Perimeter_mid_ZN_3,863.723729597618,60.7182229547441,521,0.0311901340996169,6177,0.369791666666667,985,0.159462522259997,4425,0.716367168528412,44,0.00712319896389833,3208,13386,110,0.115989999132308
SCALED-96-028,beijing_ssp585_present_typical,Beijing,ssp585,present_typical,2026,16704,15,15,Core_mid,3161,0.189236111111111,16443,8720,0.530316852155933,8981,0.464981627881082,0.25,1,6.25,2093,0.125299329501916,8285,0.49598898467433,5.29202586206897,4,0.787494455976099,1.62601498898386,Perimeter_top_ZN_4,8.06275344582331,0.391482364525003,903,0.054058908045977,5616,0.336206896551724,971,0.17289886039886,4268,0.75997150997151,291,0.0518162393162393,3590,13008,106,0.215452584042099
SCALED-96-032,beijing_ssp585_future_extreme,Beijing,ssp585,future_extreme,2089,16704,15,15,Core_mid,3306,0.197916666666667,16443,9201,0.559569421638387,9462,0.441344324667089,0.25,0.75,5.5,2260,0.1352969348659,8774,0.525263409961686,5.12332375478927,3,0.649420964594136,1.32800980240144,Perimeter_mid_ZN_3,870.160951597823,93.2596155121979,692,0.0414272030651341,5278,0.315972222222222,860,0.162940507768094,3915,0.741758241758242,60,0.0113679424024252,3122,13459,123,0.110189119911105
SCALED-96-036,guangzhou_ssp245_present_typical,Guangzhou,ssp245,present_typical,2025,16704,15,15,Core_bottom,2411,0.144336685823755,16443,10253,0.623548014352612,10514,0.397184706106144,0.25,0.75,7.75,2424,0.145114942528736,6483,0.388110632183908,6.46617576628353,5,0.439297766694156,1.11397546310798,Perimeter_bot_ZN_1,747.736960830808,4.18953107850132,1546,0.0925526819923372,157,0.00939894636015326,28,0.178343949044586,118,0.751592356687898,23,0.146496815286624,4210,12429,65,0.0662599953084975
SCALED-96-040,guangzhou_ssp245_future_extreme,Guangzhou,ssp245,future_extreme,2088,16704,15,15,Perimeter_top_ZN_1,1951,0.11679837164751,16443,10076,0.612783555312291,10337,0.403985682499758,0.25,0.75,6.75,2517,0.150682471264368,7520,0.450191570881226,5.91648706896552,4,0.468220667259836,1.15141620465552,Perimeter_mid_ZN_1,1678.09432166343,106.64580992946,1643,0.0983596743295019,530,0.0317289272030651,85,0.160377358490566,337,0.635849056603774,53,0.1,3976,12621,107,0.0751209364850413
