scope,scaled_run_id,anchor_id,city,scenario,selector_role,zone_order,zone,selected_count,selected_denominator,selected_share,warm_protection_selected_count,warm_protection_denominator,warm_protection_selected_share,is_scenario_worst_cumulative_dh28_zone,worst_cumulative_dh28_scenario_count
scenario,SCALED-96-004,ahmedabad_ssp245_present_typical,Ahmedabad,ssp245,present_typical,1,Core_bottom,2075,16704,0.124221743295019,0,1071,0,False,
scenario,SCALED-96-004,ahmedabad_ssp245_present_typical,Ahmedabad,ssp245,present_typical,2,Core_mid,1438,16704,0.0860871647509579,0,1071,0,False,
scenario,SCALED-96-004,ahmedabad_ssp245_present_typical,Ahmedabad,ssp245,present_typical,3,Core_top,1013,16704,0.0606441570881226,0,1071,0,False,
scenario,SCALED-96-004,ahmedabad_ssp245_present_typical,Ahmedabad,ssp245,present_typical,4,Perimeter_top_ZN_3,1154,16704,0.0690852490421456,0,1071,0,False,
scenario,SCALED-96-004,ahmedabad_ssp245_present_typical,Ahmedabad,ssp245,present_typical,5,Perimeter_top_ZN_2,1031,16704,0.0617217432950192,21,1071,0.0196078431372549,False,
scenario,SCALED-96-004,ahmedabad_ssp245_present_typical,Ahmedabad,ssp245,present_typical,6,Perimeter_top_ZN_1,2320,16704,0.138888888888889,359,1071,0.335200746965453,False,
scenario,SCALED-96-004,ahmedabad_ssp245_present_typical,Ahmedabad,ssp245,present_typical,7,Perimeter_top_ZN_4,811,16704,0.048551245210728,0,1071,0,False,
scenario,SCALED-96-004,ahmedabad_ssp245_present_typical,Ahmedabad,ssp245,present_typical,8,Perimeter_bot_ZN_3,605,16704,0.0362188697318008,0,1071,0,False,
scenario,SCALED-96-004,ahmedabad_ssp245_present_typical,Ahmedabad,ssp245,present_typical,9,Perimeter_bot_ZN_2,725,16704,0.0434027777777778,7,1071,0.0065359477124183,False,
scenario,SCALED-96-004,ahmedabad_ssp245_present_typical,Ahmedabad,ssp245,present_typical,10,Perimeter_bot_ZN_1,1798,16704,0.107638888888889,344,1071,0.321195144724557,True,
scenario,SCALED-96-004,ahmedabad_ssp245_present_typical,Ahmedabad,ssp245,present_typical,11,Perimeter_bot_ZN_4,483,16704,0.0289152298850575,0,1071,0,False,
scenario,SCALED-96-004,ahmedabad_ssp245_present_typical,Ahmedabad,ssp245,present_typical,12,Perimeter_mid_ZN_3,558,16704,0.0334051724137931,0,1071,0,False,
scenario,SCALED-96-004,ahmedabad_ssp245_present_typical,Ahmedabad,ssp245,present_typical,13,Perimeter_mid_ZN_2,515,16704,0.030830938697318,11,1071,0.0102707749766573,False,
scenario,SCALED-96-004,ahmedabad_ssp245_present_typical,Ahmedabad,ssp245,present_typical,14,Perimeter_mid_ZN_1,1752,16704,0.104885057471264,327,1071,0.305322128851541,False,
scenario,SCALED-96-004,ahmedabad_ssp245_present_typical,Ahmedabad,ssp245,present_typical,15,Perimeter_mid_ZN_4,426,16704,0.0255028735632184,2,1071,0.00186741363211951,False,
scenario,SCALED-96-008,ahmedabad_ssp245_future_extreme,Ahmedabad,ssp245,future_extreme,1,Core_bottom,1690,16704,0.10117337164751,0,1183,0,False,
scenario,SCALED-96-008,ahmedabad_ssp245_future_extreme,Ahmedabad,ssp245,future_extreme,2,Core_mid,1514,16704,0.0906369731800766,0,1183,0,False,
scenario,SCALED-96-008,ahmedabad_ssp245_future_extreme,Ahmedabad,ssp245,future_extreme,3,Core_top,997,16704,0.0596863026819923,4,1183,0.00338123415046492,False,
