experiment,cell_id,stress_grid_class,transition_kind,learned_p90_value,alternative_value,count
M4,REV01-L048-001,present_typical,request_branch,relax,relax,15629
M4,REV01-L048-001,present_typical,request_branch,risk_hold,relax,4
M4,REV01-L048-001,present_typical,request_branch,warm_protection,relax,1057
M4,REV01-L048-001,present_typical,request_branch,warm_protection,warm_protection,14
M4,REV01-L048-001,present_typical,request_outcome,applied,applied,1044
M4,REV01-L048-001,present_typical,request_outcome,applied,bound_saturated,596
M4,REV01-L048-001,present_typical,request_outcome,applied,dwell_blocked,2
M4,REV01-L048-001,present_typical,request_outcome,bound_saturated,applied,5
M4,REV01-L048-001,present_typical,request_outcome,bound_saturated,bound_saturated,14286
M4,REV01-L048-001,present_typical,request_outcome,bound_saturated,dwell_blocked,3
M4,REV01-L048-001,present_typical,request_outcome,dwell_blocked,applied,3
M4,REV01-L048-001,present_typical,request_outcome,dwell_blocked,bound_saturated,756
M4,REV01-L048-001,present_typical,request_outcome,dwell_blocked,dwell_blocked,5
M4,REV01-L048-001,present_typical,request_outcome,hold,bound_saturated,4
M4,REV01-L048-002,present_typical,request_branch,relax,relax,14493
M4,REV01-L048-002,present_typical,request_branch,relax,warm_protection,137
M4,REV01-L048-002,present_typical,request_branch,risk_hold,relax,3
M4,REV01-L048-002,present_typical,request_branch,warm_protection,relax,1254
M4,REV01-L048-002,present_typical,request_branch,warm_protection,warm_protection,817
M4,REV01-L048-002,present_typical,request_outcome,applied,applied,1204
M4,REV01-L048-002,present_typical,request_outcome,applied,bound_saturated,605
M4,REV01-L048-002,present_typical,request_outcome,applied,dwell_blocked,228
M4,REV01-L048-002,present_typical,request_outcome,bound_saturated,applied,26
M4,REV01-L048-002,present_typical,request_outcome,bound_saturated,bound_saturated,13120
M4,REV01-L048-002,present_typical,request_outcome,bound_saturated,dwell_blocked,43
M4,REV01-L048-002,present_typical,request_outcome,dwell_blocked,applied,261
M4,REV01-L048-002,present_typical,request_outcome,dwell_blocked,bound_saturated,766
M4,REV01-L048-002,present_typical,request_outcome,dwell_blocked,dwell_blocked,448
M4,REV01-L048-002,present_typical,request_outcome,hold,bound_saturated,3
M4,REV01-L048-003,present_typical,request_branch,relax,relax,16505
M4,REV01-L048-003,present_typical,request_branch,risk_hold,relax,2
M4,REV01-L048-003,present_typical,request_branch,warm_protection,relax,197
M4,REV01-L048-003,present_typical,request_outcome,applied,applied,1041
M4,REV01-L048-003,present_typical,request_outcome,applied,bound_saturated,127
M4,REV01-L048-003,present_typical,request_outcome,bound_saturated,bound_saturated,15399
M4,REV01-L048-003,present_typical,request_outcome,dwell_blocked,applied,3
M4,REV01-L048-003,present_typical,request_outcome,dwell_blocked,bound_saturated,132
M4,REV01-L048-003,present_typical,request_outcome,hold,bound_saturated,2
M4,REV01-L048-004,present_typical,request_branch,relax,relax,16319
M4,REV01-L048-004,present_typical,request_branch,risk_hold,relax,3
M4,REV01-L048-004,present_typical,request_branch,warm_protection,relax,382
M4,REV01-L048-004,present_typical,request_outcome,applied,applied,1039
M4,REV01-L048-004,present_typical,request_outcome,applied,bound_saturated,229
M4,REV01-L048-004,present_typical,request_outcome,bound_saturated,bound_saturated,15164
M4,REV01-L048-004,present_typical,request_outcome,dwell_blocked,applied,5
M4,REV01-L048-004,present_typical,request_outcome,dwell_blocked,bound_saturated,264
M4,REV01-L048-004,present_typical,request_outcome,hold,bound_saturated,3
M4,REV01-L048-005,present_typical,request_branch,relax,relax,15566
M4,REV01-L048-005,present_typical,request_branch,relax,warm_protection,26
M4,REV01-L048-005,present_typical,request_branch,risk_hold,relax,10
M4,REV01-L048-005,present_typical,request_branch,warm_protection,relax,864
M4,REV01-L048-005,present_typical,request_branch,warm_protection,warm_protection,238
M4,REV01-L048-005,present_typical,request_outcome,applied,applied,1094
M4,REV01-L048-005,present_typical,request_outcome,applied,bound_saturated,473
M4,REV01-L048-005,present_typical,request_outcome,applied,dwell_blocked,35
M4,REV01-L048-005,present_typical,request_outcome,bound_saturated,applied,20
M4,REV01-L048-005,present_typical,request_outcome,bound_saturated,bound_saturated,14275
M4,REV01-L048-005,present_typical,request_outcome,bound_saturated,dwell_blocked,42
M4,REV01-L048-005,present_typical,request_outcome,dwell_blocked,applied,80
M4,REV01-L048-005,present_typical,request_outcome,dwell_blocked,bound_saturated,563
M4,REV01-L048-005,present_typical,request_outcome,dwell_blocked,dwell_blocked,112
M4,REV01-L048-005,present_typical,request_outcome,hold,bound_saturated,10
M4,REV01-L048-006,present_typical,request_branch,relax,relax,16275
M4,REV01-L048-006,present_typical,request_branch,relax,warm_protection,2
M4,REV01-L048-006,present_typical,request_branch,warm_protection,relax,419
M4,REV01-L048-006,present_typical,request_branch,warm_protection,warm_protection,8
M4,REV01-L048-006,present_typical,request_outcome,applied,applied,1025
M4,REV01-L048-006,present_typical,request_outcome,applied,bound_saturated,255
M4,REV01-L048-006,present_typical,request_outcome,applied,dwell_blocked,1
M4,REV01-L048-006,present_typical,request_outcome,bound_saturated,bound_saturated,15117
M4,REV01-L048-006,present_typical,request_outcome,dwell_blocked,applied,27
M4,REV01-L048-006,present_typical,request_outcome,dwell_blocked,bound_saturated,274
M4,REV01-L048-006,present_typical,request_outcome,dwell_blocked,dwell_blocked,5
M4,REV01-L048-007,present_typical,request_branch,relax,relax,14689
M4,REV01-L048-007,present_typical,request_branch,relax,warm_protection,104
M4,REV01-L048-007,present_typical,request_branch,risk_hold,relax,37
M4,REV01-L048-007,present_typical,request_branch,warm_protection,relax,1402
M4,REV01-L048-007,present_typical,request_branch,warm_protection,warm_protection,472
M4,REV01-L048-007,present_typical,request_outcome,applied,applied,1167
M4,REV01-L048-007,present_typical,request_outcome,applied,bound_saturated,722
M4,REV01-L048-007,present_typical,request_outcome,applied,dwell_blocked,133
M4,REV01-L048-007,present_typical,request_outcome,bound_saturated,applied,21
M4,REV01-L048-007,present_typical,request_outcome,bound_saturated,bound_saturated,13248
M4,REV01-L048-007,present_typical,request_outcome,bound_saturated,dwell_blocked,31
M4,REV01-L048-007,present_typical,request_outcome,dwell_blocked,applied,172
M4,REV01-L048-007,present_typical,request_outcome,dwell_blocked,bound_saturated,919
M4,REV01-L048-007,present_typical,request_outcome,dwell_blocked,dwell_blocked,254
M4,REV01-L048-007,present_typical,request_outcome,hold,bound_saturated,37
M4,REV01-L048-008,present_typical,request_branch,relax,relax,16543
M4,REV01-L048-008,present_typical,request_branch,risk_hold,relax,4
M4,REV01-L048-008,present_typical,request_branch,warm_protection,relax,156
M4,REV01-L048-008,present_typical,request_branch,warm_protection,warm_protection,1
M4,REV01-L048-008,present_typical,request_outcome,applied,applied,1041
M4,REV01-L048-008,present_typical,request_outcome,applied,bound_saturated,103
M4,REV01-L048-008,present_typical,request_outcome,bound_saturated,bound_saturated,15449
M4,REV01-L048-008,present_typical,request_outcome,dwell_blocked,applied,5
