experiment,variant_id,cell_id,accepted_comparator_cell_id,anchor_id,stress_grid_class,city,scenario,alternative,contrast_scope,occupied_decisions,branch_changed_count,branch_changed_pct,outcome_changed_count,outcome_changed_pct,learned_p90_minus_alternative_total_delivered_site_electricity_plus_facility_gas_kwh,learned_p90_minus_alternative_occupied_worst_zone_degree_hours_above_26c,learned_p90_minus_alternative_occupied_worst_zone_degree_hours_above_28c,learned_p90_minus_alternative_occupied_worst_zone_degree_hours_above_30c,learned_p90_minus_alternative_occupied_worst_zone_degree_hours_below_18c,learned_p90_minus_alternative_occupied_worst_zone_degree_hours_below_16c,learned_p90_minus_alternative_occupied_mean_heating_setpoint_c,learned_p90_minus_alternative_occupied_mean_cooling_setpoint_c,learned_p90_minus_alternative_energy_pct_of_learned_p90
M4,rev01_learned_mean_tail_full24,REV01-L048-001,SCALED-96-004,ahmedabad_ssp245_present_typical,present_typical,Ahmedabad,ssp245,learned_mean_tail,learned p90-zone aggregation minus learned building-mean aggregation,16704,1061,6.3517720306513414,1369,8.195641762452107,3582.4119445327669,-27.494095098923935,-7.7162393926766981,13.780436513662551,-0,-0,5.9865900382760628e-05,-0.086491259578544089,0.6239958669626855
M4,rev01_learned_mean_tail_full24,REV01-L048-002,SCALED-96-084,phoenix_ssp245_present_typical,present_typical,Phoenix,ssp245,learned_mean_tail,learned p90-zone aggregation minus learned building-mean aggregation,16704,1394,8.3453065134099624,1932,11.566091954022989,1279.2424313692027,-151.61908220288569,-55.493342645052053,-2.2233986331367568,-0,-0,0.0049239703065140361,-0.097431752873564648,0.25478735086316667
M4,rev01_learned_mean_tail_full24,REV01-L048-003,SCALED-96-076,kolkata_ssp585_present_typical,present_typical,Kolkata,ssp585,learned_mean_tail,learned p90-zone aggregation minus learned building-mean aggregation,16704,199,1.1913314176245211,264,1.5804597701149425,93.322513623745181,4.371073153870384,4.6993832225865617,1.6626280344729878,-0,-0,0.00029932950191735586,-0.010880627394634246,0.016970316261191006
M4,rev01_learned_mean_tail_full24,REV01-L048-004,SCALED-96-068,kolkata_ssp245_present_typical,present_typical,Kolkata,ssp245,learned_mean_tail,learned p90-zone aggregation minus learned building-mean aggregation,16704,385,2.3048371647509578,501,2.9992816091954024,288.25374859280419,13.374365071203101,13.146598149876809,4.3396825886365775,-0,-0,0.00035919540230011648,-0.025622605363984974,0.050759856487070307
M4,rev01_learned_mean_tail_full24,REV01-L048-005,SCALED-96-060,houston_ssp585_present_typical,present_typical,Houston,ssp585,learned_mean_tail,learned p90-zone aggregation minus learned building-mean aggregation,16704,900,5.3879310344827589,1223,7.3215996168582373,-223.81414518563543,-54.604296427326517,1.9109605478499816,0.1913323605305095,0.77642008293734932,-0,0.0021701388888892836,-0.067214439655174374,-0.043549894600364569
M4,rev01_learned_mean_tail_full24,REV01-L048-006,SCALED-96-052,houston_ssp245_present_typical,present_typical,Houston,ssp245,learned_mean_tail,learned p90-zone aggregation minus learned building-mean aggregation,16704,421,2.5203544061302683,557,3.3345306513409962,199.02648651885102,-25.227437512233337,5.1970052008423409,1.4396554178857919,-0,-0,0.0026490660919549214,-0.028316570881223413,0.039548793348466789
M4,rev01_learned_mean_tail_full24,REV01-L048-007,SCALED-96-092,phoenix_ssp585_present_typical,present_typical,Phoenix,ssp585,learned_mean_tail,learned p90-zone aggregation minus learned building-mean aggregation,16704,1543,9.2373084291187748,2035,12.182710727969349,1809.8629111796035,-158.45079048233674,-7.2815561524802206,5.4162470252098416,-0,-0,0.0035320881226041934,-0.09765625,0.35457760008190953
M4,rev01_learned_mean_tail_full24,REV01-L048-008,SCALED-96-036,guangzhou_ssp245_present_typical,present_typical,Guangzhou,ssp245,learned_mean_tail,learned p90-zone aggregation minus learned building-mean aggregation,16704,160,0.95785440613026818,214,1.2811302681992338,80.447092621179763,1.5021961452612231,2.5102053777435458,1.3833506228926531,-0,-0,0.00071839080459668025,-0.0079920977011518346,0.015519255142449388
M4,rev01_learned_mean_tail_full24,REV01-L048-009,SCALED-96-028,beijing_ssp585_present_typical,present_typical,Beijing,ssp585,learned_mean_tail,learned p90-zone aggregation minus learned building-mean aggregation,16704,3148,18.845785440613028,4942,29.58572796934866,-114.34587540681241,-150.51675991510956,-0.037082117983267437,-0,4.5803377343055018,0.56960549646196768,0.177160412872432,-0.40533119508589976,-0.023632752869675741
M4,rev01_learned_mean_tail_full24,REV01-L048-010,SCALED-96-020,beijing_ssp245_present_typical,present_typical,Beijing,ssp245,learned_mean_tail,learned p90-zone aggregation minus learned building-mean aggregation,16704,3083,18.456657088122604,4976,29.78927203065134,-154.28049438737798,-161.53929236764907,-1.6242509559560858e-09,-0,6.0331761742781822,1.4404917470874494,0.10874268469682491,-0.36541017627350669,-0.032331309634367526
