city,scenario,variable,climate_variable,transform,delta_mean,delta_std,delta_min,delta_max
Ahmedabad,ssp245,temp,tas_C,additive,0.7006498563720318,2.377307112251041,-11.90551999999999,11.164976
Ahmedabad,ssp245,pressure,ps_hPa,additive,0.06124725983571678,2.357344283949749,-9.456157500000018,9.174629999999979
Ahmedabad,ssp245,wind_speed,sfcWind,multiplicative,0.9528462082521235,0.3423158417197884,0.1030106928778682,2.957732212975728
Ahmedabad,ssp245,GHI,rsds,multiplicative,0.9653661399227618,0.08974225902972713,0.5649339971120498,1.415773345146512
Beijing,ssp245,temp,tas_C,additive,1.645767300171579,3.579270327862536,-13.9594145,16.15405349999998
Beijing,ssp245,pressure,ps_hPa,additive,-0.2093191140198666,6.102019299793246,-27.25293500000009,24.18482000000006
Beijing,ssp245,wind_speed,sfcWind,multiplicative,0.9834216440664405,0.4193318355802202,0.1343561391332229,3.935527680193558
Beijing,ssp245,GHI,rsds,multiplicative,1.019139264862589,0.09607115147273368,0.5660280869114634,1.352482306437926
Guangzhou,ssp245,temp,tas_C,additive,1.522644697696831,3.186537868871182,-15.66769299999999,12.93112949999999
Guangzhou,ssp245,pressure,ps_hPa,additive,-0.1273595469730665,4.121400302776056,-18.61225000000002,18.86872249999999
Guangzhou,ssp245,wind_speed,sfcWind,multiplicative,1.024903438570975,0.4359083153270421,0.1828099572297398,3.438187323783917
Guangzhou,ssp245,GHI,rsds,multiplicative,1.091281753515524,0.1629677721754599,0.6088409655641622,1.616663447272575
Houston,ssp245,temp,tas_C,additive,1.502451549103906,3.753847421752425,-15.34371799999999,14.496339
Houston,ssp245,pressure,ps_hPa,additive,-0.3117105366731298,5.418757121738751,-30.21118249999995,24.38518499999986
Houston,ssp245,wind_speed,sfcWind,multiplicative,1.027055255290081,0.378787371466986,0.09540064205289363,2.954228490980243
Houston,ssp245,GHI,rsds,multiplicative,1.019143003307363,0.09501963116721199,0.5973092047190566,1.387746951978994
Kolkata,ssp245,temp,tas_C,additive,0.1704680545447178,2.389934888226687,-9.410662000000009,11.56082249999997
Kolkata,ssp245,pressure,ps_hPa,additive,0.1417270497126111,2.727053243362856,-14.09071999999992,11.80093000000011
Kolkata,ssp245,wind_speed,sfcWind,multiplicative,0.9210397842024473,0.3762402555276856,0.09584089531588313,3.482242480030976
Kolkata,ssp245,GHI,rsds,multiplicative,0.959915042010933,0.061958186019959,0.6478535073650727,1.091100052650659
Phoenix,ssp245,temp,tas_C,additive,1.612143155227127,3.261747509349116,-13.60145649999999,12.6828745
Phoenix,ssp245,pressure,ps_hPa,additive,-0.1124243586312241,3.833595875354355,-29.23012750000009,18.88574500000016
Phoenix,ssp245,wind_speed,sfcWind,multiplicative,0.9873284736726029,0.4163708151351687,0.1661676332811779,4.044874765858016
Phoenix,ssp245,GHI,rsds,multiplicative,0.9941886008230507,0.08122823183932029,0.6867887141544419,1.302123668997044
Ahmedabad,ssp585,temp,tas_C,additive,1.158095615571274,2.565359729494578,-9.595446499999987,11.24954150000001
Ahmedabad,ssp585,pressure,ps_hPa,additive,-0.02906511022353264,2.363663598375568,-11.622435,8.477557499999989
