city,scenario,scenario_label,source_workbook_filename,source_workbook_sha256,source_forecast_filename,source_forecast_sha256,scenario_id,gcm,rcm,reference_period,delta_mode,forecast_hour_records,observational_source_filename,observational_source_family,model_member_recorded,native_grid_recorded,source_dataset_doi,source_dataset_license
Ahmedabad,ssp245,SSP2-4.5,forecast_Ahmedabad_CMIP6_MPI_0515_ssp245.xlsx,0623023a4ad3f1e7aed8d6e41e90ac3899ca7e45379e2ead9cefd76680cdc56f,forecast_Ahmedabad_CMIP6_MPI_0515_ssp245.csv,9e5d3963960f033188511ce605fbefd2bef30f14e505f4a4d5b8761fc5737b49,CMIP6_MPI_0515_ssp245,MPI-ESM1-2-LR,N/A,1991-2010,daily,666169,Ahmedabad_with_solar.csv,recorded ISD_complete_solar baseline,False,False,10.22033/ESGF/CMIP6.6693,CC BY 4.0
Beijing,ssp245,SSP2-4.5,forecast_Beijing_CMIP6_MPI_0515_ssp245.xlsx,8a24383cd6be9435f6982e4e4283e24720be1d18a7cd00771b9211d22b22667f,forecast_Beijing_CMIP6_MPI_0515_ssp245.csv,7788072013bcc14353ea6d11f8f81e48a8eab1ee91645a5ec5ececa11a584012,CMIP6_MPI_0515_ssp245,MPI-ESM1-2-LR,N/A,1991-2010,daily,666169,Beijing_with_solar.csv,recorded ISD_complete_solar baseline,False,False,10.22033/ESGF/CMIP6.6693,CC BY 4.0
Guangzhou,ssp245,SSP2-4.5,forecast_Guangzhou_CMIP6_MPI_0515_ssp245.xlsx,1b5b78c38bd6274ad53f62b87c18b8a42625cb666bffcdf7c14e64156f45770b,forecast_Guangzhou_CMIP6_MPI_0515_ssp245.csv,8f561146eff332a75a1908dcc5e4a40d7d69126a84828118c089dd80b11c2ea9,CMIP6_MPI_0515_ssp245,MPI-ESM1-2-LR,N/A,1991-2010,daily,666169,Guangzhou_with_solar.csv,recorded ISD_complete_solar baseline,False,False,10.22033/ESGF/CMIP6.6693,CC BY 4.0
Houston,ssp245,SSP2-4.5,forecast_Houston_CMIP6_MPI_0515_ssp245.xlsx,95a84fdd3b8fd2cdd23102c9c2c3bf21a962d84c3cc5de1b540453d82c72ab7e,forecast_Houston_CMIP6_MPI_0515_ssp245.csv,2176a62eb3ca70474e2e777461f841ca79efba3949a3c648ae502d9ef5e76133,CMIP6_MPI_0515_ssp245,MPI-ESM1-2-LR,N/A,1991-2010,daily,666169,Houston_with_solar.csv,recorded ISD_complete_solar baseline,False,False,10.22033/ESGF/CMIP6.6693,CC BY 4.0
Kolkata,ssp245,SSP2-4.5,forecast_Kolkata_CMIP6_MPI_0515_ssp245.xlsx,57c05e0d5971cd22e46f3a9e82fb88baa74c35920362cad2700de5a0479e186f,forecast_Kolkata_CMIP6_MPI_0515_ssp245.csv,1942d0e889815b347dd64181e23d9d2cbc092cfdef78b654cd68b07aee91e791,CMIP6_MPI_0515_ssp245,MPI-ESM1-2-LR,N/A,1991-2010,daily,666169,Kolkata_with_solar.csv,recorded ISD_complete_solar baseline,False,False,10.22033/ESGF/CMIP6.6693,CC BY 4.0
Phoenix,ssp245,SSP2-4.5,forecast_Phoenix_CMIP6_MPI_0515_ssp245.xlsx,c4885db3fa8cf318f196191216e9a81924bb67442ad5a90ba9399170020554cb,forecast_Phoenix_CMIP6_MPI_0515_ssp245.csv,97587cd62ac493164b4dffbfd2f0d114292aa51413b1a6261dcd7285862c081c,CMIP6_MPI_0515_ssp245,MPI-ESM1-2-LR,N/A,1991-2010,daily,666169,Phoenix_with_solar.csv,recorded ISD_complete_solar baseline,False,False,10.22033/ESGF/CMIP6.6693,CC BY 4.0
Ahmedabad,ssp585,SSP5-8.5,forecast_Ahmedabad_CMIP6_MPI_0515_ssp585.xlsx,afa3c2dc4e7787e5bc37970586ab2e81e438578eba6ced78c6b91d3fd952bae8,forecast_Ahmedabad_CMIP6_MPI_0515_ssp585.csv,b0eaeeacb0a01ffe1627c25825e650fd91a0953ec376a59c3e84c5f11478a114,CMIP6_MPI_0515_ssp585,MPI-ESM1-2-LR,N/A,1991-2010,daily,666169,Ahmedabad_with_solar.csv,recorded ISD_complete_solar baseline,False,False,10.22033/ESGF/CMIP6.6705,CC BY 4.0
Beijing,ssp585,SSP5-8.5,forecast_Beijing_CMIP6_MPI_0515_ssp585.xlsx,6a70d4bc3fc43290ecfddf32c76a018526f5bea7cd863fa40e519638c00d0725,forecast_Beijing_CMIP6_MPI_0515_ssp585.csv,5e58f1b36e17e081033e491575ac7386c38cc18325e776831a53c2d65ada7c70,CMIP6_MPI_0515_ssp585,MPI-ESM1-2-LR,N/A,1991-2010,daily,666169,Beijing_with_solar.csv,recorded ISD_complete_solar baseline,False,False,10.22033/ESGF/CMIP6.6705,CC BY 4.0
Guangzhou,ssp585,SSP5-8.5,forecast_Guangzhou_CMIP6_MPI_0515_ssp585.xlsx,7441bd807a2df2202e4441e262cace38413254bd986dac348894b0a25edce2a4,forecast_Guangzhou_CMIP6_MPI_0515_ssp585.csv,a2b49afe94f7c83f933be930aff309d3fd3b9e5e94915b7b18658837ad33cf29,CMIP6_MPI_0515_ssp585,MPI-ESM1-2-LR,N/A,1991-2010,daily,666169,Guangzhou_with_solar.csv,recorded ISD_complete_solar baseline,False,False,10.22033/ESGF/CMIP6.6705,CC BY 4.0
Houston,ssp585,SSP5-8.5,forecast_Houston_CMIP6_MPI_0515_ssp585.xlsx,ed17236ef7f5c3a8f5830427adc864fea65749cf86a7948821d8e9d562447119,forecast_Houston_CMIP6_MPI_0515_ssp585.csv,2a13eb420c0cc227147ebc877656990cd46f70d2fd7e202faec43f3c7815dfec,CMIP6_MPI_0515_ssp585,MPI-ESM1-2-LR,N/A,1991-2010,daily,666169,Houston_with_solar.csv,recorded ISD_complete_solar baseline,False,False,10.22033/ESGF/CMIP6.6705,CC BY 4.0
Kolkata,ssp585,SSP5-8.5,forecast_Kolkata_CMIP6_MPI_0515_ssp585.xlsx,fcabd7c904bbed3f31d154f87f9611ab5ea71a2916f57f9c6914f55ca45d2cf7,forecast_Kolkata_CMIP6_MPI_0515_ssp585.csv,4a8952da8a9d0ac0185ae9dbd5fd39489bcaeb98e33abc358ac2d5d4275b2aa3,CMIP6_MPI_0515_ssp585,MPI-ESM1-2-LR,N/A,1991-2010,daily,666169,Kolkata_with_solar.csv,recorded ISD_complete_solar baseline,False,False,10.22033/ESGF/CMIP6.6705,CC BY 4.0
